grade_id,run_id,grade_level,moisture_content,inspector_employee_id
362,362,B,16.17,971
363,363,C,8.06,911
364,364,B,10.51,916
365,365,B,14.79,1049
366,366,A,14.85,1131
367,367,B,14.06,945
368,368,A,12.51,1017
369,369,B,14.32,940
370,370,B,10.27,1057
371,371,B,10.54,953
372,372,C,13.39,1093
373,373,B,12.42,1131
374,374,A,10.26,1123
375,375,A,15.05,1111
376,376,A,12.02,1030
377,377,B,10.33,993
378,378,A,11.26,1074
379,379,B,10.17,1179
380,380,A,11.1,913
381,381,B,12.69,997
382,382,B,15.18,1174
383,383,A,10.95,1100
384,384,A,10.17,975
385,385,B,11.11,1032
386,386,A,11.76,1107
387,387,B,17.87,965
388,388,B,15.17,1197
389,389,B,15.73,1023
390,390,A,11.35,910
391,391,B,8.21,986
392,392,reject,13.43,1073
393,393,A,12.28,1180
394,394,B,11.23,1079
395,395,B,10.79,1120
396,396,A,14.06,1035
397,397,B,17.36,1060
398,398,A,17.3,1151
399,399,A,16.64,1057
400,400,A,10.89,990
401,401,A,13.09,1016
402,402,A,11.36,1099
403,403,B,17.29,1127
404,404,A,16.78,1188
405,405,A,17.95,1097
406,406,A,11.1,1057
407,407,B,10.4,1162
408,408,C,9.4,975
409,409,A,12.3,1178
410,410,A,16.7,1050
411,411,C,11.25,1195
412,412,A,8.62,1012
413,413,A,9.45,1105
414,414,A,11.38,1150
415,415,B,9.26,966
416,416,C,11.96,1012
417,417,B,17.12,1118
418,418,C,14.87,977
419,419,A,12.64,1195
420,420,B,13.71,1098
421,421,A,8.28,971
422,422,B,12.71,1036
423,423,A,16.86,1163
424,424,C,13.6,961
425,425,A,8.24,977
426,426,B,11.8,1121
427,427,B,9.51,1000
428,428,A,9.2,1127
429,429,B,14.54,1098
430,430,B,9.76,1149
431,431,reject,17.67,932
432,432,B,8.34,1139
433,433,C,13.21,1008
434,434,C,16.62,1083
435,435,C,10.52,1011
436,436,B,17.45,965
437,437,C,15.79,1199
438,438,A,9.69,929
439,439,A,9.92,971
440,440,B,8.13,1188
441,441,A,12.85,915
442,442,B,13.95,1175
443,443,C,14.25,1174
444,444,B,11.95,1108
445,445,A,9.88,1072
446,446,B,12.43,1191
447,447,A,11.74,1152
448,448,B,9.67,1193
449,449,B,10.87,1048
450,450,A,17.48,953
451,451,A,15.09,1197
452,452,A,11.07,1177
453,453,B,14.14,1049
454,454,C,14.95,1160
455,455,B,17.68,1200
456,456,A,14.27,1050
457,457,C,14.38,1099
458,458,C,11.09,999
459,459,A,15.4,926
460,460,A,12.04,950
461,461,B,16.89,1173
462,462,B,14.01,940
463,463,reject,12.02,1184
464,464,C,10.19,936
465,465,A,8.31,942
466,466,A,11.33,1182
467,467,B,15.47,1138
468,468,A,13.44,1181
469,469,C,17.15,913
470,470,B,9.65,1110
471,471,B,16.5,1169
472,472,C,8.68,1001
473,473,A,14.5,1112
474,474,A,11.86,926
475,475,B,13.1,1077
476,476,B,13.16,1165
477,477,reject,15.44,1118
478,478,B,13.64,980
479,479,B,8.04,1073
480,480,B,11.84,1002
481,481,A,8.84,1047
482,482,A,8.58,1054
483,483,A,11.46,994
484,484,B,17.22,1114
485,485,A,9.14,987
486,486,A,17.49,1021
487,487,A,12.14,1047
488,488,C,12.15,945
489,489,A,12.74,1031
490,490,A,10.47,1008
491,491,C,10.34,1110
492,492,B,12.74,1155
493,493,B,13.75,1007
494,494,B,15.19,1106
495,495,C,8.79,941
496,496,B,8.32,1173
497,497,A,11.53,1050
498,498,A,11.6,1044
499,499,A,11.8,1115
500,500,B,15.87,1037
501,501,B,11.36,936
502,502,B,9.87,1161
503,503,A,12.02,1098
504,504,A,16.51,1139
505,505,A,9.65,1187
506,506,A,15.5,949
507,507,A,11.91,1047
508,508,A,8.67,976
509,509,A,15.03,1145
510,510,B,11.53,946
511,511,B,14.44,1049
512,512,A,10.62,962
513,513,B,17.71,1183
514,514,reject,15.06,1016
515,515,A,8.35,1163
516,516,A,14.24,980
517,517,A,11.48,1053
518,518,A,13.07,1078
519,519,B,11.19,1193
520,520,A,11.66,1175
521,521,A,13.85,1044
522,522,C,12.43,1065
523,523,A,9.93,1075
524,524,A,17.29,1182
525,525,C,10.26,1098
526,526,B,17.38,1153
527,527,B,8.75,1091
528,528,B,17.31,1199
529,529,A,14.51,976
530,530,A,9.16,1177
531,531,B,12.69,1032
532,532,A,13.53,1096
533,533,reject,12.98,1104
534,534,B,11.8,1129
535,535,B,9.66,925
536,536,C,13.69,943
537,537,C,11.94,1030
538,538,A,13.85,1181
539,539,reject,12.84,1188
540,540,B,17.84,980
541,541,A,10.65,1005
542,542,B,15.21,1028
543,543,C,14.75,1144
544,544,A,12.04,1153
545,545,B,13.01,1114
546,546,C,14.44,1094
547,547,A,12.41,1149
548,548,B,13.93,935
549,549,A,15.45,1040
550,550,B,10.28,971
551,551,B,11.88,931
552,552,A,13.9,1125
553,553,B,14.82,917
554,554,B,10.73,1089
555,555,B,12.96,946
556,556,B,14.6,1167
557,557,A,8.89,925
558,558,B,11.39,920
559,559,B,11.56,984
560,560,C,17.87,965
561,561,A,8.2,1021
562,562,A,17.15,1028
563,563,B,10.77,1124
564,564,B,17.42,1113
565,565,B,8.78,1076
566,566,A,9.54,1038
567,567,C,15.68,990
568,568,A,10.68,1098
569,569,reject,8.34,1089
570,570,B,11.43,1005
571,571,A,17.42,956
572,572,A,11.02,1056
573,573,A,15.5,989
574,574,A,11.87,958
575,575,B,10.53,1181
576,576,B,10.62,1186
577,577,A,17.98,938
578,578,B,13.01,1039
579,579,B,16.03,1179
580,580,B,11.24,945
581,581,B,11.23,1105
582,582,A,15.4,1087
583,583,A,15.67,963
584,584,A,11.26,998
585,585,A,15.54,1004
586,586,A,12.49,991
587,587,C,8.05,1028
588,588,B,10.44,957
589,589,C,10.58,1163
590,590,B,14.37,1178
591,591,A,9.48,1051
592,592,B,13.31,1161
593,593,A,12.69,1020
594,594,C,13.81,1178
595,595,C,15.39,994
596,596,A,8.72,1110
597,597,B,10.13,1138
598,598,B,17.29,1071
599,599,C,8.26,998
600,600,B,11.13,1096
601,601,A,13.63,946
602,602,A,15.84,1190
603,603,A,17.23,1142
604,604,A,16.72,1074
605,605,B,16.16,1039
606,606,B,12.63,960
607,607,B,9.61,1018
608,608,reject,14.18,1104
609,609,B,16.91,1128
610,610,B,17.35,1155
611,611,B,9.61,1148
612,612,reject,16.6,996
613,613,A,9.94,1186
614,614,A,15.07,988
615,615,B,11.68,1006
616,616,A,13.53,1037
617,617,A,16.96,972
618,618,B,11.52,1029
619,619,C,12.67,1169
620,620,C,16.16,941
621,621,B,17.65,1155
622,622,A,12.68,991
623,623,C,10.11,1149
624,624,B,16.48,1018
625,625,A,17.53,1042
626,626,B,16.93,1108
627,627,A,16.74,1131
628,628,A,16.16,965
629,629,C,13.44,967
630,630,B,12.23,1126
631,631,A,10.48,1153
632,632,C,11.61,1044
633,633,A,9.3,1000
634,634,B,17.75,1141
635,635,B,8.76,901
636,636,B,10.61,1051
637,637,A,14.46,931
638,638,B,14.26,1121
639,639,B,17.88,978
640,640,A,8.19,1175
641,641,B,17.39,1125
642,642,B,12.49,1100
643,643,A,9.23,958
644,644,A,12.66,938
645,645,C,12.46,922
646,646,A,15.82,1088
647,647,A,11.13,1021
648,648,A,8.49,1155
649,649,A,14.27,937
650,650,reject,15.17,1067
651,651,A,11.43,1182
652,652,A,9.03,1096
653,653,C,17.52,1132
654,654,B,15.54,1197
655,655,B,12.6,918
656,656,A,10.25,1163
657,657,C,10.06,912
658,658,C,15.58,1074
659,659,A,10.92,933
660,660,C,13.98,1075
661,661,B,11.46,1036
662,662,B,15.57,1115
663,663,C,13.8,1141
664,664,A,9.07,1194
665,665,B,12.29,926
666,666,B,14.48,1157
667,667,B,14.32,1154
668,668,A,10.08,1163
669,669,C,9.47,1084
670,670,B,13.89,1048
671,671,A,8.5,1051
672,672,A,13.53,1145
673,673,A,8.41,1095
674,674,B,9.77,1136
675,675,A,8.14,1005
676,676,B,14.17,1190
677,677,B,9.23,1090
678,678,A,15.29,1139
679,679,A,17.79,1044
680,680,A,17.51,1190
681,681,A,15.77,1134
682,682,B,10.71,1031
683,683,B,13.52,1006
684,684,B,15.44,1163
685,685,B,8.02,907
686,686,A,11.27,909
687,687,B,16.55,1130
688,688,A,16.94,1161
689,689,A,14.94,967
690,690,A,16.89,1096
691,691,A,12.2,903
692,692,reject,15.82,1136
693,693,C,8.45,1068
694,694,C,15.15,1022
695,695,C,15.18,973
696,696,A,9.8,1012
697,697,A,11.83,915
698,698,A,16.09,944
699,699,B,11.0,918
700,700,C,14.71,967
701,701,C,12.24,909
702,702,B,17.54,1040
703,703,B,9.61,1101
704,704,B,9.34,1063
705,705,C,11.64,1024
706,706,C,8.4,956
707,707,A,16.06,1021
708,708,B,11.75,932
709,709,B,16.71,957
710,710,B,10.3,1098
711,711,B,16.05,933
712,712,A,10.38,1165
713,713,A,17.74,904
714,714,A,15.73,904
715,715,A,12.5,942
716,716,A,12.97,974
717,717,B,11.33,1097
718,718,A,17.86,1099
719,719,A,12.22,1142
720,720,A,13.59,1117
721,721,B,9.42,1161
722,722,A,10.54,944
723,723,C,10.57,953
724,724,B,17.6,968
725,725,C,13.54,1153
726,726,C,11.91,1170
727,727,C,8.83,1148
728,728,reject,16.66,928
729,729,A,10.09,1184
730,730,B,13.01,906
731,731,A,13.03,921
732,732,C,13.11,1056
733,733,A,10.85,1165
734,734,B,15.55,1199
735,735,A,8.22,915
736,736,A,8.05,911
737,737,B,9.81,1113
738,738,B,17.27,1005
739,739,A,8.9,961
740,740,B,11.59,1101
741,741,A,9.23,984
742,742,B,14.56,1094
743,743,C,9.33,988
744,744,A,12.58,1157
745,745,C,15.63,954
746,746,A,16.04,961
747,747,A,8.91,910
748,748,B,13.05,1047
749,749,C,17.7,1156
750,750,A,15.66,1000
751,751,C,17.97,1082
752,752,B,9.0,1015
753,753,A,16.5,1136
754,754,C,10.67,1110
755,755,B,12.13,1013
756,756,A,17.9,912
757,757,B,8.88,1196
758,758,B,9.74,1145
759,759,reject,10.93,1078
760,760,A,16.92,1004
761,761,A,9.4,905
762,762,B,12.83,1170
763,763,A,10.83,1055
764,764,B,10.7,981
765,765,A,17.63,1161
766,766,B,9.56,1173
767,767,C,12.23,1103
768,768,A,15.11,1029
769,769,A,15.53,956
770,770,A,9.88,1119
771,771,B,11.66,955
772,772,C,8.32,907
773,773,C,14.34,1144
774,774,C,16.24,1172
775,775,A,17.29,978
776,776,A,14.36,1036
777,777,B,15.71,1198
778,778,B,10.38,1026
779,779,B,12.74,913
780,780,A,15.96,1098
781,781,A,17.17,1088
782,782,B,16.21,1016
783,783,B,9.22,1152
784,784,A,10.55,1025
785,785,B,17.9,1172
786,786,B,13.8,994
787,787,A,12.85,1163
788,788,A,10.45,1131
789,789,B,9.0,972
790,790,A,10.62,1162
791,791,A,10.42,978
792,792,B,17.57,1070
793,793,C,16.95,1036
794,794,A,14.88,1055
795,795,B,9.24,1167
796,796,B,16.39,1106
797,797,reject,15.29,1200
798,798,B,10.6,940
799,799,reject,17.37,1077
800,800,C,12.12,950
801,801,B,17.78,1022
802,802,B,12.09,902
803,803,C,11.65,1103
804,804,C,14.02,1121
805,805,A,13.98,1160
806,806,B,10.43,1043
807,807,A,8.69,1062
808,808,C,10.25,907
809,809,B,15.7,1016
810,810,A,11.47,1044
811,811,B,17.03,1099
812,812,A,11.12,992
813,813,C,14.93,901
814,814,B,12.02,1119
815,815,A,15.95,1185
816,816,C,11.57,1014
817,817,A,11.54,969
818,818,B,14.96,1020
819,819,A,16.91,1153
820,820,reject,11.03,1016
821,821,B,17.05,1100
822,822,A,13.76,1183
823,823,A,17.72,949
824,824,B,15.26,1109
825,825,C,17.13,1054
826,826,C,8.08,984
827,827,C,12.49,1045
828,828,B,12.86,945
829,829,A,16.48,1174
830,830,A,14.03,1166
831,831,B,12.37,1052
832,832,B,14.84,1110
833,833,A,14.78,942
834,834,B,10.81,1033
835,835,B,10.49,1143
836,836,A,15.81,1042
837,837,A,16.77,1011
838,838,C,16.75,1082
839,839,B,10.21,1143
840,840,reject,16.85,1016
841,841,C,13.49,1104
842,842,A,9.09,1181
843,843,A,10.01,1162
844,844,B,15.35,993
845,845,B,12.53,1074
846,846,C,10.41,911
847,847,A,17.68,1133
848,848,C,15.18,1193
849,849,A,16.7,984
850,850,B,12.15,1069
851,851,B,16.06,1072
852,852,A,12.06,947
853,853,C,8.74,1117
854,854,A,11.75,1059
855,855,A,17.82,1052
856,856,A,8.81,1041
857,857,C,17.05,981
858,858,A,15.98,1015
859,859,B,12.06,905
860,860,C,14.24,1164
861,861,B,16.47,1177
862,862,C,10.32,1052
863,863,B,14.72,970
864,864,C,17.15,1006
865,865,C,14.48,1044
866,866,C,14.34,977
867,867,A,16.31,1100
868,868,reject,9.85,911
869,869,B,13.7,969
870,870,C,17.77,1174
871,871,A,17.15,914
872,872,B,17.33,1039
873,873,C,9.31,927
874,874,B,16.29,1079
875,875,A,11.93,1062
876,876,reject,13.07,1010
877,877,B,15.33,1200
878,878,reject,13.92,977
879,879,A,9.26,1199
880,880,B,10.75,933
881,881,B,11.85,931
882,882,A,11.58,960
883,883,A,8.82,1184
884,884,A,10.63,1080
885,885,A,16.19,1139
886,886,A,9.54,1153
887,887,A,16.93,908
888,888,B,11.63,1148
889,889,A,15.63,1172
890,890,C,12.6,1101
891,891,B,13.54,904
892,892,reject,10.77,1180
893,893,B,9.17,939
894,894,C,9.93,935
895,895,B,12.15,1177
896,896,A,13.48,987
897,897,B,13.45,903
898,898,B,12.59,1121
899,899,B,15.49,1132
900,900,B,11.78,941
901,901,B,17.34,991
902,902,B,15.99,1049
903,903,B,15.58,1140
904,904,B,8.93,907
905,905,A,10.79,1090
906,906,B,10.59,1118
907,907,A,17.81,1069
908,908,A,10.68,967
909,909,A,8.53,1046
910,910,B,12.82,994
911,911,A,14.55,1086
912,912,A,10.01,922
913,913,B,15.84,915
914,914,reject,9.36,999
915,915,A,12.64,1160
916,916,C,16.43,1043
917,917,A,9.86,1130
918,918,A,14.67,911
919,919,A,9.69,1029
920,920,C,10.03,1013
921,921,A,12.02,902
922,922,C,13.48,1162
923,923,C,12.94,1089
924,924,A,14.69,1081
925,925,B,16.58,1178
926,926,C,13.46,1082
927,927,A,11.48,1120
928,928,C,12.11,1038
929,929,B,14.4,1071
930,930,B,12.1,977
931,931,A,8.47,1095
932,932,reject,8.28,1132
933,933,A,14.72,920
934,934,B,16.97,1153
935,935,B,15.62,1162
936,936,C,9.57,1058
937,937,A,17.8,1064
938,938,reject,10.28,1190
939,939,B,14.89,940
940,940,B,11.94,1107
941,941,A,10.52,1191
942,942,C,13.54,1028
943,943,C,15.94,1101
944,944,C,8.07,1137
945,945,A,10.45,1076
946,946,B,16.52,1058
947,947,A,17.76,1016
948,948,A,14.08,1096
949,949,A,9.6,986
950,950,B,16.08,1067
951,951,B,15.37,973
952,952,C,10.22,945
953,953,B,17.71,1160
954,954,A,10.73,980
955,955,A,14.59,933
956,956,C,10.03,1097
957,957,A,17.93,1169
958,958,B,10.73,927
959,959,A,10.52,1006
960,960,B,10.93,999
961,961,B,13.19,960
962,962,C,9.35,1001
963,963,A,11.49,904
964,964,A,14.45,1106
965,965,B,17.12,1117
966,966,A,12.08,1163
967,967,C,12.83,1076
968,968,C,16.59,1196
969,969,A,12.11,977
970,970,A,17.95,1147
971,971,A,9.14,1166
972,972,B,17.07,1063
973,973,A,9.68,1192
974,974,B,9.47,981
975,975,reject,8.61,998
976,976,B,16.3,1047
977,977,C,13.65,1005
978,978,A,9.82,908
979,979,B,13.91,994
980,980,B,13.75,1083
981,981,B,8.35,1095
982,982,A,15.95,1051
983,983,A,10.15,999
984,984,C,11.3,1157
985,985,B,8.03,1089
986,986,reject,15.74,1099
987,987,B,11.94,1166
988,988,B,17.37,1133
989,989,B,17.08,965
990,990,B,9.34,963
991,991,A,12.19,1068
992,992,A,14.05,1171
993,993,A,8.04,937
994,994,B,9.32,959
995,995,C,9.64,986
996,996,A,10.82,979
997,997,A,14.92,960
998,998,B,9.7,1189
999,999,C,9.14,961
1000,1000,A,15.6,924
1001,1001,B,16.78,947
1002,1002,B,17.18,935
1003,1003,C,9.33,935
1004,1004,B,9.87,1102
1005,1005,A,15.79,1198
1006,1006,B,11.45,1045
1007,1007,B,11.05,1144
1008,1008,C,16.51,1144
1009,1009,A,14.17,922
1010,1010,B,13.54,1181
1011,1011,C,16.17,1055
1012,1012,A,13.08,1060
1013,1013,A,13.47,1085
1014,1014,C,11.3,985
1015,1015,A,12.35,1026
1016,1016,A,14.43,995
1017,1017,A,16.96,1190
1018,1018,C,11.37,1054
1019,1019,A,17.34,1090
1020,1020,C,14.26,1031
1021,1021,C,10.32,1035
1022,1022,A,13.2,1056
1023,1023,C,14.58,1099
1024,1024,B,11.99,1042
1025,1025,C,12.67,953
1026,1026,A,11.74,1073
1027,1027,A,13.83,1055
1028,1028,C,9.45,948
1029,1029,B,16.58,1144
1030,1030,A,12.76,1095
1031,1031,A,9.41,1005
1032,1032,B,16.78,941
1033,1033,C,9.65,1055
1034,1034,B,8.05,1097
1035,1035,A,14.2,953
1036,1036,B,10.04,1185
1037,1037,B,12.28,1112
1038,1038,B,15.71,927
1039,1039,reject,14.43,971
1040,1040,C,14.17,1061
1041,1041,A,12.55,1174
1042,1042,A,11.13,1100
1043,1043,B,17.82,990
1044,1044,A,12.43,1132
1045,1045,C,13.92,930
1046,1046,C,16.24,928
1047,1047,A,8.86,1120
1048,1048,A,10.85,1051
1049,1049,B,11.45,968
1050,1050,reject,8.43,1080
1051,1051,C,16.01,965
1052,1052,A,10.8,930
1053,1053,A,15.33,1074
1054,1054,C,12.72,905
1055,1055,A,11.93,1012
1056,1056,B,9.17,903
1057,1057,C,15.62,969
1058,1058,C,15.25,1008
1059,1059,C,13.1,991
1060,1060,A,16.37,905
1061,1061,B,12.12,947
1062,1062,A,8.82,1077
1063,1063,B,15.2,1162
1064,1064,A,15.92,932
1065,1065,C,17.51,1056
1066,1066,A,9.4,966
1067,1067,A,10.86,1168
1068,1068,A,8.84,1143
1069,1069,C,12.12,960
1070,1070,C,9.3,1007
1071,1071,C,8.58,1035
1072,1072,B,9.71,1084
1073,1073,B,12.93,1012
1074,1074,B,11.35,952
1075,1075,A,15.09,943
1076,1076,C,13.66,1074
1077,1077,A,9.4,1044
1078,1078,A,17.5,911
1079,1079,A,13.73,1036
1080,1080,A,9.55,1026
1081,1081,B,12.84,1090
