request_id,property_id,requested_date,category,status,resolved_date
51,65,2025-03-14,structural,open,
52,15,2026-06-10,plumbing,cancelled,
53,28,2026-02-11,structural,in_progress,
54,34,2025-12-03,structural,resolved,2025-12-09
55,4,2025-07-23,security,resolved,2025-07-27
56,4,2023-04-10,other,cancelled,
57,2,2023-06-09,electrical,open,
58,62,2026-06-19,structural,resolved,2026-06-23
59,85,2025-02-05,plumbing,resolved,2025-02-10
60,93,2025-01-11,cleaning,open,
61,36,2023-03-29,other,open,
62,9,2023-06-06,structural,resolved,2023-06-30
63,59,2025-07-07,electrical,resolved,2025-08-15
64,17,2024-02-22,structural,resolved,2024-03-31
65,13,2025-09-23,structural,in_progress,
66,18,2024-01-26,structural,open,
67,51,2024-11-20,security,cancelled,
68,88,2025-01-19,other,open,
69,35,2023-07-21,plumbing,resolved,2023-08-11
70,82,2026-01-16,other,resolved,2026-02-06
71,8,2024-08-15,cleaning,cancelled,
72,39,2024-11-24,electrical,resolved,2024-12-24
73,37,2026-03-04,plumbing,in_progress,
74,49,2026-02-23,other,resolved,2026-02-25
75,80,2023-12-11,electrical,in_progress,
76,44,2025-03-28,other,resolved,2025-05-06
77,4,2026-04-15,plumbing,in_progress,
78,60,2024-03-17,security,open,
79,45,2025-11-07,structural,resolved,2025-11-18
80,27,2024-03-28,other,resolved,2024-04-22
81,13,2025-10-07,security,in_progress,
82,5,2025-12-26,plumbing,open,
83,75,2023-02-14,other,resolved,2023-03-23
84,46,2023-04-05,plumbing,resolved,2023-04-20
85,88,2023-06-11,cleaning,in_progress,
86,53,2023-07-06,electrical,resolved,2023-08-13
87,9,2025-06-15,electrical,resolved,2025-07-02
88,66,2026-02-08,plumbing,resolved,2026-03-20
89,40,2024-01-26,cleaning,in_progress,
90,91,2023-09-16,electrical,in_progress,
91,67,2023-06-04,plumbing,cancelled,
92,8,2023-11-12,other,in_progress,
93,73,2023-03-10,structural,resolved,2023-04-13
94,48,2024-09-19,security,resolved,2024-10-22
95,82,2025-04-10,structural,in_progress,
96,87,2023-07-19,cleaning,resolved,2023-08-15
97,13,2026-03-13,plumbing,open,
98,41,2023-05-08,structural,in_progress,
99,51,2025-11-18,other,resolved,2025-12-30
100,60,2023-03-23,cleaning,in_progress,
101,76,2025-08-11,structural,resolved,2025-08-30
102,85,2023-08-19,plumbing,resolved,2023-09-24
103,41,2023-01-14,cleaning,open,
104,70,2025-12-01,security,resolved,2026-01-07
105,78,2024-07-11,structural,resolved,2024-07-12
106,2,2024-07-01,structural,resolved,2024-07-24
107,32,2026-03-20,cleaning,in_progress,
108,13,2024-06-23,other,resolved,2024-07-07
109,78,2024-01-19,cleaning,cancelled,
110,33,2025-05-03,plumbing,open,
111,17,2026-03-07,other,cancelled,
112,19,2024-05-27,security,resolved,2024-06-18
113,55,2026-06-24,cleaning,open,
114,52,2023-11-20,other,resolved,2023-12-28
115,73,2026-04-23,cleaning,in_progress,
116,67,2024-07-02,cleaning,cancelled,
117,93,2025-09-09,electrical,resolved,2025-09-30
118,19,2024-06-12,security,resolved,2024-06-22
119,49,2024-10-26,cleaning,open,
120,79,2024-02-28,other,in_progress,
121,72,2023-09-05,cleaning,resolved,2023-09-18
122,5,2026-02-21,structural,resolved,2026-03-16
123,66,2025-03-16,structural,open,
124,39,2023-06-27,other,in_progress,
125,31,2025-10-11,electrical,resolved,2025-11-04
126,15,2024-07-23,security,resolved,2024-09-03
127,11,2023-09-09,cleaning,resolved,2023-09-29
128,34,2025-09-25,plumbing,resolved,2025-10-22
129,11,2025-01-02,plumbing,resolved,2025-01-09
130,78,2026-04-23,structural,in_progress,
131,37,2024-12-19,cleaning,cancelled,
132,94,2025-02-09,cleaning,in_progress,
133,10,2023-06-19,plumbing,cancelled,
134,34,2023-05-04,cleaning,cancelled,
135,70,2024-07-08,electrical,resolved,2024-08-04
136,9,2024-06-23,structural,resolved,2024-07-12
137,6,2026-01-04,structural,resolved,2026-01-09
138,50,2024-10-29,plumbing,open,
139,6,2026-05-16,security,resolved,2026-06-11
140,94,2025-06-17,security,resolved,2025-06-30
141,80,2023-09-30,other,resolved,2023-10-20
142,8,2024-11-14,plumbing,resolved,2024-12-23
143,81,2025-11-12,plumbing,resolved,2025-11-21
144,12,2024-11-19,cleaning,resolved,2024-12-29
145,28,2026-04-28,plumbing,in_progress,
146,84,2025-11-26,electrical,cancelled,
147,92,2025-07-10,plumbing,open,
148,31,2024-05-27,structural,resolved,2024-06-08
149,89,2026-05-18,other,open,
150,47,2024-05-19,structural,resolved,2024-06-09
151,52,2025-02-11,plumbing,in_progress,
152,72,2025-08-04,security,resolved,2025-08-23
153,92,2024-04-19,electrical,open,
154,47,2025-02-27,other,resolved,2025-03-17
155,23,2024-05-21,electrical,cancelled,
156,10,2025-10-08,other,in_progress,
157,59,2025-05-29,electrical,open,
158,32,2025-05-22,security,resolved,2025-05-25
159,34,2024-06-29,security,resolved,2024-07-13
160,62,2026-06-26,security,resolved,2026-07-25
161,86,2024-08-18,other,resolved,2024-09-21
162,58,2026-04-24,security,resolved,2026-06-05
163,18,2026-06-24,structural,open,
164,69,2026-03-16,electrical,resolved,2026-03-27
165,51,2023-03-04,electrical,resolved,2023-04-11
166,91,2024-10-23,security,resolved,2024-11-20
167,40,2025-11-26,plumbing,in_progress,
168,15,2025-11-22,security,in_progress,
169,76,2023-07-10,electrical,open,
170,89,2023-07-10,security,in_progress,
171,49,2023-07-13,structural,open,
172,46,2026-06-02,other,resolved,2026-07-15
173,77,2023-04-08,cleaning,in_progress,
174,84,2024-12-20,security,resolved,2024-12-21
175,45,2025-12-05,structural,resolved,2025-12-31
176,34,2023-11-12,security,resolved,2023-12-05
177,30,2025-12-31,security,resolved,2026-02-01
178,71,2025-09-29,cleaning,resolved,2025-10-12
179,24,2023-06-08,electrical,resolved,2023-06-29
180,61,2025-09-05,other,in_progress,
181,46,2024-08-05,plumbing,resolved,2024-08-19
182,28,2026-05-27,other,in_progress,
183,83,2025-11-24,plumbing,resolved,2025-12-23
184,9,2025-07-21,plumbing,resolved,2025-08-13
185,35,2024-03-25,other,cancelled,
186,46,2024-02-06,cleaning,open,
187,52,2023-11-05,other,resolved,2023-12-05
188,32,2023-05-21,structural,resolved,2023-05-31
189,16,2026-04-26,structural,open,
190,39,2024-03-19,other,resolved,2024-04-10
191,37,2024-09-24,cleaning,in_progress,
192,13,2023-04-05,cleaning,resolved,2023-05-11
193,28,2024-01-27,structural,resolved,2024-01-29
194,39,2025-03-04,structural,resolved,2025-04-15
195,56,2023-07-23,electrical,resolved,2023-09-04
196,76,2023-11-08,security,resolved,2023-11-13
197,23,2024-03-12,security,in_progress,
198,41,2024-12-06,structural,resolved,2024-12-19
199,85,2024-02-23,electrical,in_progress,
200,78,2023-02-15,structural,open,
201,81,2024-07-29,structural,resolved,2024-09-02
202,89,2025-03-11,structural,resolved,2025-04-18
203,11,2025-12-25,structural,resolved,2026-01-01
204,70,2024-02-10,cleaning,resolved,2024-03-10
205,89,2026-03-12,security,resolved,2026-04-04
206,88,2024-03-15,plumbing,resolved,2024-03-17
207,67,2023-07-11,security,resolved,2023-07-29
208,61,2023-01-08,electrical,resolved,2023-01-12
209,53,2024-02-10,security,open,
210,63,2023-07-07,cleaning,in_progress,
211,18,2024-02-22,security,in_progress,
212,16,2024-04-28,cleaning,resolved,2024-06-07
213,9,2023-02-06,security,resolved,2023-02-26
214,14,2025-10-04,cleaning,cancelled,
215,86,2025-08-05,cleaning,in_progress,
216,64,2023-08-07,other,resolved,2023-08-19
217,68,2026-06-18,plumbing,cancelled,
218,69,2023-11-26,plumbing,resolved,2023-12-12
219,44,2024-09-08,cleaning,cancelled,
220,58,2026-02-17,other,resolved,2026-03-27
221,13,2025-06-27,security,cancelled,
222,62,2023-01-27,cleaning,resolved,2023-03-05
223,5,2025-10-29,electrical,resolved,2025-11-12
224,16,2025-09-27,electrical,resolved,2025-11-08
225,75,2023-05-16,electrical,resolved,2023-06-14
226,28,2023-09-11,other,resolved,2023-10-03
227,3,2025-02-11,plumbing,in_progress,
228,35,2026-06-29,electrical,open,
229,6,2024-11-07,structural,resolved,2024-12-16
230,32,2025-11-04,cleaning,cancelled,
231,25,2025-08-29,other,open,
232,90,2024-02-14,structural,resolved,2024-02-16
233,70,2023-07-18,structural,resolved,2023-07-24
234,54,2023-04-14,security,resolved,2023-04-15
235,8,2024-10-21,other,resolved,2024-10-29
236,92,2024-01-10,security,resolved,2024-02-01
237,89,2024-02-18,plumbing,cancelled,
238,4,2023-11-12,plumbing,resolved,2023-11-22
239,2,2023-10-24,security,cancelled,
240,55,2024-06-26,electrical,in_progress,
241,87,2023-05-22,structural,resolved,2023-06-17
242,28,2024-12-13,security,resolved,2024-12-19
243,63,2024-09-26,electrical,resolved,2024-10-30
244,30,2025-10-11,cleaning,resolved,2025-11-03
245,89,2026-06-03,other,resolved,2026-06-09
246,49,2023-10-20,cleaning,cancelled,
247,72,2025-08-12,security,resolved,2025-09-26
248,23,2026-02-13,other,open,
249,79,2025-05-14,electrical,open,
250,79,2023-05-20,plumbing,resolved,2023-06-12
251,40,2024-12-30,plumbing,resolved,2025-01-07
252,14,2025-08-19,plumbing,resolved,2025-09-20
253,15,2023-03-16,cleaning,resolved,2023-03-26
254,42,2025-12-20,security,resolved,2026-01-21
255,36,2023-06-15,cleaning,resolved,2023-07-11
256,90,2026-03-12,other,resolved,2026-04-20
257,76,2023-06-25,plumbing,resolved,2023-07-05
258,26,2023-01-01,plumbing,resolved,2023-01-26
259,71,2023-12-05,structural,resolved,2023-12-26
260,78,2023-06-07,cleaning,resolved,2023-07-03
261,74,2024-09-27,security,in_progress,
262,39,2025-05-29,other,cancelled,
263,60,2023-09-19,structural,open,
264,21,2024-02-27,other,resolved,2024-04-02
265,87,2023-03-28,security,resolved,2023-04-13
266,15,2026-05-10,plumbing,resolved,2026-05-29
267,67,2024-09-30,cleaning,cancelled,
268,63,2023-04-07,security,resolved,2023-05-14
269,79,2025-09-15,structural,resolved,2025-10-09
270,12,2025-02-12,cleaning,in_progress,
271,20,2023-07-02,electrical,resolved,2023-07-22
272,14,2024-03-04,electrical,cancelled,
273,6,2024-02-27,security,resolved,2024-03-22
274,35,2024-09-11,other,resolved,2024-10-14
275,75,2025-10-23,electrical,resolved,2025-12-07
276,29,2025-01-18,structural,resolved,2025-02-27
277,66,2024-02-14,cleaning,resolved,2024-03-14
278,2,2023-12-03,plumbing,resolved,2023-12-30
279,6,2026-03-03,electrical,resolved,2026-03-27
280,35,2025-11-22,electrical,resolved,2025-12-19
281,52,2025-06-05,other,resolved,2025-07-11
282,8,2025-09-14,cleaning,open,
283,33,2024-11-29,electrical,resolved,2024-12-28
284,50,2023-01-19,cleaning,open,
285,84,2025-08-05,structural,open,
286,38,2023-04-30,other,open,
287,64,2024-06-01,cleaning,cancelled,
288,82,2023-09-10,security,in_progress,
289,70,2024-03-20,electrical,resolved,2024-04-27
290,19,2025-06-06,other,resolved,2025-06-10
291,62,2024-03-29,electrical,resolved,2024-04-17
292,51,2024-05-08,electrical,resolved,2024-05-09
293,39,2024-01-24,electrical,resolved,2024-01-25
294,19,2025-06-20,electrical,resolved,2025-06-23
295,59,2023-11-20,plumbing,resolved,2024-01-04
296,82,2024-03-03,other,resolved,2024-04-06
297,58,2024-07-16,cleaning,open,
298,26,2026-03-22,electrical,resolved,2026-04-17
299,27,2024-08-15,security,open,
300,1,2024-07-07,cleaning,resolved,2024-08-11
