location_id,site_name,site_type,address,city,country_code,latitude,longitude
47,Meridian Mart Port Harcourt 47,store,75144 Maldonado Green Apt. 804,Port Harcourt,NG,4.120656,21.123228
48,Meridian Mart Kisumu 48,store,19341 Yang Mission Apt. 190,Kisumu,KE,4.660452,39.810235
49,Meridian Mart Enugu 49,store,529 Michael Walk,Enugu,NG,11.264767,23.09887
50,Meridian Mart Mombasa 50,store,445 Wayne Overpass Apt. 126,Mombasa,KE,10.619245,-3.098235
51,Meridian Mart Tamale 51,store,7322 Chad Brook Apt. 907,Tamale,GH,6.1906,30.956139
52,Meridian Mart Benin City 52,store,28857 Ryan Meadow Suite 763,Benin City,NG,7.805011,14.24955
53,Meridian Mart Port Harcourt 53,store,51473 Emily Place,Port Harcourt,NG,5.362552,13.32543
54,Meridian Mart Uyo 54,store,456 Rebecca Lodge,Uyo,NG,12.757182,31.049972
55,Meridian Mart Kumasi 55,store,101 Edward Lights Suite 916,Kumasi,GH,6.915945,1.29255
56,Meridian Mart Accra 56,store,29036 Kevin Causeway,Accra,GH,9.209097,31.313696
57,Meridian Mart Ibadan 57,store,4060 Williams Garden Apt. 876,Ibadan,NG,7.632618,23.032396
58,Meridian Mart Accra 58,store,50424 Mandy Trace,Accra,GH,13.14898,5.123633
59,Meridian Mart Benin City 59,store,935 Samantha Cape,Benin City,NG,9.625101,20.62096
60,Meridian Mart Benin City 60,store,0874 Greer Forges,Benin City,NG,5.561416,6.037634
61,Meridian Mart Uyo 61,store,4953 Sarah Estates Suite 578,Uyo,NG,8.826075,12.491803
62,Meridian Mart Tamale 62,store,71491 Nicole Ridge Suite 964,Tamale,GH,7.895283,6.94864
63,Meridian Mart Uyo 63,store,615 David Dale Suite 218,Uyo,NG,8.084119,15.842838
64,Meridian Mart Ibadan 64,store,29980 Sarah Run,Ibadan,NG,10.082726,20.385158
65,Meridian Mart Nakuru 65,store,57275 Sanders Parkways,Nakuru,KE,9.200079,11.907727
66,Meridian Mart Lagos 66,store,3974 Jones Place Apt. 816,Lagos,NG,12.330651,-3.180498
67,Meridian Mart Benin City 67,store,687 Garcia Overpass Apt. 112,Benin City,NG,4.025472,37.077684
68,Meridian Mart Ibadan 68,store,6886 James Mills Suite 636,Ibadan,NG,4.07807,29.254033
69,Concord Depot Uyo 69,warehouse,0024 Suzanne Extensions Suite 881,Uyo,NG,11.502929,40.629466
70,Concord Depot Accra 70,warehouse,03483 Andrew Via Suite 208,Accra,GH,12.575929,30.310532
71,Concord Depot Lagos 71,warehouse,0449 Jeffrey Inlet Apt. 373,Lagos,NG,10.290087,6.718523
72,Concord Depot Ibadan 72,warehouse,635 Thomas Court Suite 072,Ibadan,NG,8.159722,12.634631
73,Concord Depot Uyo 73,warehouse,417 Diaz Orchard,Uyo,NG,7.298776,39.25055
74,Concord Depot Nakuru 74,warehouse,90105 Tyler Stream Apt. 627,Nakuru,KE,9.919078,2.486067
75,Ibadan Farm Site 75,farm,25116 Sean Meadows Suite 890,Ibadan,NG,7.885329,26.926459
76,Kisumu Farm Site 76,farm,3512 George Trafficway,Kisumu,KE,13.390492,37.420808
77,Enugu Farm Site 77,farm,0632 Mcconnell Extensions,Enugu,NG,10.699754,14.081557
78,Port Harcourt Farm Site 78,farm,70590 Johnson Falls,Port Harcourt,NG,6.032182,13.955159
79,Nairobi Farm Site 79,farm,6921 Rodriguez Circle,Nairobi,KE,12.174503,3.428009
80,Lagos Farm Site 80,farm,684 Lee Land Apt. 594,Lagos,NG,5.861862,18.105344
81,Uyo Farm Site 81,farm,635 Hall Locks Suite 913,Uyo,NG,10.027342,20.891591
82,Abuja Farm Site 82,farm,2249 Peter Alley Suite 666,Abuja,NG,11.88906,33.393593
83,Benin City Farm Site 83,farm,410 Jeff Club,Benin City,NG,7.484288,18.325646
84,Enugu Farm Site 84,farm,16149 Shane Knoll,Enugu,NG,11.969923,4.766548
85,Accra Farm Site 85,farm,4108 Ward Square,Accra,GH,4.838768,36.51258
86,Enugu Farm Site 86,farm,60425 Hansen Glens Suite 630,Enugu,NG,6.53673,31.526063
87,Kumasi Farm Site 87,farm,424 Kevin Plaza Suite 847,Kumasi,GH,11.731941,19.307682
88,Port Harcourt Farm Site 88,farm,87572 Hernandez Wells Suite 530,Port Harcourt,NG,7.818504,3.072241
89,Accra Farm Site 89,farm,405 Robyn Cape Suite 397,Accra,GH,11.035717,32.185234
90,Takoradi Farm Site 90,farm,5896 Michelle Causeway Apt. 412,Takoradi,GH,12.390102,4.444011
91,Enugu Farm Site 91,farm,6182 Michael Motorway,Enugu,NG,9.252131,4.101573
92,Lagos Farm Site 92,farm,7187 Brad Groves,Lagos,NG,6.574175,0.236892
93,Ibadan Farm Site 93,farm,634 Price Plains Suite 960,Ibadan,NG,5.030306,33.19276
94,Mombasa Farm Site 94,farm,09969 Kirby Centers Suite 488,Mombasa,KE,10.750619,8.485662
95,Kano Farm Site 95,farm,8147 Paul Stream,Kano,NG,11.500851,27.392699
96,Lagos Farm Site 96,farm,7414 John Streets Apt. 444,Lagos,NG,9.936418,23.869989
97,Tamale Farm Site 97,farm,80705 Stephen Brook,Tamale,GH,13.292059,30.114029
98,Lagos Farm Site 98,farm,0437 Mark Ford,Lagos,NG,10.834779,39.082178
99,Kano Farm Site 99,farm,02355 Lopez Falls Suite 667,Kano,NG,8.025235,18.810969
100,Kano Farm Site 100,farm,834 Scott Course,Kano,NG,8.746234,12.825639
101,Uyo Farm Site 101,farm,04181 Harrison Ramp Suite 990,Uyo,NG,7.196164,6.640816
102,Kumasi Farm Site 102,farm,4736 Susan Oval Suite 639,Kumasi,GH,11.957157,25.075978
103,Kisumu Farm Site 103,farm,29420 Luke Mews Apt. 340,Kisumu,KE,11.000541,38.023832
104,Lagos Farm Site 104,farm,87561 Chris Trail Suite 740,Lagos,NG,11.955989,25.428813
105,Uyo Farm Site 105,farm,505 Mario Mountains Apt. 049,Uyo,NG,11.522683,24.66276
106,Enugu Farm Site 106,farm,09749 Mark Junction,Enugu,NG,7.481752,7.583803
107,Port Harcourt Farm Site 107,farm,2506 Wells Via,Port Harcourt,NG,11.888177,29.010531
108,Enugu Farm Site 108,farm,0118 Paul Burg,Enugu,NG,10.178511,19.769991
109,Accra Farm Site 109,farm,933 Williams Forest Suite 739,Accra,GH,6.534814,20.452284
110,Benin City Farm Site 110,farm,05583 Rebecca Burg Suite 137,Benin City,NG,8.263364,19.648485
111,Port Harcourt Farm Site 111,farm,62595 Julia Spring,Port Harcourt,NG,9.761015,15.898663
112,Port Harcourt Farm Site 112,farm,880 Shane Branch Apt. 492,Port Harcourt,NG,13.303473,11.961958
113,Lagos Farm Site 113,farm,0901 Melinda Pine,Lagos,NG,9.411126,-0.577905
114,Uyo Farm Site 114,farm,723 Kenneth Manor Suite 300,Uyo,NG,12.327051,23.842552
115,Port Harcourt Farm Site 115,farm,221 Contreras Mountain Apt. 531,Port Harcourt,NG,13.286888,16.536927
116,Uyo Farm Site 116,farm,94606 Wolfe Island Suite 612,Uyo,NG,6.280983,-0.389159
117,Benin City Farm Site 117,farm,03472 Elizabeth Radial Apt. 207,Benin City,NG,11.874443,-3.399342
118,Abuja Farm Site 118,farm,1284 Shawn Ways,Abuja,NG,4.370928,33.895571
119,Enugu Farm Site 119,farm,6383 Jermaine Streets,Enugu,NG,9.167096,17.696189
120,Tamale Farm Site 120,farm,429 Alicia Manor,Tamale,GH,10.722619,38.086965
121,Kano Farm Site 121,farm,4982 Swanson Valley,Kano,NG,10.935885,16.057043
122,Lagos Farm Site 122,farm,640 White Glen Suite 017,Lagos,NG,8.821663,8.170754
123,Kumasi Farm Site 123,farm,63387 Khan Courts Apt. 104,Kumasi,GH,11.15719,7.50508
124,Enugu Farm Site 124,farm,21572 Robinson Dam,Enugu,NG,12.289385,29.504122
125,Tamale Farm Site 125,farm,507 Nicole Lane Suite 851,Tamale,GH,4.795752,-0.523962
126,Abuja Farm Site 126,farm,79596 Anthony Junctions Apt. 410,Abuja,NG,9.378537,-1.6188
127,Port Harcourt Farm Site 127,farm,4436 Ruiz Motorway Apt. 061,Port Harcourt,NG,9.543782,-2.061194
128,Uyo Farm Site 128,farm,93839 Ward Rue Suite 035,Uyo,NG,12.863942,21.411258
129,Abuja Farm Site 129,farm,896 Jacob Point,Abuja,NG,9.459869,18.023871
130,Enugu Farm Site 130,farm,646 Green Streets Suite 480,Enugu,NG,7.494867,18.628612
131,Abuja Farm Site 131,farm,804 Roger Turnpike,Abuja,NG,9.934799,23.366225
132,Nairobi Farm Site 132,farm,4745 Leonard Skyway,Nairobi,KE,6.667389,37.259136
133,Kano Farm Site 133,farm,260 Sarah Overpass,Kano,NG,11.058343,36.155719
134,Takoradi Farm Site 134,farm,7842 Yu Loaf,Takoradi,GH,12.071354,-2.288556
135,Benin City Farm Site 135,farm,34765 Mary Keys Apt. 606,Benin City,NG,7.508955,10.273486
136,Uyo Farm Site 136,farm,093 Brown Terrace,Uyo,NG,5.80282,31.848347
137,Accra Farm Site 137,farm,209 Rhodes Ramp Suite 537,Accra,GH,9.422692,27.196195
138,Lagos Farm Site 138,farm,701 Carter Knolls,Lagos,NG,5.960444,29.576225
139,Ibadan Farm Site 139,farm,1244 Ross Point,Ibadan,NG,7.00185,3.081359
140,Kano Farm Site 140,farm,280 Hutchinson Stravenue,Kano,NG,12.8328,10.892164
141,Tamale Farm Site 141,farm,0035 Tamara Freeway,Tamale,GH,13.154464,36.107211
142,Ibadan Farm Site 142,farm,00804 Moore Fords,Ibadan,NG,6.754695,36.371964
143,Port Harcourt Farm Site 143,farm,28525 Jonathan Ports Apt. 889,Port Harcourt,NG,8.342525,17.953785
144,Kumasi Farm Site 144,farm,8729 Theresa Parkways Suite 538,Kumasi,GH,10.417364,2.41018
145,Kumasi Farm Site 145,farm,24704 Melanie Ridges Apt. 517,Kumasi,GH,8.136189,35.144088
146,Ibadan Farm Site 146,farm,487 York Plain Apt. 994,Ibadan,NG,10.334529,30.45612
147,Nakuru Farm Site 147,farm,841 Evans Fall Suite 179,Nakuru,KE,6.679081,21.750081
148,Takoradi Farm Site 148,farm,16619 Ferguson Station Suite 310,Takoradi,GH,10.179059,35.386198
149,Abuja Farm Site 149,farm,2292 Wade Course Apt. 916,Abuja,NG,9.431691,22.049063
150,Abuja Farm Site 150,farm,821 Andrew Dale,Abuja,NG,12.128934,9.924076
151,Enugu Farm Site 151,farm,573 Freeman Courts Suite 415,Enugu,NG,12.316853,12.382532
152,Benin City Farm Site 152,farm,57966 Cabrera Port Suite 207,Benin City,NG,8.716238,5.988626
153,Kumasi Farm Site 153,farm,43808 Wood Ville,Kumasi,GH,5.743411,10.644171
154,Uyo Farm Site 154,farm,572 Sandra Loop,Uyo,NG,8.847806,-0.98131
155,Tamale Farm Site 155,farm,00657 Christopher Street Apt. 221,Tamale,GH,4.417022,18.262382
156,Kano Farm Site 156,farm,5875 Alexander Well Apt. 870,Kano,NG,9.984383,18.558208
157,Mombasa Farm Site 157,farm,1925 Wilson Unions,Mombasa,KE,7.907427,17.314056
158,Kisumu Farm Site 158,farm,590 Joyce Pines Apt. 619,Kisumu,KE,11.716766,37.356453
159,Port Harcourt Farm Site 159,farm,1437 Jason Viaduct,Port Harcourt,NG,6.236596,36.881949
160,Port Harcourt Farm Site 160,farm,96611 Mcpherson Motorway Apt. 782,Port Harcourt,NG,9.984552,37.677581
161,Kumasi Farm Site 161,farm,271 Roberts Heights,Kumasi,GH,10.430814,40.19732
162,Tamale Farm Site 162,farm,0630 Nicholas Lakes Apt. 410,Tamale,GH,8.932381,24.454443
163,Tamale Farm Site 163,farm,191 Gross Walks Suite 110,Tamale,GH,12.422711,38.812676
164,Kumasi Farm Site 164,farm,164 Sandra Village Apt. 567,Kumasi,GH,9.903484,30.346605
165,Enugu Farm Site 165,farm,845 Johnson Ville Suite 087,Enugu,NG,4.08579,21.766218
166,Uyo Farm Site 166,farm,119 Sarah Run,Uyo,NG,13.01342,20.648172
167,Lagos Farm Site 167,farm,8898 Amber Spring,Lagos,NG,9.072689,5.269563
168,Kano Farm Site 168,farm,0594 Matthew Common Apt. 150,Kano,NG,10.024672,4.680868
169,Port Harcourt Farm Site 169,farm,979 Hunt Union Suite 652,Port Harcourt,NG,8.700096,-2.958881
170,Enugu Farm Site 170,farm,52005 Serrano Pike Apt. 458,Enugu,NG,9.486813,34.888469
171,Kumasi Farm Site 171,farm,59772 Montes Greens,Kumasi,GH,10.870293,38.554503
172,Kumasi Farm Site 172,farm,427 Davis Cliff,Kumasi,GH,8.247236,25.779937
173,Tamale Farm Site 173,farm,8273 Zachary Motorway Suite 552,Tamale,GH,5.41418,11.274311
174,Ibadan Farm Site 174,farm,1308 Brandy Fort,Ibadan,NG,10.858695,37.12493
175,Lagos Farm Site 175,farm,32462 Mark Plains Suite 467,Lagos,NG,12.262801,37.594938
176,Uyo Farm Site 176,farm,021 Hernandez Estate,Uyo,NG,6.062042,37.170692
177,Lagos Farm Site 177,farm,16765 Peterson Club,Lagos,NG,6.007432,30.456289
178,Abuja Farm Site 178,farm,93708 Smith Ridges Apt. 577,Abuja,NG,11.004224,32.284607
179,Lagos Farm Site 179,farm,2146 Luke Port,Lagos,NG,4.039318,-0.451807
180,Benin City Farm Site 180,farm,7533 Danielle Isle Apt. 038,Benin City,NG,4.769248,15.517172
181,Abuja Farm Site 181,farm,642 Henderson Turnpike Apt. 629,Abuja,NG,11.472577,23.396315
182,Abuja Farm Site 182,farm,352 Johns Ridge,Abuja,NG,8.514354,2.89664
183,Port Harcourt Farm Site 183,farm,2484 Larry Spring,Port Harcourt,NG,8.728595,39.531212
184,Port Harcourt Farm Site 184,farm,01072 Angela Loop Apt. 160,Port Harcourt,NG,5.614349,11.762946
185,Port Harcourt Farm Site 185,farm,45606 Andrea Wells,Port Harcourt,NG,4.220042,19.020039
186,Mombasa Farm Site 186,farm,6645 Mark Mount Apt. 538,Mombasa,KE,10.537815,21.142559
187,Port Harcourt Farm Site 187,farm,08549 Connie Crossing,Port Harcourt,NG,13.13537,30.724656
188,Uyo Farm Site 188,farm,966 Gregory Fort Apt. 871,Uyo,NG,10.575546,31.915593
189,Nakuru Farm Site 189,farm,14280 Wade Mission Suite 934,Nakuru,KE,12.751838,24.039654
190,Abuja Farm Site 190,farm,331 Justin Squares,Abuja,NG,11.980565,19.204354
191,Enugu Farm Site 191,farm,5759 Savage Landing,Enugu,NG,5.820365,24.003823
192,Port Harcourt Farm Site 192,farm,6262 Jones Locks,Port Harcourt,NG,7.356568,4.506134
193,Accra Farm Site 193,farm,28190 Gonzalez Ford,Accra,GH,9.297859,25.939644
194,Ibadan Farm Site 194,farm,0158 Ricky Grove,Ibadan,NG,10.200363,35.733699
195,Lagos Farm Site 195,farm,745 Taylor Hills,Lagos,NG,13.266664,18.941815
196,Accra Farm Site 196,farm,7804 Dorsey Brooks,Accra,GH,13.391502,10.200344
197,Enugu Farm Site 197,farm,894 Ortiz Dam Suite 705,Enugu,NG,8.696319,9.537511
198,Kano Farm Site 198,farm,121 Jacobson Tunnel,Kano,NG,9.65653,6.941514
199,Uyo Farm Site 199,farm,4248 Wu Wells Suite 081,Uyo,NG,13.490435,5.341125
200,Port Harcourt Farm Site 200,farm,242 Theresa Lights Apt. 326,Port Harcourt,NG,5.062761,16.969818
201,Kumasi Farm Site 201,farm,39706 Hart Ville Apt. 512,Kumasi,GH,6.616818,25.915408
202,Accra Farm Site 202,farm,53924 Suzanne Ville Apt. 593,Accra,GH,9.456498,32.306999
203,Benin City Farm Site 203,farm,758 Ashlee River Apt. 507,Benin City,NG,8.884796,9.586516
204,Lagos Farm Site 204,farm,898 Smith Cape,Lagos,NG,7.533796,33.252289
205,Lagos Farm Site 205,farm,013 Tracy Parks Apt. 733,Lagos,NG,6.68424,40.786125
206,Accra Farm Site 206,farm,62885 Baker Flats Suite 734,Accra,GH,9.587773,23.216446
207,Enugu Farm Site 207,farm,8543 Stacey Unions,Enugu,NG,4.863901,11.620707
208,Enugu Farm Site 208,farm,47294 Brian Junction Apt. 855,Enugu,NG,6.7342,29.704164
209,Enugu Farm Site 209,farm,490 Bruce Plaza Apt. 372,Enugu,NG,6.450233,32.281402
210,Ibadan Farm Site 210,farm,8116 Gonzalez Inlet Apt. 199,Ibadan,NG,6.886457,13.540005
211,Uyo Farm Site 211,farm,828 David Estate,Uyo,NG,12.742888,20.352565
212,Accra Farm Site 212,farm,3236 Adams Hill,Accra,GH,12.902012,3.429028
213,Port Harcourt Farm Site 213,farm,0937 William Village,Port Harcourt,NG,4.455653,-1.972803
214,Lagos Farm Site 214,farm,744 Andrea Estates Apt. 251,Lagos,NG,7.362987,23.667732
215,Port Harcourt Farm Site 215,farm,1306 Vasquez Flats,Port Harcourt,NG,9.361028,15.637018
216,Accra Farm Site 216,farm,83786 Blevins Terrace,Accra,GH,7.867521,20.184457
217,Takoradi Farm Site 217,farm,0439 Rebecca Burgs,Takoradi,GH,5.663308,3.87982
218,Ibadan Farm Site 218,farm,51563 Morris Circles Apt. 852,Ibadan,NG,7.735553,33.455487
219,Tamale Farm Site 219,farm,42849 Boyd Points,Tamale,GH,4.061995,7.674882
220,Uyo Farm Site 220,farm,06774 Lisa Glen Suite 927,Uyo,NG,7.743865,13.58113
221,Takoradi Farm Site 221,farm,07590 Martin Park,Takoradi,GH,8.400571,18.419733
222,Enugu Farm Site 222,farm,6170 Andrew Falls Apt. 661,Enugu,NG,8.381963,25.169378
223,Benin City Farm Site 223,farm,5487 Powers Mill Apt. 431,Benin City,NG,10.024227,30.673029
224,Abuja Farm Site 224,farm,218 Alexandra Greens,Abuja,NG,6.732397,28.181053
225,Benin City Farm Site 225,farm,8403 Robert Haven Apt. 988,Benin City,NG,8.686675,12.625908
226,Benin City Farm Site 226,farm,7643 Mooney Locks Apt. 359,Benin City,NG,10.333088,14.650319
227,Uyo Farm Site 227,farm,3164 Smith Cape Apt. 083,Uyo,NG,5.67945,37.270342
228,Enugu Farm Site 228,farm,5237 Khan Gateway Apt. 833,Enugu,NG,5.811721,18.787405
229,Nairobi Farm Site 229,farm,79078 Larry Ferry,Nairobi,KE,4.928593,1.492084
230,Enugu Farm Site 230,farm,09745 Martinez Groves,Enugu,NG,11.362694,25.052519
231,Port Harcourt Farm Site 231,farm,4681 Janet Harbors,Port Harcourt,NG,5.729335,33.742573
232,Lagos Farm Site 232,farm,00931 Coleman Key Apt. 607,Lagos,NG,8.960183,30.927011
233,Nairobi Farm Site 233,farm,90332 David Loop Apt. 213,Nairobi,KE,13.280226,24.321518
234,Uyo Farm Site 234,farm,35495 Ray Light,Uyo,NG,6.566625,19.496519
235,Tamale Farm Site 235,farm,97011 Anthony Common,Tamale,GH,12.457751,11.333442
236,Tamale Farm Site 236,farm,40327 Mendez Shores Suite 474,Tamale,GH,13.464171,16.094414
237,Kano Farm Site 237,farm,725 Thomas Estate Apt. 134,Kano,NG,11.344185,28.211062
238,Enugu Farm Site 238,farm,344 Owens Mountains,Enugu,NG,4.636257,9.76085
239,Accra Farm Site 239,farm,501 Smith Passage,Accra,GH,5.9528,25.864562
240,Abuja Farm Site 240,farm,8930 Barbara Junctions Suite 533,Abuja,NG,5.880593,21.724803
241,Lagos Farm Site 241,farm,1626 Garrison Streets Apt. 687,Lagos,NG,7.499939,28.803155
242,Kano Farm Site 242,farm,05595 Sandoval Rest,Kano,NG,11.256292,3.480244
243,Mombasa Farm Site 243,farm,04520 Jones Summit,Mombasa,KE,11.882365,15.550468
244,Takoradi Farm Site 244,farm,815 Young Isle Suite 328,Takoradi,GH,10.860572,28.148829
245,Kano Farm Site 245,farm,79807 Jon Run Suite 784,Kano,NG,9.941469,-2.623281
246,Takoradi Farm Site 246,farm,7497 Medina Stream,Takoradi,GH,12.940146,14.224745
247,Uyo Farm Site 247,farm,25488 Elliott Crescent,Uyo,NG,9.074508,10.093091
248,Mombasa Farm Site 248,farm,011 Moore Crescent Suite 888,Mombasa,KE,10.698115,11.464681
249,Port Harcourt Farm Site 249,farm,5128 Jimenez Fall,Port Harcourt,NG,7.421013,35.295714
250,Enugu Farm Site 250,farm,497 Leach Stream Apt. 168,Enugu,NG,12.036613,19.902367
251,Uyo Farm Site 251,farm,938 Jessica Prairie,Uyo,NG,7.549233,12.298773
252,Nakuru Farm Site 252,farm,524 Taylor Hollow Suite 202,Nakuru,KE,12.276262,23.860462
253,Uyo Farm Site 253,farm,1786 Durham Pass Apt. 923,Uyo,NG,6.569955,6.24989
254,Benin City Farm Site 254,farm,839 Jeffery Islands,Benin City,NG,4.232061,19.529001
255,Nakuru Farm Site 255,farm,304 Stephanie Spurs,Nakuru,KE,8.617718,-1.002626
256,Kumasi Farm Site 256,farm,4484 Jeremy Stravenue Apt. 810,Kumasi,GH,11.289684,-2.582073
257,Enugu Farm Site 257,farm,659 Roberts Road,Enugu,NG,4.902339,37.057448
258,Accra Farm Site 258,farm,99339 Jeffrey Lights,Accra,GH,11.364999,33.691856
259,Benin City Farm Site 259,farm,24836 Leah Village,Benin City,NG,11.907658,30.308887
260,Kumasi Farm Site 260,farm,7033 Angela Mount,Kumasi,GH,8.16229,25.181803
261,Takoradi Farm Site 261,farm,174 Cox Vista,Takoradi,GH,13.208403,-0.974568
262,Benin City Farm Site 262,farm,975 Cooper Light Apt. 435,Benin City,NG,7.315987,3.908935
263,Uyo Farm Site 263,farm,702 Molly Circles,Uyo,NG,11.716836,9.613984
264,Port Harcourt Farm Site 264,farm,4560 Anderson Circles Apt. 022,Port Harcourt,NG,6.719026,20.219064
265,Nakuru Farm Site 265,farm,459 Robert Center Apt. 457,Nakuru,KE,8.523923,7.270676
266,Port Harcourt Farm Site 266,farm,218 Dennis Fords Suite 700,Port Harcourt,NG,6.422279,39.585808
267,Kano Farm Site 267,farm,4425 Mary Station,Kano,NG,5.204338,13.038087
268,Enugu Farm Site 268,farm,8231 Simpson Wells Suite 723,Enugu,NG,7.146285,6.504298
269,Port Harcourt Farm Site 269,farm,146 Murphy Shore,Port Harcourt,NG,8.57347,4.710843
270,Mombasa Farm Site 270,farm,1351 Ellen Squares Suite 189,Mombasa,KE,11.583482,19.467293
271,Uyo Farm Site 271,farm,14129 Robert Tunnel Apt. 670,Uyo,NG,5.637723,30.905002
272,Nakuru Farm Site 272,farm,68835 Pearson Ridge Suite 472,Nakuru,KE,11.901319,-0.705536
273,Takoradi Farm Site 273,farm,7911 Rebecca Stream,Takoradi,GH,7.670645,2.922341
274,Uyo Farm Site 274,farm,6330 Brown Freeway Suite 569,Uyo,NG,5.533233,38.699214
275,Benin City Farm Site 275,farm,862 Rodgers Falls Suite 090,Benin City,NG,4.08794,11.923689
276,Benin City Farm Site 276,farm,22771 Kimberly Inlet Apt. 934,Benin City,NG,10.666408,12.607473
277,Uyo Farm Site 277,farm,0637 Kevin Rapids Suite 142,Uyo,NG,8.626934,16.462363
278,Tamale Farm Site 278,farm,40941 Richards Plaza,Tamale,GH,7.822699,9.719914
279,Enugu Farm Site 279,farm,730 Diaz Cliff,Enugu,NG,9.094035,21.042921
280,Port Harcourt Farm Site 280,farm,76315 Zhang Ridges Suite 822,Port Harcourt,NG,6.088725,5.456042
