product_id,product_name,category,unit_of_measure,primary_division_id,is_active
57,Rice (Paddy) - Study grade,Rice (Paddy),kg,agricore,True
58,Cocoa - Fight grade,Cocoa,kg,agricore,True
59,Yam - Imagine grade,Yam,kg,agricore,True
60,Plantain - Right grade,Plantain,kg,agricore,True
61,Groundnut - White grade,Groundnut,kg,agricore,True
62,Yam - Specific grade,Yam,kg,agricore,True
63,Cassava - Anything grade,Cassava,kg,agricore,True
64,Yam - During grade,Yam,kg,agricore,True
65,Groundnut - Floor grade,Groundnut,kg,agricore,True
66,Maize - Soon grade,Maize,kg,agricore,True
67,Plantain - Measure grade,Plantain,kg,agricore,True
68,Groundnut - Impact grade,Groundnut,kg,agricore,True
69,Rice (Paddy) - Every grade,Rice (Paddy),kg,agricore,True
70,Cocoa - Camera grade,Cocoa,kg,agricore,True
71,Maize - Stand grade,Maize,kg,agricore,True
72,Rice (Paddy) - Smile grade,Rice (Paddy),kg,agricore,True
73,Groundnut - Strategy grade,Groundnut,kg,agricore,True
74,Groundnut - Teach grade,Groundnut,kg,agricore,True
75,Rice (Paddy) - Future grade,Rice (Paddy),kg,agricore,True
76,Rice (Paddy) - Manage grade,Rice (Paddy),kg,agricore,True
77,Cocoa - Whether grade,Cocoa,kg,agricore,True
78,Maize - Nearly grade,Maize,kg,agricore,True
79,Plantain - Enough grade,Plantain,kg,agricore,True
80,Cassava - Mr grade,Cassava,kg,agricore,True
81,Cocoa - People grade,Cocoa,kg,agricore,True
82,Rice (Paddy) - Authority grade,Rice (Paddy),kg,agricore,False
83,Plantain - Perhaps grade,Plantain,kg,agricore,True
84,Yam - Section grade,Yam,kg,agricore,True
85,Rice (Paddy) - While grade,Rice (Paddy),kg,agricore,True
86,Groundnut - Police grade,Groundnut,kg,agricore,True
87,Groundnut - Tough grade,Groundnut,kg,agricore,False
88,Cocoa - Model grade,Cocoa,kg,agricore,True
89,Cassava - Movie grade,Cassava,kg,agricore,True
90,Yam - Few grade,Yam,kg,agricore,True
91,Yam - Very grade,Yam,kg,agricore,True
92,Cassava - Practice grade,Cassava,kg,agricore,True
93,Maize - Current grade,Maize,kg,agricore,True
94,Plantain - Believe grade,Plantain,kg,agricore,True
95,Rice (Paddy) - Avoid grade,Rice (Paddy),kg,agricore,True
96,Yam - Season grade,Yam,kg,agricore,True
97,Cassava - Likely grade,Cassava,kg,agricore,True
98,Cocoa - Ten grade,Cocoa,kg,agricore,True
99,Plantain - Study grade,Plantain,kg,agricore,True
100,Cocoa - Who grade,Cocoa,kg,agricore,False
101,Groundnut - No grade,Groundnut,kg,agricore,True
102,Cocoa - Explain grade,Cocoa,kg,agricore,True
103,Cocoa - Hit grade,Cocoa,kg,agricore,True
104,Yam - Room grade,Yam,kg,agricore,True
105,Yam - Talk grade,Yam,kg,agricore,True
106,Cassava - Back grade,Cassava,kg,agricore,True
107,Groundnut - Audience grade,Groundnut,kg,agricore,True
108,Yam - Need grade,Yam,kg,agricore,True
109,Yam - Step grade,Yam,kg,agricore,True
110,Cocoa - Yourself grade,Cocoa,kg,agricore,True
111,Maize - Audience grade,Maize,kg,agricore,True
112,Plantain - Believe grade,Plantain,kg,agricore,True
113,Plantain - Fine grade,Plantain,kg,agricore,True
114,Rice (Paddy) - Step grade,Rice (Paddy),kg,agricore,True
115,Groundnut - General grade,Groundnut,kg,agricore,True
116,Maize - Author grade,Maize,kg,agricore,True
117,Rice (Paddy) - Station grade,Rice (Paddy),kg,agricore,True
118,Cocoa - Magazine grade,Cocoa,kg,agricore,True
119,Groundnut - Range grade,Groundnut,kg,agricore,True
120,Maize - Management grade,Maize,kg,agricore,True
121,Cocoa - Fish grade,Cocoa,kg,agricore,True
122,Plantain - Friend grade,Plantain,kg,agricore,True
123,Yam - Plan grade,Yam,kg,agricore,True
124,Maize - Chance grade,Maize,kg,agricore,True
125,Maize - Series grade,Maize,kg,agricore,True
126,Yam - Image grade,Yam,kg,agricore,True
127,Yam - Style grade,Yam,kg,agricore,True
128,Cassava - Until grade,Cassava,kg,agricore,True
129,Cocoa - Attorney grade,Cocoa,kg,agricore,True
130,Plantain - Effect grade,Plantain,kg,agricore,True
131,Rice (Paddy) - Indeed grade,Rice (Paddy),kg,agricore,True
132,Rice (Paddy) - Nation grade,Rice (Paddy),kg,agricore,True
133,Maize - Somebody grade,Maize,kg,agricore,True
134,Maize - Rich grade,Maize,kg,agricore,True
135,Cassava - Space grade,Cassava,kg,agricore,True
136,Cassava - Operation grade,Cassava,kg,agricore,True
137,Maize - Floor grade,Maize,kg,agricore,True
138,Plantain - Ago grade,Plantain,kg,agricore,True
139,Groundnut - Pull grade,Groundnut,kg,agricore,True
140,Cocoa - Two grade,Cocoa,kg,agricore,True
141,Hot Personal,Personal Care,kg,retail,True
142,Stop Fresh,Fresh Produce,unit,retail,True
143,While Fresh,Fresh Produce,unit,retail,False
144,Maintain Beverages,Beverages,unit,retail,True
145,Person Household,Household Goods,litre,retail,True
146,Perform Household,Household Goods,pack,retail,True
147,Letter Fresh,Fresh Produce,kg,retail,True
148,Ball Personal,Personal Care,litre,retail,True
149,Help Beverages,Beverages,kg,retail,True
150,City Fresh,Fresh Produce,litre,retail,True
151,Bit Grains,Grains & Staples,unit,retail,True
152,Lawyer Grains,Grains & Staples,unit,retail,True
153,Training Personal,Personal Care,kg,retail,True
154,Try Beverages,Beverages,litre,retail,True
155,Man Grains,Grains & Staples,unit,retail,True
156,Impact Fresh,Fresh Produce,pack,retail,True
157,Reason Personal,Personal Care,unit,retail,True
158,Strong Beverages,Beverages,pack,retail,True
159,Project Grains,Grains & Staples,litre,retail,True
160,Much Fresh,Fresh Produce,kg,retail,True
161,Design Beverages,Beverages,litre,retail,True
162,Quality Grains,Grains & Staples,pack,retail,True
163,Democratic Fresh,Fresh Produce,kg,retail,True
164,Air Fresh,Fresh Produce,litre,retail,True
165,Above Grains,Grains & Staples,pack,retail,True
166,Dog Personal,Personal Care,litre,retail,True
167,Doctor Household,Household Goods,pack,retail,True
168,Perform Beverages,Beverages,litre,retail,True
169,Continue Grains,Grains & Staples,unit,retail,True
170,Try Household,Household Goods,litre,retail,True
171,Expect Grains,Grains & Staples,unit,retail,True
172,Per Household,Household Goods,unit,retail,True
173,Natural Personal,Personal Care,litre,retail,True
174,Call Grains,Grains & Staples,pack,retail,True
175,Necessary Grains,Grains & Staples,pack,retail,True
176,Service Fresh,Fresh Produce,kg,retail,True
177,Result Household,Household Goods,pack,retail,True
178,Cause Fresh,Fresh Produce,litre,retail,True
179,Road Grains,Grains & Staples,litre,retail,True
180,He Fresh,Fresh Produce,kg,retail,True
181,Federal Personal,Personal Care,pack,retail,True
182,About Grains,Grains & Staples,pack,retail,False
183,Low Fresh,Fresh Produce,litre,retail,True
184,Follow Fresh,Fresh Produce,unit,retail,True
185,Himself Fresh,Fresh Produce,kg,retail,True
186,Job Household,Household Goods,unit,retail,True
187,Certain Household,Household Goods,litre,retail,True
188,Under Grains,Grains & Staples,litre,retail,True
189,Compare Fresh,Fresh Produce,unit,retail,True
190,Television Grains,Grains & Staples,pack,retail,True
191,Meeting Grains,Grains & Staples,litre,retail,True
192,Company Household,Household Goods,unit,retail,True
193,American Beverages,Beverages,pack,retail,True
194,Take Grains,Grains & Staples,pack,retail,True
195,Soon Beverages,Beverages,litre,retail,True
196,Never Personal,Personal Care,kg,retail,True
197,Put Personal,Personal Care,litre,retail,True
198,Sell Grains,Grains & Staples,pack,retail,True
199,President Personal,Personal Care,kg,retail,True
200,Boy Personal,Personal Care,litre,retail,True
201,Recent Grains,Grains & Staples,pack,retail,True
202,Size Personal,Personal Care,unit,retail,True
203,Sport Personal,Personal Care,pack,retail,False
204,Wear Personal,Personal Care,unit,retail,True
205,Song Fresh,Fresh Produce,kg,retail,True
206,Herself Grains,Grains & Staples,kg,retail,True
207,Town Fresh,Fresh Produce,litre,retail,True
208,Tend Grains,Grains & Staples,kg,retail,True
209,Rest Beverages,Beverages,pack,retail,True
210,Us Beverages,Beverages,kg,retail,True
211,Structure Personal,Personal Care,kg,retail,True
212,Imagine Fresh,Fresh Produce,pack,retail,True
213,Red Fresh,Fresh Produce,pack,retail,True
214,Expert Grains,Grains & Staples,pack,retail,True
215,Senior Fresh,Fresh Produce,unit,retail,True
216,Main Beverages,Beverages,pack,retail,True
217,Bill Fresh,Fresh Produce,unit,retail,True
218,Political Household,Household Goods,pack,retail,True
219,Magazine Grains,Grains & Staples,kg,retail,True
220,Painting Household,Household Goods,kg,retail,True
221,Simply Personal,Personal Care,unit,retail,True
222,Girl Household,Household Goods,pack,retail,True
223,Lay Grains,Grains & Staples,unit,retail,True
224,Here Fresh,Fresh Produce,kg,retail,True
225,Letter Household,Household Goods,unit,retail,True
226,Protect Beverages,Beverages,kg,retail,True
227,Administration Grains,Grains & Staples,pack,retail,True
228,Support Fresh,Fresh Produce,litre,retail,True
229,Drop Fresh,Fresh Produce,kg,retail,True
230,Everything Fresh,Fresh Produce,litre,retail,True
231,Fire Household,Household Goods,unit,retail,True
232,Book Fresh,Fresh Produce,unit,retail,True
233,Where Beverages,Beverages,pack,retail,True
234,Such Household,Household Goods,unit,retail,True
235,Question Household,Household Goods,kg,retail,True
236,Development Fresh,Fresh Produce,litre,retail,True
237,Short Fresh,Fresh Produce,pack,retail,True
238,Marriage Personal,Personal Care,unit,retail,True
239,But Personal,Personal Care,kg,retail,True
240,Everybody Fresh,Fresh Produce,litre,retail,True
241,Career Household,Household Goods,kg,retail,True
242,Summer Fresh,Fresh Produce,pack,retail,True
243,Notice Beverages,Beverages,litre,retail,True
244,Notice Fresh,Fresh Produce,litre,retail,True
245,Institution Personal,Personal Care,unit,retail,True
246,Recent Personal,Personal Care,unit,retail,True
247,Have Fresh,Fresh Produce,kg,retail,True
248,Factor Fresh,Fresh Produce,litre,retail,True
249,Fact Household,Household Goods,kg,retail,True
250,Cup Beverages,Beverages,pack,retail,True
251,Professional Grains,Grains & Staples,kg,retail,True
252,Always Grains,Grains & Staples,unit,retail,True
253,Example Personal,Personal Care,unit,retail,True
254,Red Household,Household Goods,litre,retail,True
255,Instead Household,Household Goods,litre,retail,True
256,Common Household,Household Goods,pack,retail,True
257,Work Fresh,Fresh Produce,unit,retail,True
258,Prepare Fresh,Fresh Produce,litre,retail,True
259,Church Personal,Personal Care,pack,retail,True
260,Role Beverages,Beverages,litre,retail,True
261,Somebody Fresh,Fresh Produce,litre,retail,True
262,Catch Beverages,Beverages,kg,retail,True
263,Foot Beverages,Beverages,pack,retail,True
264,Scene Household,Household Goods,kg,retail,True
265,Century Household,Household Goods,litre,retail,True
266,Chance Personal,Personal Care,litre,retail,True
267,Health Fresh,Fresh Produce,litre,retail,True
268,Rate Household,Household Goods,pack,retail,True
269,Green Personal,Personal Care,kg,retail,True
270,Thing Beverages,Beverages,unit,retail,True
271,Cultural Grains,Grains & Staples,litre,retail,True
272,Series Fresh,Fresh Produce,pack,retail,True
273,Do Fresh,Fresh Produce,kg,retail,True
274,Attention Personal,Personal Care,pack,retail,True
275,Hold Beverages,Beverages,pack,retail,True
276,Win Fresh,Fresh Produce,unit,retail,True
277,Black Personal,Personal Care,litre,retail,True
278,Stock Household,Household Goods,pack,retail,True
279,Song Personal,Personal Care,litre,retail,True
280,Their Grains,Grains & Staples,unit,retail,True
281,Artist Grains,Grains & Staples,litre,retail,True
282,Property Personal,Personal Care,litre,retail,True
283,Experience Household,Household Goods,kg,retail,True
284,Later Household,Household Goods,unit,retail,True
285,Firm Personal,Personal Care,kg,retail,True
286,Dog Household,Household Goods,litre,retail,True
287,Away Personal,Personal Care,litre,retail,True
288,Marriage Grains,Grains & Staples,pack,retail,True
289,Well Personal,Personal Care,pack,retail,True
290,Spring Household,Household Goods,pack,retail,True
291,Message Beverages,Beverages,pack,retail,True
292,Bar Fresh,Fresh Produce,litre,retail,True
293,But Beverages,Beverages,pack,retail,True
294,Approach Grains,Grains & Staples,kg,retail,True
295,Way Household,Household Goods,unit,retail,True
296,Behind Beverages,Beverages,kg,retail,True
297,Modern Personal,Personal Care,litre,retail,True
298,Know Grains,Grains & Staples,unit,retail,True
299,Important Beverages,Beverages,pack,retail,True
300,Speech Household,Household Goods,kg,retail,True
301,Cultural Grains,Grains & Staples,litre,retail,True
302,Food Fresh,Fresh Produce,unit,retail,True
303,During Fresh,Fresh Produce,pack,retail,True
304,Attorney Grains,Grains & Staples,kg,retail,True
305,Account Household,Household Goods,litre,retail,True
306,Nor Household,Household Goods,kg,retail,True
307,Prepare Grains,Grains & Staples,kg,retail,True
308,Contain Household,Household Goods,unit,retail,True
309,Already Personal,Personal Care,kg,retail,True
310,Keep Beverages,Beverages,unit,retail,True
311,Policy Beverages,Beverages,litre,retail,True
312,In Grains,Grains & Staples,litre,retail,False
313,Tax Beverages,Beverages,pack,retail,True
314,Occur Personal,Personal Care,unit,retail,True
315,Seat Grains,Grains & Staples,kg,retail,True
316,Yourself Grains,Grains & Staples,litre,retail,True
317,Various Beverages,Beverages,unit,retail,True
318,Mission Beverages,Beverages,pack,retail,True
319,Stage Beverages,Beverages,pack,retail,True
320,Phone Household,Household Goods,kg,retail,True
321,Describe Fresh,Fresh Produce,pack,retail,True
322,Hold Household,Household Goods,litre,retail,True
323,Back Grains,Grains & Staples,kg,retail,True
324,Study Grains,Grains & Staples,litre,retail,True
325,Kid Personal,Personal Care,pack,retail,True
326,Up Beverages,Beverages,unit,retail,True
327,Left Grains,Grains & Staples,kg,retail,True
328,Energy Household,Household Goods,litre,retail,True
329,Trouble Household,Household Goods,litre,retail,True
330,Hotel Household,Household Goods,kg,retail,True
331,Actually Fresh,Fresh Produce,litre,retail,True
332,Everybody Household,Household Goods,unit,retail,True
333,Nearly Household,Household Goods,unit,retail,True
334,In Beverages,Beverages,litre,retail,True
335,Arm Fresh,Fresh Produce,kg,retail,True
336,Big Grains,Grains & Staples,pack,retail,True
337,Ten Fresh,Fresh Produce,litre,retail,True
338,Draw Beverages,Beverages,kg,retail,True
339,Together Fresh,Fresh Produce,kg,retail,True
340,After Grains,Grains & Staples,pack,retail,True
341,Way Personal,Personal Care,litre,retail,True
342,Color Beverages,Beverages,litre,retail,True
343,Resource Personal,Personal Care,litre,retail,True
344,Once Household,Household Goods,pack,retail,True
345,Country Household,Household Goods,litre,retail,True
346,Science Fresh,Fresh Produce,kg,retail,True
347,Mention Fresh,Fresh Produce,kg,retail,False
348,Available Household,Household Goods,pack,retail,True
349,Dog Grains,Grains & Staples,pack,retail,True
350,Job Household,Household Goods,unit,retail,True
351,Far Personal,Personal Care,litre,retail,True
352,Ground Beverages,Beverages,pack,retail,True
353,Several Household,Household Goods,litre,retail,True
354,Agent Fresh,Fresh Produce,pack,retail,True
355,Because Personal,Personal Care,unit,retail,True
356,Responsibility Fresh,Fresh Produce,litre,retail,True
357,Dinner Beverages,Beverages,litre,retail,True
358,Will Household,Household Goods,kg,retail,True
359,Ok Fresh,Fresh Produce,pack,retail,True
360,Pattern Personal,Personal Care,pack,retail,True
361,Tend Beverages,Beverages,unit,retail,True
362,White Grains,Grains & Staples,kg,retail,True
363,Close Beverages,Beverages,pack,retail,True
364,Property Grains,Grains & Staples,unit,retail,True
365,Machine Household,Household Goods,kg,retail,True
366,Often Grains,Grains & Staples,litre,retail,True
367,Reason Household,Household Goods,pack,retail,True
368,Actually Household,Household Goods,litre,retail,True
369,Born Personal,Personal Care,pack,retail,False
370,Traditional Personal,Personal Care,litre,retail,True
371,Party Fresh,Fresh Produce,kg,retail,True
372,Attention Personal,Personal Care,kg,retail,True
373,Clear Household,Household Goods,unit,retail,True
374,Partner Household,Household Goods,kg,retail,True
375,Eight Household,Household Goods,litre,retail,True
376,Suggest Grains,Grains & Staples,unit,retail,True
377,Reason Household,Household Goods,pack,retail,True
378,High Household,Household Goods,pack,retail,True
379,Western Fresh,Fresh Produce,unit,retail,True
380,Discuss Grains,Grains & Staples,pack,retail,True
381,But Personal,Personal Care,unit,retail,True
382,Although Personal,Personal Care,kg,retail,True
383,Society Grains,Grains & Staples,unit,retail,True
384,Rest Personal,Personal Care,kg,retail,True
385,Raise Fresh,Fresh Produce,unit,retail,True
386,Catch Household,Household Goods,pack,retail,True
387,Speech Grains,Grains & Staples,pack,retail,True
388,Bag Beverages,Beverages,kg,retail,True
389,Pressure Household,Household Goods,kg,retail,True
390,Somebody Fresh,Fresh Produce,unit,retail,False
391,Special Personal,Personal Care,unit,retail,True
392,Detail Grains,Grains & Staples,unit,retail,True
393,Visit Household,Household Goods,kg,retail,True
394,Mean Beverages,Beverages,pack,retail,True
395,Successful Personal,Personal Care,unit,retail,True
396,Ability Household,Household Goods,kg,retail,True
397,Book Beverages,Beverages,kg,retail,True
398,Treat Household,Household Goods,pack,retail,True
399,North Household,Household Goods,unit,retail,True
400,Project Household,Household Goods,pack,retail,True
