farm_id,supplier_id,location_id,size_hectares,primary_crop
123,101,197,4.43,Cassava
124,102,198,18.2,Yam
125,103,199,20.05,Cassava
126,103,200,2.67,Plantain
127,103,201,11.06,Yam
128,104,202,3.07,Plantain
129,105,203,12.05,Rice (Paddy)
130,105,204,18.28,Maize
131,106,205,9.26,Cocoa
132,107,206,7.7,Cassava
133,108,207,4.49,Groundnut
134,109,208,7.08,Cocoa
135,110,209,6.28,Rice (Paddy)
136,111,210,13.67,Cassava
137,112,211,5.01,Rice (Paddy)
138,113,212,12.81,Rice (Paddy)
139,114,213,9.34,Rice (Paddy)
140,115,214,13.57,Yam
141,116,215,11.56,Plantain
142,117,216,7.67,Groundnut
143,118,217,2.29,Yam
144,119,218,18.47,Groundnut
145,120,219,8.08,Rice (Paddy)
146,120,220,9.29,Maize
147,121,221,19.4,Cassava
148,122,222,24.73,Rice (Paddy)
149,123,223,14.85,Cassava
150,123,224,18.3,Cocoa
151,124,225,7.92,Cassava
152,125,226,4.74,Yam
153,126,227,18.33,Groundnut
154,127,228,11.34,Cocoa
155,128,229,20.48,Cassava
156,129,230,5.04,Maize
157,130,231,2.46,Plantain
158,130,232,2.72,Maize
159,130,233,2.81,Cassava
160,131,234,5.97,Groundnut
161,131,235,19.35,Plantain
162,132,236,21.22,Plantain
163,133,237,3.3,Maize
164,134,238,24.41,Groundnut
165,135,239,17.54,Cocoa
166,136,240,22.22,Yam
167,137,241,12.81,Cocoa
168,138,242,5.6,Cassava
169,139,243,1.31,Plantain
170,140,244,20.9,Yam
171,140,245,4.45,Plantain
172,141,246,18.78,Groundnut
173,142,247,5.51,Yam
174,143,248,10.62,Maize
175,143,249,13.17,Rice (Paddy)
176,144,250,15.78,Yam
177,145,251,8.83,Plantain
178,146,252,5.24,Cocoa
179,147,253,0.99,Rice (Paddy)
180,148,254,12.8,Cocoa
181,149,255,19.88,Groundnut
182,149,256,16.53,Plantain
183,149,257,13.96,Plantain
184,150,258,11.56,Plantain
185,151,259,17.45,Yam
186,152,260,21.38,Yam
187,153,261,6.37,Cocoa
188,154,262,9.38,Cassava
189,155,263,12.77,Cocoa
190,155,264,5.04,Yam
191,156,265,11.94,Rice (Paddy)
192,157,266,4.51,Cocoa
193,158,267,20.42,Groundnut
194,159,268,7.01,Yam
195,160,269,5.21,Maize
196,161,270,14.49,Groundnut
197,162,271,23.5,Maize
198,163,272,20.09,Yam
199,163,273,10.36,Plantain
200,163,274,19.74,Plantain
201,164,275,12.72,Maize
202,165,276,11.86,Cassava
203,166,277,9.56,Groundnut
204,166,278,7.67,Maize
205,167,279,23.11,Plantain
206,168,280,12.1,Yam
207,169,281,2.95,Rice (Paddy)
208,170,282,7.75,Groundnut
209,171,283,20.88,Plantain
210,172,284,1.79,Cassava
211,173,285,19.88,Cocoa
212,173,286,15.83,Plantain
213,173,287,22.08,Cocoa
214,174,288,11.49,Plantain
215,175,289,14.02,Cassava
216,176,290,22.54,Cassava
217,177,291,21.95,Plantain
218,178,292,16.08,Cassava
219,179,293,5.0,Yam
220,179,294,10.67,Maize
221,180,295,0.93,Cocoa
222,180,296,9.67,Cocoa
223,181,297,18.46,Yam
224,181,298,11.72,Cocoa
225,182,299,18.75,Cassava
226,182,300,22.15,Cocoa
227,183,301,18.51,Cocoa
228,183,302,0.55,Groundnut
229,183,303,20.06,Cocoa
230,184,304,8.62,Maize
231,185,305,19.35,Cassava
232,185,306,23.08,Plantain
233,186,307,17.39,Yam
234,186,308,6.86,Rice (Paddy)
235,186,309,6.64,Rice (Paddy)
236,187,310,3.78,Yam
237,188,311,8.81,Plantain
238,189,312,10.28,Maize
239,190,313,8.65,Maize
240,191,314,1.34,Maize
241,192,315,16.17,Maize
242,193,316,1.97,Yam
243,194,317,13.61,Plantain
244,195,318,11.03,Groundnut
245,195,319,10.86,Rice (Paddy)
246,196,320,1.05,Yam
247,197,321,18.55,Cocoa
248,197,322,9.78,Groundnut
249,197,323,9.0,Maize
250,198,324,23.3,Rice (Paddy)
251,199,325,11.83,Yam
252,200,326,22.63,Maize
253,201,327,11.26,Plantain
254,202,328,18.81,Rice (Paddy)
255,203,329,6.37,Cocoa
256,204,330,18.21,Maize
257,205,331,10.48,Rice (Paddy)
258,206,332,9.32,Rice (Paddy)
259,206,333,16.07,Plantain
260,206,334,8.79,Plantain
261,207,335,14.19,Rice (Paddy)
262,208,336,3.82,Rice (Paddy)
263,208,337,19.84,Groundnut
264,209,338,1.85,Plantain
265,210,339,23.7,Maize
266,211,340,23.04,Maize
267,211,341,10.42,Groundnut
268,212,342,1.88,Plantain
269,213,343,3.22,Rice (Paddy)
270,213,344,17.75,Rice (Paddy)
271,214,345,11.1,Groundnut
272,215,346,20.03,Rice (Paddy)
273,215,347,5.08,Groundnut
274,215,348,9.93,Plantain
275,216,349,20.3,Groundnut
276,217,350,19.92,Cocoa
277,218,351,3.48,Cassava
278,219,352,7.31,Rice (Paddy)
279,220,353,11.27,Plantain
280,220,354,20.53,Plantain
281,221,355,15.18,Yam
282,222,356,1.59,Maize
283,223,357,16.23,Maize
284,224,358,6.72,Cocoa
285,224,359,7.16,Yam
286,225,360,5.16,Cocoa
287,226,361,24.34,Rice (Paddy)
288,227,362,12.44,Cocoa
289,227,363,14.32,Cassava
290,228,364,20.76,Rice (Paddy)
291,229,365,9.02,Plantain
292,230,366,10.85,Cassava
293,231,367,8.8,Cocoa
294,232,368,13.21,Groundnut
295,233,369,16.56,Plantain
296,233,370,3.52,Cocoa
297,233,371,12.3,Rice (Paddy)
298,234,372,24.86,Plantain
299,235,373,5.98,Plantain
300,236,374,21.54,Yam
301,237,375,7.27,Cassava
302,238,376,13.82,Cassava
303,239,377,22.67,Rice (Paddy)
304,240,378,23.75,Groundnut
305,241,379,11.44,Groundnut
306,242,380,17.37,Groundnut
307,243,381,2.79,Cassava
308,243,382,0.68,Maize
309,244,383,3.88,Plantain
310,244,384,6.75,Groundnut
311,245,385,10.85,Groundnut
312,246,386,10.74,Plantain
313,247,387,16.96,Groundnut
314,248,388,16.91,Cassava
315,249,389,6.34,Plantain
316,250,390,1.01,Cassava
317,251,391,12.36,Cassava
318,252,392,15.06,Rice (Paddy)
319,252,393,4.27,Rice (Paddy)
320,253,394,9.19,Plantain
321,254,395,23.06,Cassava
322,254,396,9.09,Maize
323,254,397,12.04,Cocoa
324,255,398,23.09,Plantain
325,256,399,5.31,Rice (Paddy)
326,257,400,7.19,Cassava
327,258,401,2.3,Yam
328,259,402,14.56,Plantain
329,260,403,6.98,Rice (Paddy)
330,261,404,18.62,Rice (Paddy)
331,262,405,18.32,Cassava
332,263,406,6.2,Yam
333,264,407,23.13,Yam
334,264,408,12.28,Groundnut
335,265,409,10.08,Yam
336,266,410,19.92,Cocoa
337,267,411,10.37,Yam
338,268,412,11.16,Maize
339,269,413,8.91,Plantain
340,269,414,4.81,Cocoa
341,270,415,3.98,Groundnut
342,271,416,10.11,Groundnut
343,272,417,12.57,Maize
344,273,418,3.27,Rice (Paddy)
345,274,419,5.92,Cassava
346,275,420,7.29,Cocoa
347,276,421,3.11,Groundnut
348,277,422,2.65,Yam
349,278,423,8.08,Yam
350,278,424,21.28,Maize
351,278,425,5.81,Yam
352,279,426,7.13,Cocoa
353,280,427,11.47,Maize
354,280,428,17.88,Cassava
355,281,429,19.83,Groundnut
356,282,430,15.24,Groundnut
357,283,431,12.06,Cocoa
358,284,432,24.47,Cassava
359,285,433,11.12,Maize
360,285,434,12.99,Maize
361,286,435,24.07,Yam
362,287,436,7.49,Plantain
363,288,437,8.95,Cassava
364,289,438,23.56,Maize
365,290,439,22.55,Rice (Paddy)
366,291,440,1.12,Maize
367,291,441,15.76,Rice (Paddy)
368,292,442,2.23,Groundnut
369,293,443,9.17,Rice (Paddy)
370,294,444,13.87,Yam
371,295,445,12.13,Yam
372,296,446,11.86,Maize
373,297,447,1.59,Cassava
374,298,448,1.15,Plantain
375,298,449,15.09,Cocoa
376,299,450,13.86,Groundnut
377,300,451,23.05,Cassava
378,301,452,20.71,Groundnut
379,302,453,15.53,Maize
380,303,454,16.4,Maize
381,304,455,9.5,Cocoa
382,305,456,2.29,Groundnut
383,306,457,15.23,Maize
384,307,458,15.7,Maize
385,308,459,8.51,Rice (Paddy)
386,309,460,20.84,Plantain
387,310,461,17.56,Plantain
388,311,462,0.72,Cassava
389,312,463,19.25,Groundnut
390,313,464,9.18,Groundnut
391,314,465,2.46,Plantain
392,315,466,9.72,Cocoa
393,316,467,6.25,Groundnut
394,317,468,8.86,Plantain
395,318,469,19.31,Rice (Paddy)
396,318,470,7.94,Plantain
397,319,471,8.83,Cocoa
398,320,472,22.4,Rice (Paddy)
399,321,473,22.41,Cocoa
400,321,474,21.63,Maize
401,321,475,22.46,Yam
402,322,476,17.31,Cocoa
403,323,477,21.6,Plantain
404,324,478,19.89,Cassava
405,325,479,4.74,Cocoa
406,326,480,1.49,Rice (Paddy)
407,327,481,12.96,Cassava
408,328,482,7.13,Cassava
409,329,483,2.73,Cocoa
410,330,484,9.38,Cassava
411,331,485,14.03,Rice (Paddy)
412,332,486,13.7,Yam
413,333,487,17.81,Maize
414,334,488,13.44,Groundnut
415,335,489,9.33,Yam
416,336,490,19.49,Maize
417,337,491,18.49,Cocoa
418,337,492,15.0,Cassava
419,338,493,4.75,Cassava
420,339,494,23.64,Rice (Paddy)
421,339,495,8.94,Groundnut
422,340,496,10.76,Maize
423,341,497,21.24,Maize
424,341,498,14.26,Plantain
425,342,499,8.92,Groundnut
426,343,500,7.6,Groundnut
427,344,501,23.43,Cocoa
428,345,502,3.51,Groundnut
429,346,503,3.47,Maize
430,347,504,22.35,Cocoa
431,348,505,5.47,Groundnut
432,349,506,19.39,Cocoa
433,350,507,9.64,Groundnut
434,351,508,6.0,Cassava
435,352,509,24.25,Yam
436,353,510,16.21,Plantain
437,354,511,7.39,Plantain
438,355,512,14.36,Plantain
439,355,513,21.2,Maize
440,355,514,17.32,Plantain
441,356,515,5.55,Maize
442,357,516,12.83,Yam
443,358,517,15.26,Groundnut
444,358,518,5.07,Maize
445,358,519,4.81,Plantain
446,359,520,24.68,Cassava
447,360,521,20.11,Groundnut
448,361,522,9.72,Yam
449,362,523,5.78,Cassava
450,363,524,5.83,Plantain
451,364,525,18.38,Yam
452,365,526,15.68,Groundnut
453,365,527,4.16,Cocoa
454,366,528,18.72,Maize
455,367,529,15.97,Rice (Paddy)
456,368,530,17.76,Cocoa
457,369,531,23.66,Yam
458,370,532,21.09,Groundnut
459,371,533,6.41,Groundnut
460,372,534,24.57,Maize
461,373,535,15.14,Cassava
462,373,536,6.75,Maize
463,373,537,17.65,Yam
464,374,538,11.81,Rice (Paddy)
465,375,539,12.42,Rice (Paddy)
466,376,540,3.64,Yam
467,377,541,16.87,Cassava
468,378,542,1.87,Cassava
469,379,543,16.12,Groundnut
470,380,544,11.5,Yam
471,381,545,19.64,Cassava
472,382,546,19.84,Cocoa
473,383,547,4.51,Plantain
474,384,548,9.53,Plantain
475,385,549,14.3,Maize
476,385,550,11.79,Yam
477,386,551,23.69,Plantain
478,387,552,3.15,Rice (Paddy)
479,387,553,9.46,Groundnut
480,388,554,9.7,Groundnut
481,388,555,5.99,Maize
482,388,556,3.22,Cassava
483,389,557,4.51,Groundnut
484,390,558,0.9,Plantain
485,391,559,18.73,Cocoa
486,392,560,4.09,Cocoa
487,393,561,14.25,Plantain
488,393,562,6.83,Cocoa
489,394,563,20.48,Cocoa
490,395,564,18.0,Rice (Paddy)
491,395,565,16.07,Cocoa
492,395,566,15.57,Yam
493,396,567,23.27,Cassava
494,396,568,14.87,Rice (Paddy)
495,396,569,12.71,Cassava
496,397,570,5.09,Cocoa
497,398,571,2.56,Groundnut
498,398,572,6.31,Plantain
499,398,573,5.3,Maize
500,399,574,14.78,Yam
501,400,575,8.79,Cocoa
502,401,576,18.85,Cocoa
503,401,577,17.04,Cassava
504,401,578,20.02,Plantain
505,402,579,8.5,Cassava
506,403,580,5.6,Cassava
507,404,581,17.35,Plantain
508,405,582,19.88,Cocoa
509,406,583,22.02,Rice (Paddy)
510,407,584,15.87,Cassava
511,408,585,14.4,Yam
512,409,586,8.61,Cocoa
513,410,587,18.11,Cocoa
514,411,588,9.15,Cocoa
515,412,589,2.61,Cocoa
516,413,590,22.89,Cocoa
517,414,591,24.12,Cocoa
518,415,592,20.99,Maize
519,416,593,7.92,Maize
520,416,594,24.53,Cocoa
521,416,595,10.86,Rice (Paddy)
522,417,596,17.83,Maize
523,418,597,10.02,Cassava
524,419,598,14.18,Yam
525,419,599,24.54,Groundnut
526,420,600,4.47,Cassava
527,421,601,20.21,Rice (Paddy)
528,422,602,15.53,Cassava
529,422,603,11.56,Plantain
530,423,604,24.84,Cassava
531,423,605,12.63,Groundnut
532,424,606,21.86,Plantain
533,425,607,13.13,Cassava
534,426,608,24.69,Cassava
535,427,609,8.64,Groundnut
536,428,610,6.16,Rice (Paddy)
537,429,611,4.0,Maize
538,430,612,15.2,Groundnut
539,431,613,3.01,Plantain
540,432,614,8.45,Yam
541,433,615,8.18,Cassava
542,434,616,0.86,Maize
543,435,617,17.13,Cassava
544,436,618,11.28,Maize
545,437,619,0.85,Plantain
546,438,620,4.2,Plantain
547,439,621,18.62,Cocoa
548,439,622,18.59,Maize
549,440,623,21.21,Cocoa
550,441,624,24.22,Rice (Paddy)
551,442,625,15.23,Yam
552,443,626,8.9,Yam
553,443,627,20.14,Plantain
554,444,628,4.09,Plantain
555,445,629,19.54,Yam
556,445,630,6.05,Yam
557,446,631,6.8,Groundnut
558,446,632,15.0,Plantain
559,447,633,5.76,Maize
560,448,634,18.3,Yam
561,449,635,10.72,Cassava
562,450,636,2.23,Cassava
563,451,637,23.06,Rice (Paddy)
564,451,638,19.25,Cocoa
565,451,639,22.12,Cassava
566,452,640,2.64,Groundnut
567,453,641,14.56,Rice (Paddy)
568,454,642,11.23,Maize
569,455,643,21.12,Cocoa
570,456,644,9.67,Rice (Paddy)
571,456,645,8.28,Groundnut
572,457,646,4.53,Cocoa
573,458,647,14.34,Groundnut
574,459,648,5.71,Cassava
575,460,649,21.53,Rice (Paddy)
576,460,650,15.82,Rice (Paddy)
577,461,651,3.5,Cassava
578,461,652,19.25,Rice (Paddy)
579,462,653,5.77,Groundnut
580,462,654,6.4,Rice (Paddy)
581,463,655,14.46,Plantain
582,464,656,12.45,Maize
583,465,657,10.7,Cassava
584,466,658,12.8,Cocoa
585,466,659,12.63,Groundnut
586,466,660,14.26,Rice (Paddy)
587,467,661,3.77,Cassava
588,468,662,0.58,Yam
589,468,663,1.14,Groundnut
590,469,664,5.63,Cocoa
591,469,665,1.51,Rice (Paddy)
592,470,666,4.33,Plantain
593,471,667,21.88,Maize
594,472,668,4.52,Yam
595,473,669,2.89,Maize
596,474,670,24.11,Plantain
597,475,671,23.87,Groundnut
598,476,672,6.54,Yam
599,476,673,21.02,Maize
600,476,674,11.17,Plantain
601,477,675,16.27,Groundnut
602,478,676,22.54,Rice (Paddy)
603,479,677,20.22,Groundnut
604,480,678,9.14,Rice (Paddy)
605,481,679,2.44,Cassava
606,482,680,19.64,Rice (Paddy)
607,483,681,23.58,Plantain
608,483,682,13.17,Plantain
609,484,683,22.22,Maize
610,485,684,4.41,Yam
611,485,685,23.35,Maize
612,485,686,8.67,Maize
613,486,687,24.66,Groundnut
614,487,688,11.15,Groundnut
615,487,689,23.21,Yam
616,488,690,15.99,Groundnut
617,489,691,2.24,Groundnut
618,490,692,17.05,Yam
619,491,693,6.86,Yam
620,492,694,0.84,Rice (Paddy)
621,493,695,14.49,Cassava
622,494,696,5.7,Groundnut
623,495,697,17.63,Maize
624,496,698,18.0,Rice (Paddy)
625,497,699,11.76,Yam
626,498,700,24.71,Cassava
627,499,701,5.71,Groundnut
628,500,702,16.81,Yam
629,500,703,18.46,Cocoa
630,501,704,17.32,Maize
631,501,705,10.86,Rice (Paddy)
632,501,706,3.99,Maize
633,502,707,23.62,Cocoa
634,502,708,18.65,Maize
635,503,709,22.87,Yam
636,504,710,15.83,Groundnut
637,505,711,9.5,Maize
638,505,712,9.45,Maize
639,506,713,2.97,Yam
640,507,714,14.21,Plantain
641,508,715,18.29,Maize
642,509,716,8.9,Cocoa
643,509,717,24.56,Maize
644,510,718,23.07,Cocoa
645,511,719,0.54,Rice (Paddy)
646,512,720,10.8,Cocoa
647,512,721,5.44,Cassava
648,513,722,19.16,Maize
649,513,723,23.43,Rice (Paddy)
650,514,724,14.08,Maize
651,515,725,14.26,Yam
652,515,726,10.59,Cassava
653,516,727,22.92,Cocoa
654,517,728,15.84,Maize
655,518,729,12.02,Rice (Paddy)
656,519,730,21.51,Cocoa
657,520,731,2.22,Plantain
658,521,732,19.19,Cocoa
659,522,733,13.52,Yam
660,522,734,11.04,Cassava
661,523,735,1.09,Groundnut
662,524,736,17.84,Groundnut
663,525,737,22.63,Cocoa
664,526,738,13.9,Rice (Paddy)
665,527,739,24.26,Maize
666,527,740,6.78,Plantain
667,528,741,22.17,Rice (Paddy)
668,529,742,6.55,Plantain
669,530,743,11.71,Groundnut
670,531,744,1.26,Groundnut
671,531,745,9.34,Maize
672,532,746,7.79,Rice (Paddy)
673,533,747,19.34,Rice (Paddy)
674,534,748,18.76,Groundnut
675,535,749,7.19,Rice (Paddy)
676,535,750,19.57,Groundnut
677,535,751,8.6,Maize
678,536,752,20.69,Cassava
679,537,753,17.91,Plantain
680,538,754,15.64,Rice (Paddy)
681,539,755,10.33,Rice (Paddy)
682,540,756,17.39,Cassava
683,541,757,17.92,Cocoa
684,541,758,19.92,Maize
685,542,759,10.22,Maize
686,543,760,14.43,Cassava
687,544,761,7.91,Yam
688,545,762,18.21,Rice (Paddy)
689,546,763,16.7,Groundnut
690,547,764,13.37,Groundnut
691,548,765,14.02,Cassava
692,549,766,12.74,Plantain
693,550,767,2.14,Cassava
694,551,768,5.68,Groundnut
695,551,769,13.36,Rice (Paddy)
696,552,770,8.49,Plantain
697,553,771,15.04,Yam
698,553,772,3.52,Maize
699,554,773,2.02,Cassava
700,555,774,12.43,Yam
701,556,775,9.21,Rice (Paddy)
702,557,776,5.77,Groundnut
703,558,777,4.05,Maize
704,558,778,12.95,Cassava
705,558,779,4.13,Groundnut
706,559,780,17.73,Plantain
707,559,781,5.67,Groundnut
708,560,782,7.77,Yam
709,561,783,20.94,Plantain
710,562,784,16.77,Groundnut
711,563,785,14.83,Cocoa
712,563,786,5.78,Cocoa
713,564,787,12.83,Groundnut
714,565,788,22.45,Maize
715,566,789,17.6,Rice (Paddy)
716,567,790,7.28,Yam
717,568,791,6.86,Rice (Paddy)
718,569,792,7.25,Yam
719,570,793,15.11,Groundnut
720,570,794,21.59,Cocoa
721,571,795,6.74,Rice (Paddy)
722,572,796,17.74,Groundnut
723,573,797,3.7,Groundnut
724,574,798,5.16,Groundnut
725,575,799,21.38,Cassava
726,576,800,11.38,Cassava
727,577,801,0.88,Plantain
728,578,802,23.89,Maize
729,579,803,18.67,Groundnut
730,580,804,19.07,Plantain
731,581,805,12.98,Yam
732,581,806,20.16,Groundnut
733,581,807,10.33,Maize
734,582,808,9.35,Cassava
735,583,809,13.98,Plantain
736,584,810,7.44,Groundnut
737,584,811,21.61,Yam
738,585,812,16.56,Yam
739,586,813,16.49,Plantain
740,587,814,10.3,Groundnut
741,588,815,17.23,Yam
742,589,816,20.5,Plantain
743,590,817,12.15,Plantain
744,591,818,13.57,Cassava
745,592,819,18.83,Rice (Paddy)
746,592,820,12.25,Groundnut
747,592,821,23.94,Cocoa
748,593,822,9.42,Rice (Paddy)
749,594,823,5.01,Yam
750,595,824,4.38,Plantain
751,596,825,7.34,Groundnut
752,597,826,21.69,Groundnut
753,597,827,7.15,Cassava
754,598,828,12.5,Plantain
755,598,829,3.17,Groundnut
756,599,830,8.21,Groundnut
757,599,831,14.73,Maize
758,600,832,23.0,Cassava
759,600,833,6.01,Groundnut
760,600,834,3.57,Groundnut
761,601,835,19.97,Cassava
762,601,836,4.92,Rice (Paddy)
763,602,837,14.78,Maize
764,603,838,8.28,Rice (Paddy)
765,604,839,5.02,Groundnut
766,605,840,3.71,Rice (Paddy)
767,606,841,15.81,Groundnut
768,606,842,17.73,Maize
769,607,843,18.15,Yam
770,608,844,6.61,Rice (Paddy)
771,609,845,16.62,Cocoa
772,609,846,15.22,Maize
773,610,847,18.52,Rice (Paddy)
774,611,848,2.02,Cassava
775,611,849,12.7,Maize
776,612,850,20.29,Groundnut
777,613,851,17.14,Maize
778,614,852,14.0,Cocoa
779,614,853,21.51,Maize
780,614,854,7.68,Plantain
781,615,855,2.59,Maize
782,616,856,11.92,Groundnut
783,616,857,15.1,Cassava
784,617,858,13.61,Yam
785,618,859,21.78,Maize
786,619,860,24.14,Groundnut
787,620,861,18.47,Cocoa
788,621,862,6.03,Groundnut
789,622,863,8.72,Cassava
790,623,864,5.71,Rice (Paddy)
791,624,865,1.7,Groundnut
792,624,866,6.0,Groundnut
793,625,867,13.21,Plantain
794,626,868,3.17,Cassava
795,626,869,21.9,Cassava
796,627,870,18.79,Cocoa
797,628,871,9.22,Plantain
798,628,872,20.35,Rice (Paddy)
799,628,873,12.18,Cassava
800,629,874,21.69,Cassava
801,630,875,20.35,Rice (Paddy)
802,631,876,12.32,Cassava
803,632,877,3.37,Plantain
804,633,878,2.56,Rice (Paddy)
805,634,879,6.28,Groundnut
806,635,880,22.37,Cassava
807,636,881,12.27,Rice (Paddy)
808,637,882,6.57,Groundnut
809,637,883,14.7,Plantain
810,638,884,10.68,Yam
811,639,885,21.13,Rice (Paddy)
812,639,886,24.43,Groundnut
813,640,887,4.89,Plantain
814,641,888,13.81,Rice (Paddy)
815,642,889,16.92,Cassava
816,643,890,0.68,Groundnut
817,644,891,9.46,Cassava
818,645,892,22.46,Cassava
819,646,893,5.0,Rice (Paddy)
820,647,894,1.03,Plantain
821,647,895,23.52,Cocoa
822,648,896,13.98,Cocoa
823,649,897,23.66,Cassava
824,650,898,20.83,Maize
825,651,899,18.17,Cassava
826,651,900,12.34,Cassava
827,652,901,18.09,Maize
828,652,902,22.94,Cocoa
829,652,903,14.22,Groundnut
830,653,904,7.09,Groundnut
831,653,905,1.1,Groundnut
832,654,906,13.01,Plantain
833,654,907,4.86,Plantain
834,655,908,20.41,Cassava
835,655,909,6.78,Cocoa
836,655,910,18.71,Cocoa
837,656,911,23.31,Rice (Paddy)
838,657,912,3.89,Cassava
839,658,913,13.07,Cassava
840,659,914,22.81,Maize
841,660,915,9.32,Maize
842,661,916,1.07,Cassava
843,662,917,12.3,Yam
844,663,918,5.35,Maize
845,663,919,12.54,Yam
846,664,920,15.85,Cassava
847,665,921,19.21,Yam
848,666,922,1.95,Maize
849,667,923,15.15,Plantain
850,668,924,13.73,Cassava
851,668,925,8.98,Cassava
852,669,926,13.61,Maize
853,670,927,9.76,Cocoa
854,671,928,14.1,Cocoa
855,672,929,8.91,Cocoa
856,673,930,3.88,Rice (Paddy)
857,674,931,23.43,Plantain
858,674,932,11.66,Groundnut
859,674,933,22.04,Maize
860,675,934,13.77,Groundnut
861,676,935,2.62,Plantain
862,677,936,6.81,Groundnut
863,678,937,11.41,Maize
864,679,938,3.22,Cassava
865,680,939,11.17,Cocoa
866,681,940,1.49,Yam
867,682,941,11.88,Cassava
868,682,942,17.69,Yam
869,682,943,22.0,Plantain
870,683,944,17.26,Maize
871,684,945,9.32,Cocoa
872,685,946,12.83,Maize
873,686,947,4.56,Cocoa
874,687,948,24.04,Groundnut
875,687,949,10.5,Cassava
876,687,950,1.81,Cocoa
877,688,951,21.64,Cocoa
878,689,952,20.18,Plantain
879,690,953,5.71,Yam
880,691,954,10.71,Rice (Paddy)
881,692,955,9.08,Yam
882,693,956,24.27,Cassava
883,694,957,5.11,Rice (Paddy)
884,694,958,21.66,Groundnut
885,694,959,18.32,Maize
886,695,960,14.97,Cassava
887,696,961,6.15,Maize
