loyalty_id,customer_id,store_format,tier,points_balance,enrolment_date
82,153,flagship,gold,23237,2019-08-21
83,155,express,bronze,31121,2024-05-23
84,156,express,silver,16402,2023-01-13
85,159,online,bronze,16629,2025-10-04
86,159,express,bronze,8106,2024-06-20
87,163,standard,gold,49740,2025-03-31
88,164,flagship,silver,13740,2024-02-13
89,165,flagship,silver,44687,2022-01-04
90,167,express,bronze,5718,2022-06-07
91,168,flagship,bronze,43623,2024-06-23
92,170,flagship,bronze,33343,2022-04-25
93,172,online,bronze,15584,2025-03-15
94,173,flagship,silver,36508,2019-07-02
95,174,express,silver,18737,2024-02-09
96,176,express,bronze,43453,2023-03-10
97,181,online,bronze,10546,2021-06-06
98,181,flagship,bronze,19695,2023-10-20
99,182,standard,bronze,22012,2026-03-07
100,185,flagship,gold,30735,2023-05-25
101,187,express,bronze,35597,2024-08-13
102,193,online,bronze,1447,2025-07-31
103,194,flagship,gold,45441,2023-09-29
104,196,flagship,bronze,47607,2024-10-06
105,199,standard,bronze,16123,2021-11-05
106,199,express,silver,42857,2021-06-05
107,203,standard,bronze,20440,2021-07-25
108,205,standard,silver,27638,2020-05-20
109,208,online,bronze,47675,2023-05-23
110,209,flagship,silver,2078,2024-02-18
111,212,flagship,silver,15696,2023-11-20
112,215,express,silver,20992,2024-04-29
113,219,online,bronze,14864,2025-03-08
114,221,flagship,silver,19043,2024-01-03
115,223,standard,bronze,15385,2024-11-28
116,224,express,bronze,36724,2026-02-11
117,225,online,bronze,25615,2019-04-13
118,226,flagship,bronze,27796,2025-01-03
119,228,flagship,silver,42030,2021-09-17
120,229,flagship,bronze,14652,2021-09-25
121,229,standard,bronze,17833,2025-09-16
122,232,online,gold,39026,2024-10-20
123,233,flagship,silver,37946,2021-08-10
124,239,flagship,silver,40774,2026-05-09
125,242,express,silver,19222,2019-06-29
126,242,standard,silver,49383,2024-12-26
127,243,flagship,bronze,22373,2020-10-11
128,247,online,silver,49990,2019-08-13
129,249,express,bronze,25300,2022-07-02
130,252,standard,bronze,20788,2019-01-04
131,253,standard,silver,30861,2019-04-13
132,254,online,silver,18769,2025-08-08
133,254,standard,bronze,11497,2025-07-19
134,258,standard,bronze,23112,2020-09-19
135,262,online,bronze,27245,2024-06-19
136,271,express,silver,16762,2020-12-04
137,273,flagship,bronze,46022,2023-05-29
138,274,flagship,platinum,39597,2023-04-06
139,274,express,silver,37744,2025-08-03
140,279,online,bronze,4631,2021-07-21
141,282,online,bronze,37234,2022-09-26
142,283,online,bronze,14864,2021-12-11
143,284,standard,silver,43249,2023-12-17
144,285,online,bronze,7407,2025-12-25
145,286,express,bronze,33899,2022-04-18
146,287,standard,bronze,40428,2023-06-05
147,293,online,bronze,48436,2019-10-15
148,295,standard,bronze,31597,2023-03-07
149,296,standard,silver,23433,2022-01-03
150,297,online,gold,6487,2024-08-09
151,298,standard,bronze,25500,2020-11-21
152,299,express,silver,34459,2024-04-17
153,306,standard,bronze,37520,2024-09-01
154,308,standard,bronze,27081,2024-10-14
155,309,flagship,bronze,4014,2022-11-19
156,315,flagship,bronze,44029,2025-10-21
157,317,standard,bronze,45496,2020-10-08
158,318,express,bronze,13687,2025-06-10
159,323,online,bronze,32853,2022-06-18
160,326,express,bronze,28296,2019-01-26
161,329,flagship,silver,39404,2020-11-26
162,331,flagship,bronze,13564,2024-04-24
163,333,standard,bronze,49593,2026-03-25
164,335,standard,bronze,40138,2026-01-04
165,337,flagship,gold,35387,2021-02-11
166,339,online,silver,32266,2020-04-12
167,342,flagship,silver,5942,2020-09-28
168,344,online,gold,25520,2020-06-05
169,345,express,silver,4125,2020-03-13
170,352,standard,bronze,9186,2019-12-11
171,353,flagship,gold,42792,2023-11-11
172,354,express,silver,4568,2024-04-14
173,356,flagship,silver,15238,2024-04-02
174,357,standard,silver,33014,2024-03-05
175,357,express,silver,30151,2021-09-06
176,361,express,bronze,101,2019-12-08
177,365,express,bronze,48198,2025-01-23
178,370,standard,silver,8770,2022-11-19
179,372,flagship,silver,35772,2026-06-26
180,373,standard,bronze,49094,2025-12-20
181,373,flagship,bronze,10332,2023-04-26
182,375,express,gold,14854,2024-09-25
183,376,online,bronze,25920,2020-05-09
184,376,express,silver,23859,2021-01-05
185,378,standard,bronze,26562,2019-01-30
186,379,express,silver,14391,2019-10-31
187,380,standard,silver,41082,2020-07-04
188,381,standard,bronze,22868,2019-03-14
189,382,flagship,bronze,1700,2025-11-23
190,384,online,silver,13341,2021-03-12
191,388,online,silver,46523,2020-01-05
192,389,standard,bronze,38803,2021-01-30
193,389,flagship,gold,19978,2025-06-05
194,393,express,bronze,30050,2020-02-07
195,394,online,gold,2520,2024-11-22
196,397,online,bronze,30817,2019-10-09
197,398,standard,bronze,15479,2021-09-10
198,399,standard,bronze,39551,2021-05-09
199,401,flagship,bronze,8464,2022-01-05
200,401,online,platinum,23817,2026-02-09
201,405,online,silver,49366,2023-11-08
202,406,online,bronze,23119,2019-02-11
203,408,standard,bronze,20016,2023-03-03
204,409,standard,gold,16301,2019-09-27
205,411,standard,silver,12079,2024-04-06
206,411,express,bronze,11609,2022-07-13
207,412,express,silver,12218,2022-06-10
208,412,flagship,gold,12821,2020-12-15
209,414,online,bronze,24918,2019-01-06
210,415,flagship,bronze,885,2021-06-23
211,418,flagship,bronze,38248,2024-02-11
212,420,standard,bronze,23309,2025-08-31
213,426,express,platinum,24769,2026-06-15
214,429,flagship,silver,48590,2026-06-05
215,430,online,bronze,10561,2021-11-27
216,432,flagship,bronze,6893,2025-06-27
217,432,standard,silver,42618,2023-06-07
218,433,standard,silver,13115,2019-01-13
219,434,flagship,bronze,23223,2022-12-13
220,436,standard,bronze,23190,2019-05-06
221,437,express,silver,42451,2025-09-12
222,438,express,platinum,11376,2019-09-14
223,439,express,bronze,19903,2019-08-23
224,441,express,bronze,17313,2023-10-30
225,448,online,silver,13029,2019-11-07
226,451,express,platinum,19766,2023-04-12
227,451,online,bronze,4921,2020-03-15
228,452,standard,silver,32913,2024-07-05
229,455,express,gold,33327,2021-11-08
230,456,standard,bronze,17926,2019-07-07
231,456,online,bronze,20571,2019-01-18
232,457,express,silver,28684,2020-01-16
233,457,standard,bronze,27665,2022-08-26
234,458,flagship,silver,18391,2025-08-22
235,459,standard,silver,18134,2021-08-01
236,459,flagship,bronze,7339,2020-11-23
237,463,standard,gold,35738,2026-02-01
238,464,flagship,silver,45693,2021-03-22
239,467,express,gold,41011,2025-12-03
240,468,flagship,bronze,35974,2021-09-03
241,468,express,bronze,28785,2025-06-04
242,471,flagship,bronze,46628,2020-01-18
243,473,express,silver,36598,2023-10-24
244,473,online,gold,41912,2021-04-10
245,474,standard,bronze,7203,2026-04-14
246,475,flagship,silver,16719,2026-03-25
247,476,standard,gold,49313,2023-01-04
248,476,online,bronze,49674,2024-05-08
249,479,express,bronze,33803,2026-05-14
250,484,standard,silver,47628,2026-01-27
251,488,express,bronze,13771,2023-12-16
252,491,online,bronze,49459,2020-12-06
253,491,flagship,gold,11805,2023-06-15
254,495,express,bronze,49847,2023-08-09
255,499,standard,bronze,35204,2023-02-24
256,501,standard,bronze,11580,2020-03-06
257,501,online,bronze,46573,2025-06-15
258,502,express,bronze,37611,2022-01-26
259,503,standard,bronze,25633,2021-06-26
260,505,flagship,gold,38805,2026-05-28
261,509,flagship,bronze,312,2026-01-29
262,509,express,silver,35405,2019-09-06
263,510,online,bronze,42358,2023-02-13
264,512,online,gold,40371,2024-07-03
265,515,flagship,bronze,27075,2022-04-10
266,520,express,silver,15178,2021-11-18
267,521,flagship,bronze,22686,2023-10-09
268,522,online,silver,2070,2019-06-22
269,523,standard,silver,27650,2021-04-11
270,525,express,bronze,8431,2023-06-08
271,526,online,gold,45054,2021-11-08
272,528,standard,bronze,45615,2023-08-02
273,530,standard,bronze,41344,2022-12-12
274,531,express,bronze,10370,2021-12-31
275,533,flagship,bronze,44416,2025-02-06
276,534,online,gold,26665,2022-11-30
277,537,flagship,bronze,11491,2021-04-08
278,540,express,silver,4801,2025-02-11
279,541,express,platinum,28018,2021-05-22
280,544,flagship,bronze,36573,2022-12-04
281,545,online,silver,34958,2022-02-13
282,547,flagship,silver,28382,2022-10-13
283,547,online,silver,38800,2022-03-20
284,548,online,bronze,38602,2019-03-17
285,549,express,bronze,22692,2026-06-21
286,550,express,bronze,38880,2020-05-20
287,551,express,silver,11023,2022-02-02
288,554,standard,bronze,45548,2022-10-08
289,558,flagship,silver,20690,2023-06-01
290,560,express,bronze,16714,2021-08-31
291,561,standard,bronze,16921,2023-11-13
292,562,standard,bronze,1278,2020-02-13
293,566,standard,bronze,28293,2021-03-20
294,567,flagship,bronze,5546,2021-05-28
295,570,standard,bronze,6256,2026-05-08
296,572,standard,bronze,21207,2020-09-08
297,573,flagship,platinum,13984,2021-09-14
298,575,online,bronze,40487,2025-08-28
299,576,standard,bronze,5748,2022-09-09
300,578,online,bronze,21006,2019-01-09
301,579,standard,bronze,13340,2019-01-17
302,580,express,bronze,24889,2020-01-05
303,581,express,silver,10369,2023-02-22
304,582,express,silver,14537,2026-02-14
305,585,express,bronze,35343,2020-02-04
306,586,flagship,silver,11961,2025-09-02
307,587,flagship,bronze,43912,2020-12-17
308,590,express,bronze,40361,2024-07-07
309,593,standard,bronze,3385,2022-04-26
310,594,standard,bronze,49398,2023-01-24
311,601,online,bronze,41537,2025-06-11
312,604,flagship,bronze,7874,2022-01-10
313,605,flagship,bronze,6523,2024-03-11
314,608,standard,bronze,9434,2019-10-14
315,609,standard,bronze,49832,2023-10-22
316,610,express,silver,38438,2020-10-26
317,611,flagship,bronze,37935,2023-02-23
318,612,standard,silver,49456,2019-05-24
319,613,standard,gold,3637,2025-03-16
320,616,standard,bronze,1875,2021-02-11
321,616,express,bronze,14981,2023-07-04
322,617,standard,gold,588,2025-12-16
323,620,standard,silver,19778,2025-12-06
324,622,standard,bronze,16154,2019-11-15
325,623,flagship,bronze,7181,2024-06-06
326,626,online,bronze,14881,2020-02-06
327,629,standard,silver,5087,2021-01-30
328,632,standard,bronze,842,2026-02-04
329,633,express,bronze,19741,2024-05-02
330,635,standard,bronze,23731,2025-12-16
331,636,online,gold,46841,2019-09-23
332,638,standard,bronze,5081,2021-11-22
333,639,express,platinum,36906,2021-11-03
334,641,express,bronze,8761,2024-10-29
335,648,online,bronze,49813,2023-10-16
336,654,standard,bronze,40637,2023-09-16
337,654,flagship,silver,32011,2020-11-30
338,658,flagship,silver,44828,2023-05-24
339,660,standard,bronze,37325,2021-11-05
340,661,standard,bronze,42882,2025-04-24
341,662,online,bronze,28651,2022-10-11
342,662,standard,bronze,15983,2023-05-31
343,665,flagship,bronze,1839,2022-01-08
344,667,flagship,bronze,39115,2026-02-26
345,673,standard,bronze,19291,2020-11-19
346,675,flagship,bronze,1078,2019-11-21
347,676,flagship,silver,47572,2024-03-24
348,677,online,bronze,17054,2021-04-15
349,678,online,bronze,34983,2023-03-07
350,681,standard,gold,651,2024-07-05
351,682,flagship,silver,25902,2022-12-13
352,687,flagship,bronze,42464,2022-11-02
353,691,standard,silver,49464,2021-01-26
354,691,online,silver,26484,2019-03-19
355,693,flagship,silver,6452,2021-10-03
356,696,express,bronze,8376,2020-01-27
357,697,express,gold,13310,2019-07-15
358,698,flagship,bronze,37805,2026-01-09
359,699,express,silver,8359,2022-04-26
360,702,online,bronze,12429,2021-02-06
361,703,flagship,gold,40842,2026-06-02
362,705,standard,bronze,6146,2022-07-17
363,706,standard,bronze,30278,2026-05-16
364,706,express,bronze,41896,2024-09-21
365,707,standard,silver,10384,2022-05-07
366,708,flagship,platinum,29840,2021-04-07
367,708,online,bronze,30588,2019-11-26
368,709,online,bronze,13394,2026-02-23
369,710,online,bronze,5172,2020-09-27
370,712,flagship,silver,47551,2024-06-06
371,713,flagship,bronze,14842,2020-09-23
372,714,express,bronze,33499,2020-08-20
373,716,express,bronze,41358,2023-06-28
374,720,standard,bronze,27830,2025-10-30
375,725,flagship,bronze,21150,2020-05-26
376,731,express,silver,11774,2024-04-08
377,732,standard,bronze,1205,2020-04-20
378,733,online,silver,38971,2021-01-23
379,747,flagship,bronze,49498,2025-08-30
380,749,standard,silver,17459,2021-04-04
381,756,flagship,bronze,12837,2025-03-01
382,757,standard,bronze,35406,2022-07-04
383,758,flagship,bronze,42655,2022-02-21
384,763,express,silver,29574,2026-02-06
385,763,online,bronze,46574,2021-12-02
386,765,express,silver,25526,2023-11-24
387,766,standard,gold,6464,2019-05-06
388,768,express,bronze,30423,2022-04-21
389,768,online,silver,43051,2019-11-08
390,770,online,bronze,48765,2026-03-22
391,771,flagship,bronze,37497,2026-04-06
392,772,standard,bronze,6665,2025-10-24
393,776,online,bronze,25195,2025-12-12
394,781,express,bronze,6081,2019-01-13
395,784,online,bronze,22397,2025-03-15
396,784,express,bronze,7155,2022-08-31
397,785,standard,bronze,49389,2022-12-18
398,788,flagship,bronze,19302,2020-03-22
399,789,express,bronze,27177,2019-12-03
400,791,standard,silver,23764,2023-05-24
401,793,express,bronze,47527,2021-07-19
402,798,online,silver,35715,2021-11-09
403,806,express,bronze,38353,2019-11-21
404,806,online,bronze,4181,2023-02-16
405,807,standard,bronze,38199,2020-08-01
406,808,standard,bronze,45225,2022-07-25
407,811,standard,silver,47341,2024-09-12
408,812,flagship,bronze,21611,2022-06-03
409,819,express,bronze,26601,2020-06-06
410,820,express,gold,7705,2019-07-14
411,821,flagship,bronze,27714,2025-03-30
412,821,online,bronze,7740,2021-02-19
413,825,express,bronze,12016,2020-01-30
414,829,flagship,bronze,37676,2021-01-16
415,832,online,platinum,43763,2022-03-02
416,833,online,bronze,354,2025-11-15
417,834,flagship,bronze,20812,2024-02-11
418,835,flagship,bronze,43794,2023-03-17
419,837,online,silver,2098,2019-08-01
420,843,flagship,bronze,17594,2024-11-07
421,845,express,silver,44129,2020-02-08
422,846,standard,gold,10320,2026-01-25
423,848,standard,silver,47925,2024-08-20
424,849,flagship,bronze,21230,2020-03-01
425,850,online,bronze,46679,2025-09-17
426,854,standard,platinum,7505,2023-10-18
427,854,express,bronze,32386,2019-02-12
428,855,online,bronze,13498,2019-08-16
429,856,online,bronze,43672,2023-04-10
430,857,online,silver,29319,2022-06-25
431,859,online,silver,12264,2021-02-02
432,861,standard,bronze,44448,2023-12-29
433,863,standard,bronze,41709,2023-10-01
434,864,online,bronze,36015,2021-06-01
435,865,flagship,gold,46908,2025-03-31
436,866,express,bronze,33828,2020-04-24
437,867,standard,silver,19137,2025-09-05
438,869,flagship,bronze,11475,2021-01-04
439,872,standard,bronze,23786,2024-02-27
440,873,flagship,silver,37246,2023-10-18
441,873,online,gold,8659,2025-01-09
442,874,online,bronze,26405,2024-09-30
443,875,standard,silver,20560,2022-02-08
444,876,online,gold,3160,2026-03-12
445,877,express,platinum,34589,2022-08-24
446,879,online,silver,9473,2023-05-24
447,880,flagship,silver,13458,2024-02-02
448,881,standard,silver,8697,2025-09-30
449,881,express,silver,13123,2025-06-19
450,883,online,bronze,35288,2023-09-02
451,884,standard,bronze,2423,2019-06-06
452,885,express,silver,8526,2025-06-05
453,887,online,bronze,23302,2025-06-28
454,888,express,silver,45513,2025-04-27
455,889,online,bronze,46518,2019-03-07
456,889,express,bronze,42231,2024-05-19
457,890,flagship,bronze,18880,2019-03-10
458,890,standard,bronze,12864,2021-04-16
459,891,flagship,bronze,15861,2021-09-10
460,892,express,bronze,30822,2020-10-08
461,895,online,platinum,42832,2026-03-13
462,896,standard,bronze,40591,2022-05-09
463,896,express,bronze,16644,2019-12-10
464,897,express,silver,34819,2021-01-15
465,898,online,silver,3975,2025-10-01
466,899,express,silver,27213,2021-08-03
467,902,online,silver,46675,2021-08-31
468,902,standard,bronze,8632,2024-07-02
469,906,online,bronze,21124,2022-02-09
470,908,express,bronze,41160,2019-12-05
471,910,flagship,gold,13275,2025-07-29
472,912,online,gold,9012,2021-03-02
473,912,flagship,silver,11096,2022-08-15
474,914,flagship,silver,7695,2024-01-01
475,916,flagship,bronze,10310,2025-04-12
476,922,flagship,silver,15691,2023-04-02
477,925,standard,silver,46968,2024-12-21
478,925,express,silver,49502,2021-01-29
479,926,online,bronze,30470,2024-12-07
480,927,standard,gold,849,2020-07-08
481,929,online,bronze,7076,2019-07-28
482,931,online,silver,34300,2020-05-20
483,932,online,bronze,28414,2023-01-19
484,933,online,bronze,46967,2023-03-03
485,935,standard,bronze,36166,2019-04-19
486,936,online,bronze,13565,2022-10-02
487,941,online,bronze,40553,2023-11-05
488,946,express,bronze,46669,2022-03-07
489,955,flagship,silver,46785,2021-08-13
490,958,express,silver,7723,2019-02-20
491,967,flagship,bronze,47945,2021-07-29
492,968,standard,bronze,32286,2022-08-27
493,970,flagship,bronze,23122,2022-11-03
494,973,flagship,gold,9951,2021-03-23
495,974,flagship,bronze,29354,2019-11-18
496,975,online,bronze,3463,2020-08-24
497,976,flagship,bronze,19053,2020-12-08
498,977,flagship,bronze,11526,2023-09-07
499,979,flagship,bronze,25851,2019-09-01
500,979,online,silver,42063,2026-01-16
501,980,standard,bronze,33508,2023-11-29
502,981,standard,bronze,195,2024-08-13
503,982,express,bronze,5544,2024-09-19
504,986,flagship,silver,33967,2020-01-27
505,987,flagship,bronze,11118,2019-11-09
506,988,flagship,silver,38470,2019-12-01
507,992,online,silver,16880,2024-02-04
508,996,flagship,bronze,34253,2025-01-03
509,996,express,bronze,7022,2021-04-05
510,999,online,silver,8464,2020-04-26
511,1001,standard,silver,32300,2020-06-28
512,1002,express,bronze,29702,2024-04-10
513,1003,online,bronze,23361,2019-09-20
514,1005,flagship,bronze,46124,2019-09-15
515,1008,standard,bronze,43014,2022-05-05
516,1011,online,bronze,34625,2021-09-02
517,1013,standard,bronze,37432,2021-05-26
518,1016,standard,bronze,36992,2021-11-02
519,1017,flagship,bronze,10321,2026-04-04
520,1019,express,platinum,31745,2020-10-25
521,1020,standard,gold,44728,2025-02-20
522,1024,flagship,bronze,42595,2022-10-01
523,1027,online,bronze,4433,2026-06-09
524,1031,express,silver,2777,2024-09-11
525,1033,online,bronze,49504,2025-11-09
526,1035,online,platinum,8341,2020-08-15
527,1035,express,gold,27410,2021-01-19
528,1036,standard,silver,48058,2019-03-13
529,1038,standard,silver,25051,2024-05-09
530,1039,standard,bronze,37749,2020-09-08
531,1039,online,bronze,46670,2020-01-20
532,1040,online,bronze,7410,2023-09-23
533,1041,flagship,gold,14431,2025-12-11
534,1041,express,bronze,31284,2023-04-17
535,1042,flagship,bronze,46038,2025-12-16
536,1043,express,bronze,45934,2024-01-20
537,1043,standard,bronze,16908,2024-01-19
538,1045,online,gold,19701,2025-01-31
539,1047,flagship,gold,9002,2023-06-15
540,1047,standard,silver,24119,2023-05-29
541,1051,express,bronze,8223,2024-11-01
542,1052,flagship,bronze,7752,2021-05-10
543,1052,online,bronze,20094,2025-02-25
544,1054,standard,silver,5014,2023-07-27
545,1056,flagship,bronze,2705,2021-08-15
546,1056,express,bronze,13556,2020-10-20
547,1058,online,bronze,10502,2024-02-15
548,1059,express,gold,1323,2019-12-14
549,1061,online,bronze,35629,2024-01-29
550,1063,flagship,gold,44405,2022-03-03
551,1064,online,platinum,12937,2026-03-20
552,1070,express,silver,14088,2023-09-04
553,1072,online,silver,29089,2020-09-04
554,1076,standard,silver,4291,2021-02-26
555,1078,standard,bronze,37857,2026-04-13
556,1079,flagship,platinum,41429,2024-07-09
557,1084,online,bronze,10190,2022-01-06
558,1086,flagship,platinum,37554,2023-09-21
559,1087,express,bronze,25621,2024-09-24
560,1088,online,bronze,37347,2021-04-07
561,1089,online,silver,9016,2021-02-21
562,1090,flagship,bronze,37871,2019-12-06
563,1092,standard,bronze,9269,2024-06-16
564,1093,express,silver,27895,2020-12-16
565,1093,flagship,silver,5602,2019-01-26
566,1096,online,bronze,23205,2025-02-10
567,1100,standard,bronze,7870,2021-12-14
568,1106,online,bronze,35812,2020-05-22
569,1107,online,platinum,18445,2019-05-22
570,1108,standard,silver,28161,2025-02-28
571,1109,flagship,bronze,32804,2022-02-03
572,1109,standard,bronze,15362,2019-10-01
573,1111,online,bronze,37107,2022-01-04
574,1112,flagship,gold,14015,2022-10-18
575,1113,standard,bronze,12989,2024-04-16
576,1114,online,silver,36055,2022-12-06
577,1118,online,bronze,39629,2019-12-10
578,1122,express,bronze,20795,2023-10-20
579,1126,express,bronze,1585,2024-06-04
580,1130,flagship,bronze,41434,2023-10-17
581,1132,standard,bronze,1580,2019-09-03
582,1133,standard,silver,13441,2024-09-18
583,1135,express,silver,12045,2024-02-15
584,1137,express,silver,5889,2022-05-04
585,1137,flagship,silver,3370,2025-05-07
586,1138,online,bronze,16957,2023-05-14
587,1138,standard,silver,9735,2026-03-10
588,1142,flagship,gold,48845,2019-09-04
589,1143,online,gold,40122,2020-02-21
590,1144,express,silver,26702,2021-11-09
591,1145,standard,bronze,9062,2026-03-14
592,1148,express,silver,16149,2021-01-29
593,1149,express,bronze,2231,2020-12-25
594,1150,express,silver,1124,2024-07-12
595,1152,flagship,silver,36157,2020-03-19
596,1154,standard,bronze,44234,2024-11-28
597,1158,standard,gold,29446,2024-05-29
598,1159,express,silver,15942,2023-02-20
599,1161,flagship,bronze,21458,2024-07-10
600,1161,standard,gold,22899,2021-09-12
601,1162,online,bronze,28205,2019-02-14
602,1163,express,bronze,46376,2021-11-07
603,1165,flagship,bronze,10671,2023-08-20
604,1167,flagship,bronze,41753,2021-12-21
605,1168,express,bronze,20009,2025-03-14
606,1169,standard,bronze,3552,2019-01-12
607,1169,online,bronze,34707,2021-07-14
608,1170,express,silver,26059,2021-05-13
609,1172,flagship,bronze,11522,2026-03-02
610,1176,flagship,silver,48133,2024-01-27
611,1178,standard,bronze,45492,2019-06-08
612,1182,express,gold,45919,2021-11-19
613,1182,flagship,bronze,8565,2023-06-06
614,1186,standard,silver,18741,2024-08-13
615,1187,flagship,bronze,19862,2023-06-04
616,1189,flagship,bronze,3682,2019-12-16
617,1190,standard,silver,2920,2022-07-26
618,1194,standard,gold,24553,2025-09-03
619,1198,flagship,bronze,42994,2020-04-20
620,1206,flagship,bronze,44007,2025-08-07
621,1207,standard,silver,32804,2024-06-14
622,1209,express,bronze,20678,2025-05-07
623,1213,express,bronze,3526,2026-05-09
624,1213,standard,gold,15951,2022-01-04
625,1216,standard,bronze,13510,2020-06-17
626,1218,online,silver,14410,2022-02-01
627,1224,online,bronze,9695,2019-12-25
628,1225,online,bronze,15698,2020-03-26
629,1226,standard,bronze,4176,2025-02-16
630,1226,express,gold,8378,2019-12-16
631,1228,online,silver,48554,2021-05-30
632,1228,standard,bronze,46134,2023-10-14
633,1230,flagship,bronze,22430,2023-07-12
634,1231,online,bronze,32807,2025-07-28
635,1232,online,bronze,18787,2021-11-21
636,1233,standard,bronze,48678,2025-08-16
637,1234,flagship,bronze,9951,2019-09-10
638,1235,online,bronze,8867,2024-04-11
639,1236,standard,silver,6081,2019-09-17
640,1242,online,silver,11248,2023-05-03
641,1243,express,bronze,49638,2021-03-09
642,1244,standard,bronze,7318,2019-12-07
643,1247,express,bronze,16608,2022-01-24
644,1248,standard,bronze,14665,2020-05-14
645,1248,online,bronze,4548,2021-03-03
646,1249,flagship,bronze,6289,2022-08-15
647,1250,online,bronze,19328,2024-07-24
648,1252,flagship,silver,7054,2019-05-22
649,1253,express,silver,11918,2025-03-24
650,1255,online,bronze,14129,2019-08-15
651,1258,standard,silver,8781,2020-10-02
652,1259,online,silver,4346,2022-09-14
653,1260,standard,silver,24531,2021-04-29
654,1260,express,bronze,19315,2025-08-02
655,1261,standard,gold,49892,2019-06-05
656,1263,online,bronze,13924,2021-09-20
657,1267,flagship,gold,28548,2020-11-19
658,1268,standard,bronze,9590,2024-01-22
659,1269,express,bronze,15598,2023-04-30
660,1269,flagship,bronze,21902,2025-07-21
661,1270,standard,platinum,15029,2022-02-09
662,1270,online,bronze,45237,2021-10-31
663,1271,online,silver,47804,2020-07-02
664,1272,online,bronze,18185,2023-07-14
665,1272,flagship,silver,31196,2025-08-11
666,1277,flagship,silver,20563,2023-02-11
667,1278,standard,silver,22536,2025-05-18
668,1279,express,bronze,12652,2023-12-24
669,1279,standard,silver,38432,2026-01-05
670,1281,online,bronze,47403,2024-02-18
671,1284,online,gold,43773,2024-07-28
672,1287,express,bronze,19901,2022-12-08
673,1290,flagship,bronze,37444,2020-11-20
674,1295,flagship,bronze,20686,2021-10-20
675,1295,express,silver,21248,2023-04-22
