shipment_id,origin_location_id,destination_location_id,client_type,status
79,4969,3431,external,delivered
80,6863,3180,external,delivered
81,5349,256,internal,delivered
82,6327,4840,internal,delivered
83,1969,6089,internal,delivered
84,2139,5352,external,delivered
85,4873,3403,external,delivered
86,4438,3189,external,scheduled
87,3290,3516,external,delivered
88,855,3105,external,delivered
89,6188,5235,internal,delivered
90,6194,3958,external,delivered
91,2654,6979,internal,in_transit
92,5591,93,internal,delivered
93,3280,5973,internal,delivered
94,6349,4004,external,scheduled
95,5592,5700,internal,delivered
96,4991,4022,external,delivered
97,3636,6454,internal,delivered
98,4049,6135,internal,delivered
99,1384,6629,internal,delivered
100,4855,4102,internal,in_transit
101,1640,4487,external,delivered
102,5518,5726,external,scheduled
103,5681,3567,external,scheduled
104,3533,1649,internal,delivered
105,6396,997,internal,delivered
106,5547,5691,external,delayed
107,2966,4561,external,delayed
108,434,5811,internal,scheduled
109,1479,4078,internal,delivered
110,4775,1572,internal,delivered
111,3311,5462,external,delivered
112,276,648,internal,in_transit
113,1398,6137,external,delivered
114,449,471,internal,delivered
115,410,4843,external,delayed
116,3911,507,external,delivered
117,6134,3324,internal,delivered
118,1460,4309,internal,delayed
119,1007,5921,external,delivered
120,2238,7144,internal,scheduled
121,2572,2230,external,delivered
122,5668,743,external,in_transit
123,1769,3758,external,delivered
124,88,5496,external,delivered
125,6819,1985,internal,delivered
126,5193,1008,external,delivered
127,1101,43,external,delivered
128,5541,184,internal,in_transit
129,1490,1937,external,in_transit
130,4041,3202,external,in_transit
131,4925,5121,external,delivered
132,4101,2755,external,delivered
133,3587,6123,internal,delivered
134,4251,2268,internal,delivered
135,1785,3466,internal,scheduled
136,4992,3705,external,in_transit
137,4624,5775,external,delivered
138,389,405,external,in_transit
139,5694,5503,external,delivered
140,6960,6130,external,delivered
141,1324,5830,internal,in_transit
142,5319,5719,internal,delivered
143,3152,6683,external,delivered
144,4278,3923,external,delayed
145,5913,1924,external,delivered
146,3476,1808,external,delivered
147,3414,5327,internal,delivered
148,744,4107,internal,delivered
149,2693,2703,internal,in_transit
150,1828,4151,internal,delivered
151,3231,1931,external,delivered
152,4330,5889,internal,cancelled
153,1903,4545,internal,delivered
154,1181,3182,internal,in_transit
155,5731,5179,internal,in_transit
156,2225,6643,internal,delivered
157,6345,3267,external,delivered
158,6825,415,internal,delivered
159,280,5789,internal,delivered
160,3804,4099,internal,delivered
161,1464,4409,external,scheduled
162,5374,6737,internal,delivered
163,1565,647,internal,scheduled
164,35,4770,external,delivered
165,6810,3565,internal,scheduled
166,756,1631,internal,in_transit
167,5570,168,internal,in_transit
168,850,5323,external,scheduled
169,1106,24,internal,delivered
170,6846,823,internal,in_transit
171,136,1000,external,delivered
172,4472,5883,internal,scheduled
173,2655,5832,internal,delivered
174,5725,4470,internal,delivered
175,2237,4157,internal,cancelled
176,6574,2007,internal,scheduled
177,3808,1114,external,delivered
178,5830,4911,internal,delivered
179,3178,858,internal,delivered
180,156,3729,external,delivered
181,6858,6111,external,delivered
182,585,4484,external,scheduled
183,5862,6711,internal,delivered
184,2523,2997,external,delivered
185,5890,3407,external,scheduled
186,2347,6179,internal,delivered
187,43,4567,internal,delivered
188,6028,2618,internal,scheduled
189,3425,571,internal,delivered
190,4233,2647,external,delivered
191,731,1296,internal,delivered
192,977,1997,internal,in_transit
193,4629,652,internal,delivered
194,4124,3682,internal,in_transit
195,6865,4639,external,delivered
196,4153,3990,external,scheduled
197,3611,6405,external,delivered
198,423,1392,external,delivered
199,277,2774,external,delivered
200,4048,3594,external,delivered
201,3565,736,internal,scheduled
202,1865,5514,internal,scheduled
203,5844,811,internal,delivered
204,5683,7018,internal,delivered
205,7072,5450,external,delivered
206,6341,5934,internal,delivered
207,7181,4310,internal,delivered
208,5809,4163,internal,delayed
209,5754,4807,external,delivered
210,6509,5786,internal,delivered
211,1419,1534,external,delivered
212,744,3851,external,in_transit
213,6911,2634,external,in_transit
214,3069,2928,internal,delivered
215,6951,2558,internal,delivered
216,1926,5118,internal,delivered
217,2168,1861,external,scheduled
218,1215,6342,external,delivered
219,3434,5169,internal,delivered
220,4449,4612,external,delivered
221,6748,4027,external,in_transit
222,2760,5292,internal,delivered
223,585,2275,internal,scheduled
224,3126,6759,internal,delivered
225,2582,3664,external,delayed
226,5405,2149,internal,delivered
227,5702,2616,external,delivered
228,2424,259,external,delivered
229,2790,1212,external,delayed
230,1080,6993,internal,delivered
231,313,4377,internal,delivered
232,1852,4623,external,delivered
233,917,5202,internal,in_transit
234,6171,2213,internal,delivered
235,5751,4826,external,delivered
236,5355,6573,internal,delivered
237,6536,945,internal,in_transit
238,1108,3064,internal,delivered
239,461,4922,internal,in_transit
240,1918,1301,internal,scheduled
241,3458,3438,external,delivered
242,3396,6369,external,delivered
243,7095,4046,external,delivered
244,6375,4405,external,delivered
245,5810,3036,internal,delivered
246,885,4380,internal,delivered
247,6370,1197,internal,delivered
248,65,459,external,delivered
249,3140,2229,internal,delivered
250,1311,203,external,delivered
251,952,467,internal,delivered
252,2645,6972,external,in_transit
253,3248,7049,internal,cancelled
254,645,3048,internal,in_transit
255,4358,4399,external,delivered
256,7156,1139,internal,delivered
257,1735,2264,internal,delivered
258,3560,6661,internal,delivered
259,2984,5287,external,delivered
260,5548,4188,external,delivered
261,3414,6400,internal,delivered
262,1800,577,external,scheduled
263,6351,1707,internal,delivered
264,6034,3671,external,delivered
265,3683,3953,external,delivered
266,4610,5879,external,delivered
267,2082,693,external,delivered
268,5737,1942,internal,in_transit
269,4014,3667,external,in_transit
270,6125,5041,internal,delivered
271,1730,73,external,delivered
272,3711,3253,internal,scheduled
273,6353,4809,external,scheduled
274,2230,325,internal,in_transit
275,3246,5240,internal,delivered
276,5924,6835,internal,delayed
277,1984,4872,external,scheduled
278,174,1307,internal,delayed
279,4361,2777,internal,delivered
280,3984,1152,internal,delivered
281,6937,5936,external,delivered
282,5399,6946,internal,delivered
283,7010,6249,internal,delivered
284,5113,6229,external,delivered
285,1974,5312,external,delivered
286,4567,2406,internal,delivered
287,4215,2945,external,delivered
288,5971,6537,internal,delivered
289,5248,3135,internal,delivered
290,3230,6118,internal,delivered
291,2282,4275,external,delivered
292,365,79,internal,delivered
293,1943,1454,internal,delivered
294,75,5899,external,delayed
295,5809,3701,external,delivered
296,4989,5754,external,in_transit
297,5405,3049,external,delivered
298,6305,1115,internal,in_transit
299,2311,3938,internal,delivered
300,2450,6716,internal,delivered
301,6020,5307,internal,delivered
302,4292,5295,internal,delivered
303,2407,2217,external,delivered
304,5050,3789,internal,delivered
305,3173,4815,internal,delivered
306,7160,5894,external,delivered
307,5074,5842,internal,delivered
308,1025,6931,external,delivered
309,519,5943,external,delivered
310,3138,1103,external,delivered
311,2478,2172,external,delivered
312,2792,5753,internal,delivered
313,6195,3738,internal,delayed
314,1299,1427,external,delivered
315,2361,701,internal,delivered
316,1536,6311,internal,delivered
317,1269,3017,internal,delivered
318,3791,4031,internal,delivered
319,5128,278,internal,delivered
320,4544,6564,external,scheduled
321,1337,6247,external,delivered
322,4064,6719,internal,delivered
323,6069,3222,internal,in_transit
324,6427,2550,internal,scheduled
325,820,5529,internal,delivered
326,7133,4798,internal,in_transit
327,3581,2682,internal,delivered
328,6175,5638,external,delivered
329,6814,6889,external,in_transit
330,4298,3580,internal,delivered
331,612,851,internal,scheduled
332,189,4019,external,delivered
333,1071,3841,internal,delivered
334,4936,3070,internal,scheduled
335,945,6125,external,delivered
336,636,3730,internal,in_transit
337,6076,5781,external,delivered
338,6513,1520,external,delivered
339,4292,1838,external,in_transit
340,5763,3989,internal,scheduled
341,2754,4921,internal,delivered
342,6687,33,external,scheduled
343,5627,4410,external,in_transit
344,1480,2762,external,delivered
345,377,3161,external,delivered
346,4820,5361,external,delivered
347,6298,4148,external,cancelled
348,2665,1372,internal,delayed
349,6170,3515,external,delivered
350,2549,6670,internal,delivered
351,4169,1814,internal,delivered
352,2161,3539,internal,delivered
353,3482,3903,external,scheduled
354,5839,1260,internal,delayed
355,974,5014,internal,delivered
356,2764,6147,external,delivered
357,1650,4776,internal,cancelled
358,5019,3670,internal,delivered
359,4315,5155,external,delivered
360,3652,3786,internal,delivered
361,5896,1013,internal,in_transit
362,21,1141,internal,delivered
363,5859,6817,external,delivered
364,5795,2407,internal,scheduled
365,1024,3725,external,delivered
366,3050,3093,internal,scheduled
367,2957,1819,internal,delivered
368,3505,226,external,delivered
369,3552,2632,external,scheduled
370,6039,6974,internal,scheduled
371,5441,2475,external,delivered
372,2431,3653,internal,delivered
373,1561,3730,internal,in_transit
374,3118,5412,external,delayed
375,3213,5125,external,delivered
376,5798,6180,internal,in_transit
377,3963,1999,external,scheduled
378,653,5900,external,delivered
379,2249,4523,external,delivered
380,5342,3179,internal,delivered
381,5646,4183,external,scheduled
382,1584,4451,internal,in_transit
383,6901,1788,external,delivered
384,642,5955,external,delivered
385,1510,4237,external,delivered
386,5398,983,external,delivered
387,1547,2525,internal,delivered
388,3060,7089,internal,delivered
389,3425,330,external,delayed
390,7007,6652,internal,delivered
391,1671,6043,external,in_transit
392,5314,1012,internal,delivered
393,1604,3198,external,delivered
394,5879,3002,external,delivered
395,1001,3020,external,scheduled
396,3551,1788,external,in_transit
397,5151,676,external,delivered
398,3647,462,internal,delivered
399,4813,1946,external,delivered
400,2131,4519,external,delivered
401,1437,1340,internal,in_transit
402,3750,1938,internal,delivered
403,6139,1497,external,delivered
404,2710,2890,external,delivered
405,5073,5075,internal,delivered
406,1108,1141,internal,in_transit
407,6806,3850,internal,delivered
408,6541,2633,external,scheduled
409,5153,5423,internal,delivered
410,7084,3523,external,delayed
411,4587,5637,external,in_transit
412,117,2109,external,delivered
413,2034,1148,internal,delayed
414,1542,3986,internal,delivered
415,6110,2503,external,delivered
416,5156,2154,external,delivered
417,6414,6206,internal,delivered
418,6910,4219,external,delivered
419,4376,1725,internal,delivered
420,2423,3366,external,delivered
421,5553,827,external,delivered
422,1592,3399,internal,delivered
423,936,1700,internal,delivered
424,6200,4360,external,delivered
425,6704,1425,external,delivered
426,4773,2955,external,scheduled
427,5300,801,external,delivered
428,4656,5275,external,delayed
429,1501,3880,external,delivered
430,3468,1073,internal,scheduled
431,4194,790,internal,scheduled
432,4124,386,internal,delayed
433,2088,1739,internal,delivered
434,2279,6756,internal,scheduled
435,5657,700,external,delivered
436,3278,1891,internal,delivered
437,6168,3504,internal,delivered
438,611,3790,internal,scheduled
439,807,3533,external,delivered
440,4988,6128,external,delayed
441,1182,5586,external,delivered
442,3379,6639,external,delivered
443,7178,4709,external,in_transit
444,2029,980,internal,in_transit
445,492,4804,external,delivered
446,3140,4931,internal,scheduled
447,2499,2698,internal,in_transit
448,3365,6637,external,scheduled
449,1040,5332,internal,scheduled
450,6224,3980,internal,scheduled
451,3318,174,internal,in_transit
452,5025,3518,external,delivered
453,5964,4092,internal,delivered
454,2805,627,internal,in_transit
455,2828,3675,internal,in_transit
456,243,1745,internal,in_transit
457,3996,524,external,delivered
458,2691,6707,internal,delivered
459,4733,4613,internal,in_transit
460,1491,3482,external,delivered
461,975,1307,internal,delivered
462,6238,4180,internal,delivered
463,299,718,external,cancelled
464,4948,4548,internal,delivered
465,4716,3631,internal,delayed
466,357,2250,internal,scheduled
467,3377,6920,external,delivered
468,3182,3822,internal,delivered
469,1760,3848,internal,delayed
470,2753,5997,internal,delayed
471,1724,3373,external,scheduled
472,2904,6846,external,delivered
473,6640,5100,internal,in_transit
474,6472,1192,external,scheduled
475,3474,6016,external,scheduled
476,92,541,internal,delivered
477,712,749,external,delivered
478,6051,3960,external,in_transit
479,4958,5023,internal,scheduled
480,4927,4791,internal,delivered
481,5486,6470,internal,delivered
482,5741,679,internal,cancelled
483,6091,1932,internal,delivered
484,2700,4131,external,delivered
485,5951,64,internal,delivered
486,2495,3532,external,delivered
487,7083,3644,internal,in_transit
488,5341,4050,internal,delivered
489,6482,5601,internal,delivered
490,776,5721,internal,scheduled
491,4319,5032,external,delivered
492,4656,3072,internal,delivered
493,2400,4654,external,delivered
494,2375,6571,internal,delivered
495,1600,92,internal,delivered
496,4008,5476,internal,delivered
497,1829,4731,external,delivered
498,6336,2152,external,delivered
499,2492,4625,external,delivered
500,5415,1523,internal,delivered
501,3686,3202,external,scheduled
502,1592,4897,external,delivered
503,675,272,internal,delivered
504,2892,4986,external,delivered
505,3463,5242,internal,delivered
506,4331,1287,external,delivered
507,6111,6614,external,delivered
508,6474,6983,internal,delivered
509,916,5620,internal,delivered
510,3687,1856,internal,delivered
511,1375,6481,external,delivered
512,5576,5939,internal,delivered
513,774,4724,external,in_transit
514,3536,4552,internal,delayed
515,3005,4647,internal,delayed
516,569,1457,internal,delivered
517,1428,1244,external,delivered
518,1742,2114,external,scheduled
519,3715,4159,internal,delivered
520,2547,7036,external,delivered
521,7118,3076,external,delivered
522,1426,5630,internal,in_transit
523,3050,621,internal,delivered
524,3851,249,external,delivered
525,3832,5530,internal,delivered
526,4836,4159,external,delivered
527,2374,4620,internal,delivered
528,4251,24,external,delivered
529,167,6052,internal,delivered
530,6442,2242,external,in_transit
531,6177,5628,internal,scheduled
532,5295,2730,external,delayed
533,6836,12,external,in_transit
534,2082,6815,external,in_transit
535,2806,3273,external,delivered
536,6170,3894,internal,delivered
537,1116,2250,external,delivered
538,2684,4437,external,delivered
539,6305,4995,internal,in_transit
540,2157,2131,internal,delivered
541,6087,4998,internal,delayed
542,6121,6153,external,cancelled
543,3346,1569,external,delivered
544,6973,4202,internal,delivered
545,7032,83,external,in_transit
546,4197,3799,external,delivered
547,7032,5837,internal,delayed
548,1782,833,internal,delivered
549,4291,1088,internal,scheduled
550,2514,2462,external,delivered
551,3696,2289,external,delivered
552,1104,7014,external,delivered
553,6439,1721,internal,delivered
554,1780,4876,internal,delivered
555,2177,33,external,cancelled
556,6426,5512,external,cancelled
557,4466,3556,internal,delivered
558,3698,2649,internal,delayed
559,3634,5249,internal,delivered
560,1506,5752,external,in_transit
561,7093,6787,internal,in_transit
562,1110,6302,internal,delivered
563,5828,2201,external,in_transit
564,3520,7128,internal,delivered
565,6977,1087,internal,delivered
566,6417,516,external,delivered
567,5386,2024,external,delivered
568,5203,2375,external,cancelled
569,6265,1591,internal,delivered
570,7159,1251,internal,in_transit
571,6505,570,internal,in_transit
572,1584,4166,internal,delivered
573,5953,2007,external,scheduled
574,2843,4858,external,delivered
575,1944,6715,internal,in_transit
576,1025,5164,internal,in_transit
577,4286,1248,external,delivered
578,1482,6611,internal,scheduled
579,96,2743,internal,delivered
580,3262,1735,external,delivered
581,3928,2110,external,delivered
582,6833,946,external,delivered
583,2149,3421,external,delivered
584,7038,1302,external,delivered
585,4679,5506,internal,delivered
586,1812,6924,external,delivered
587,5569,2104,external,delayed
588,1589,4650,internal,delayed
589,5470,2085,internal,delivered
590,2398,5187,external,scheduled
591,6692,5997,external,cancelled
592,5940,108,external,in_transit
593,4589,6684,external,scheduled
594,1569,473,external,delivered
595,169,2475,external,delivered
596,731,6863,external,delivered
597,5044,5522,external,delivered
598,5237,837,external,delivered
599,2972,3062,internal,delivered
600,1522,5245,internal,delivered
601,1839,5314,internal,delivered
602,4659,997,external,delivered
603,6438,2923,external,delivered
604,605,6636,external,delivered
605,5338,4635,external,scheduled
606,4187,1469,internal,delivered
607,3012,205,internal,delivered
608,453,2294,external,delivered
609,6861,3932,internal,delivered
610,5139,5533,external,delivered
611,2818,6346,internal,scheduled
612,3248,4846,external,delivered
613,2028,6838,internal,delivered
614,1124,6291,internal,in_transit
615,2493,5689,internal,cancelled
616,7103,7159,internal,delivered
617,3352,3335,internal,delivered
618,6976,6628,external,in_transit
619,5835,4894,internal,delayed
620,5900,3123,external,delivered
621,231,5647,internal,cancelled
622,5196,2244,external,delivered
623,1878,649,internal,delivered
624,6396,2777,internal,in_transit
625,5886,3405,external,scheduled
626,5639,5579,external,delayed
627,2196,4639,internal,delivered
628,5399,4473,internal,delivered
629,479,6285,internal,delivered
630,622,1453,internal,delivered
631,392,5935,internal,delivered
632,1505,1426,internal,delivered
633,6125,6556,internal,delayed
634,4239,4110,external,delivered
635,5807,5601,internal,delivered
636,5021,1055,external,scheduled
637,895,6607,internal,in_transit
638,90,4519,external,delivered
639,6600,5502,external,scheduled
640,2158,6838,external,delivered
641,4282,6292,internal,delivered
642,4836,5494,external,scheduled
643,6399,2261,internal,delivered
644,4152,3704,external,delivered
645,6836,2203,external,delivered
646,2102,6788,external,delivered
647,5435,3368,external,delivered
648,6373,4177,internal,delivered
649,1054,6833,external,delivered
650,2579,2415,internal,in_transit
651,3524,4658,internal,delivered
652,2081,7173,external,cancelled
653,6330,2832,internal,scheduled
654,536,6533,internal,delivered
655,88,2031,internal,delivered
656,6159,180,internal,delivered
657,4595,1452,external,cancelled
658,2189,1222,internal,in_transit
659,2885,3816,internal,delivered
660,1691,2434,external,delivered
661,2178,2492,external,delayed
662,2972,1906,external,delayed
663,5441,3558,internal,delivered
664,1833,6692,internal,delivered
665,6972,1762,external,in_transit
666,2296,6067,internal,in_transit
667,3210,2753,external,delivered
668,4565,6555,external,in_transit
669,3783,1856,external,in_transit
670,1298,5095,external,delivered
671,6182,4033,external,delivered
672,5319,800,internal,delivered
673,4244,4384,internal,delivered
674,1868,6305,internal,delivered
675,2915,3174,external,in_transit
676,6225,5191,internal,delivered
677,205,2482,internal,delivered
678,6174,4292,internal,in_transit
679,1653,1867,external,delivered
680,2125,6532,external,delivered
681,1115,5830,external,delivered
682,6033,5381,external,delivered
683,5054,657,internal,in_transit
684,5059,6275,internal,delivered
685,4609,5522,external,in_transit
686,110,6828,external,delayed
687,4422,6918,external,in_transit
688,1268,2823,internal,delivered
689,2875,5630,internal,delayed
690,2533,967,internal,delivered
691,420,6809,internal,delivered
692,2637,3066,external,delivered
693,3115,212,external,delivered
694,4729,5941,external,delivered
695,2328,4466,internal,cancelled
696,1957,1244,external,delivered
697,4693,3650,internal,in_transit
698,4388,2544,internal,delivered
699,4763,744,external,delivered
700,1306,6472,internal,delivered
701,1482,5892,external,delayed
702,390,6818,external,delivered
703,5021,62,external,delivered
704,2695,4897,external,delayed
705,541,5114,internal,delivered
706,372,4580,internal,delivered
707,1249,3106,external,delivered
708,4646,5668,internal,delivered
709,6820,2236,external,delivered
710,4287,4024,internal,delivered
711,977,1294,internal,delivered
712,2216,7076,internal,in_transit
713,4521,5024,external,delivered
714,2911,4966,internal,in_transit
715,2725,5658,internal,delivered
716,3877,1816,internal,delivered
717,5176,2233,external,delayed
718,6864,2540,internal,delivered
719,3671,6975,external,delivered
720,5578,4287,internal,delivered
721,691,6692,internal,delivered
722,5246,5650,external,delivered
723,6404,6921,external,delivered
724,3138,4017,internal,delivered
725,2779,2460,internal,delivered
726,2847,4708,external,delivered
727,6188,5458,internal,in_transit
728,3003,6860,external,delivered
729,5127,262,internal,delivered
730,5404,7138,internal,in_transit
731,4211,6105,internal,delivered
732,7073,5018,external,delivered
733,385,6110,internal,cancelled
734,5365,3474,internal,delivered
735,3948,3981,external,scheduled
736,1542,960,external,in_transit
737,3880,3689,internal,delivered
738,3759,5319,external,delivered
739,3439,3902,external,delivered
740,2046,6364,internal,in_transit
741,5785,2115,internal,delivered
742,1371,6663,internal,delivered
743,6040,5867,external,scheduled
744,5362,6288,internal,delivered
745,5093,4171,internal,delivered
746,3966,4363,internal,scheduled
747,5476,2779,internal,scheduled
748,1636,3682,external,delivered
749,1620,3804,internal,delayed
750,525,1614,internal,delivered
751,5555,5402,internal,scheduled
752,3760,1070,internal,delivered
753,4593,2539,internal,delivered
754,4615,2510,external,delayed
755,7163,6636,external,scheduled
756,3245,2408,internal,delivered
757,2903,583,internal,delivered
758,1499,6856,external,scheduled
759,5936,2314,external,delayed
760,1301,706,external,delivered
761,5034,310,external,delayed
762,2262,5787,internal,scheduled
763,2691,6468,external,in_transit
764,682,5800,external,scheduled
765,462,2389,external,delivered
766,3515,4710,internal,delivered
767,6404,5789,internal,delivered
768,5612,4794,external,in_transit
769,5004,5035,internal,delayed
770,5951,733,internal,in_transit
771,1536,1720,external,delivered
772,3862,947,internal,scheduled
773,3661,993,internal,delayed
774,3170,461,internal,delivered
775,7106,2205,external,delayed
776,1521,5621,external,delayed
777,912,2238,internal,delivered
778,2932,5278,internal,delivered
779,6042,630,internal,delivered
780,2092,523,external,in_transit
781,5446,122,internal,delivered
782,1868,3387,internal,delivered
783,6443,1302,internal,delivered
784,1060,4172,external,in_transit
785,2991,1178,external,delivered
786,4702,4877,internal,delivered
787,4762,4691,external,delivered
788,1265,476,internal,delivered
789,3140,139,internal,delayed
790,104,5717,external,delivered
791,644,874,external,delivered
792,4058,4443,internal,scheduled
793,2943,4130,internal,in_transit
794,971,3916,external,delivered
795,4155,6889,external,delivered
796,240,5627,internal,delayed
797,5407,1945,external,delivered
798,34,2068,external,delivered
799,3511,6213,external,delivered
800,3046,4325,internal,in_transit
801,3664,6817,external,delivered
802,785,1388,internal,in_transit
803,4137,5069,external,delivered
804,3640,6902,external,delivered
805,978,1235,internal,delivered
806,338,2784,external,delivered
807,2294,4461,internal,scheduled
808,2907,3229,internal,delivered
809,31,5706,internal,delivered
810,2722,5962,internal,in_transit
811,292,702,internal,delivered
812,6508,13,internal,delivered
813,2919,5172,external,delivered
814,1827,295,internal,delivered
815,5204,6825,internal,scheduled
816,2478,6329,internal,delivered
817,1244,1510,internal,cancelled
818,6980,1276,external,delayed
819,2289,6836,internal,delivered
820,4153,7052,internal,scheduled
821,404,488,external,delivered
822,3200,1273,external,delivered
823,2809,2754,external,delivered
824,3500,2903,external,delivered
825,5359,6740,internal,delivered
826,2125,1048,external,delivered
827,4259,2558,external,delivered
828,5781,3673,internal,in_transit
829,5421,7183,external,delivered
830,6582,2816,external,delivered
831,4957,1931,internal,delivered
832,2433,5285,internal,scheduled
833,3766,5694,internal,delayed
834,5981,3753,internal,delivered
835,3027,2901,internal,delivered
836,60,1374,external,delivered
837,1012,6067,external,delivered
838,5239,2317,external,delayed
839,4836,6288,internal,delayed
840,2406,3509,internal,delivered
841,3615,6017,external,in_transit
842,5849,1361,external,delivered
843,6553,4606,external,in_transit
844,4372,3173,external,delivered
845,491,3791,internal,delivered
846,5722,2546,internal,delivered
847,6363,2648,external,scheduled
848,4918,3350,external,delivered
849,1154,3808,internal,delivered
850,5777,1398,external,delivered
851,6160,515,external,delivered
852,6291,3955,internal,delivered
853,6478,2255,internal,delivered
854,933,3311,internal,delayed
855,3347,5818,internal,delivered
856,2455,5099,internal,scheduled
857,55,6459,external,scheduled
858,5036,3538,internal,delivered
859,2417,4490,internal,in_transit
860,2645,4627,external,delivered
861,4281,3398,internal,cancelled
862,4548,3603,external,delivered
863,2862,5020,external,delivered
864,5314,1644,internal,delivered
865,2994,5409,external,delivered
866,5300,5374,internal,in_transit
867,3434,1443,internal,delayed
868,4041,378,external,delivered
869,6968,1616,internal,delivered
870,2098,1182,external,delivered
871,3,1215,internal,delivered
872,986,2523,external,delivered
873,2644,397,internal,scheduled
874,709,1783,internal,delivered
875,4778,4761,external,delivered
876,1342,3070,internal,delivered
877,1252,3238,internal,delivered
878,1330,6872,internal,delivered
879,4402,4247,internal,in_transit
880,5501,3578,internal,scheduled
881,1253,3549,external,cancelled
882,6567,7064,internal,delivered
883,749,1267,external,delivered
884,3429,2946,external,delayed
885,3388,1995,external,delivered
886,3316,3676,external,scheduled
887,3158,403,internal,delivered
888,4932,2974,external,delivered
889,3665,6230,external,delivered
890,6942,3303,internal,scheduled
891,1624,422,external,delivered
892,5392,2383,external,delivered
893,1036,6743,external,delivered
894,3885,6107,external,delayed
895,5465,2315,external,delivered
896,670,2536,internal,scheduled
897,1096,1691,internal,scheduled
898,5290,120,external,delivered
899,6899,4489,external,delivered
900,2473,6638,internal,delayed
901,5546,6968,internal,delivered
902,6880,3980,external,delivered
903,6569,4198,internal,in_transit
904,7138,2378,external,delivered
905,6027,5545,external,delivered
906,5375,2769,internal,in_transit
907,4230,1997,external,delivered
908,3526,5144,internal,delivered
909,5655,2875,internal,delivered
910,4147,3551,external,delivered
911,6044,777,external,in_transit
912,4153,5406,internal,delivered
913,3604,1466,internal,delivered
914,4068,1602,internal,delayed
915,6616,2564,internal,delivered
916,2183,4325,internal,delivered
917,6682,3738,internal,delivered
918,4221,1786,external,scheduled
919,1625,1493,internal,delivered
920,3209,1335,internal,delayed
921,5491,4730,external,delivered
922,6064,413,internal,in_transit
923,2433,1075,internal,delivered
924,1921,2889,internal,scheduled
925,1095,3115,external,delayed
926,1010,3261,internal,delivered
927,7047,3283,external,in_transit
928,6163,6938,internal,delivered
929,45,5220,external,scheduled
930,5672,6766,external,delivered
931,5809,5525,external,delivered
932,1921,6812,internal,delivered
933,78,2722,internal,delivered
934,6055,2733,external,delivered
935,92,1864,external,in_transit
936,3052,1277,external,delivered
937,4052,960,internal,delivered
938,2297,3877,external,delivered
939,103,1245,internal,delivered
940,4065,3220,internal,scheduled
941,2750,5899,internal,in_transit
942,193,7120,internal,delivered
943,3796,696,internal,delivered
944,1626,288,internal,delivered
945,5444,6019,external,scheduled
946,4622,4140,external,delivered
947,2634,1792,internal,delivered
948,727,2155,internal,delivered
949,3161,1950,external,delivered
950,1289,6752,internal,scheduled
951,420,6607,internal,delivered
952,3470,2557,external,scheduled
953,2031,4246,external,delivered
954,6254,4435,internal,delivered
955,6684,1970,external,delivered
956,3803,4608,internal,delayed
957,2474,2203,external,delivered
958,6454,5610,external,cancelled
