lease_id,property_id,tenant_id,start_date,end_date,monthly_rent,status
211,72,29,2018-11-08,2019-05-07,2311472.2,expired
212,80,44,2019-05-13,2020-05-12,2004703.81,terminated
213,6,23,2022-08-05,2025-08-04,1834847.63,expired
214,41,39,2026-05-26,2026-11-22,912326.17,active
215,10,57,2018-09-02,2019-09-02,1025231.22,expired
216,51,43,2025-04-17,2026-04-17,1405196.03,expired
217,15,53,2021-02-16,2024-02-16,584038.35,expired
218,79,6,2019-06-23,2022-06-22,2553565.68,expired
219,77,1,2025-01-07,2027-01-07,239524.47,active
220,72,4,2025-02-13,2025-08-12,2429182.05,expired
221,46,23,2021-04-18,2022-04-18,1085666.4,expired
222,8,63,2021-07-13,2024-07-12,1894880.39,expired
223,81,62,2018-11-25,2019-05-24,2582054.76,expired
224,80,58,2018-06-27,2021-06-26,2887661.67,terminated
225,25,54,2018-05-02,2019-05-02,1368944.62,terminated
226,81,19,2024-08-24,2025-02-20,2573770.76,expired
227,43,62,2018-01-25,2021-01-24,809416.38,expired
228,45,31,2026-02-13,2027-02-13,205255.29,terminated
229,12,28,2018-01-19,2020-01-19,1033010.81,expired
230,22,51,2021-03-05,2024-03-04,160486.51,expired
231,15,12,2023-05-26,2024-05-25,2981354.17,expired
232,9,19,2025-12-09,2028-12-08,1246025.73,terminated
233,18,25,2018-09-23,2020-09-22,1196794.58,expired
234,65,23,2026-05-31,2026-11-27,1014007.32,active
235,49,37,2021-03-27,2024-03-26,543740.79,expired
236,47,62,2020-03-25,2023-03-25,1266415.72,expired
237,82,17,2019-11-02,2020-04-30,2125573.58,expired
238,66,55,2020-08-07,2021-02-03,2698253.19,expired
239,15,13,2021-06-02,2022-06-02,2144348.43,expired
240,64,41,2021-05-15,2022-05-15,959046.45,expired
241,72,34,2025-10-06,2026-04-04,881212.66,terminated
242,62,55,2020-07-19,2023-07-19,2181527.48,expired
243,67,54,2024-06-15,2024-12-12,2934424.39,expired
244,26,1,2021-04-03,2021-09-30,1429321.48,expired
245,30,58,2021-01-04,2022-01-04,714770.83,expired
246,26,33,2025-11-22,2027-11-22,2860106.43,active
247,26,45,2022-01-02,2025-01-01,463006.1,expired
248,33,25,2020-06-12,2022-06-12,678753.0,expired
249,70,36,2025-02-28,2026-02-28,901905.07,expired
250,77,30,2023-02-27,2023-08-26,2142655.41,expired
251,54,36,2018-02-19,2019-02-19,395195.15,expired
252,5,52,2026-02-19,2027-02-19,2665676.67,active
253,74,10,2019-08-14,2020-08-13,2269211.92,expired
254,34,61,2020-12-19,2021-12-19,156514.35,expired
255,37,45,2021-03-13,2021-09-09,1442994.25,expired
256,92,54,2025-03-17,2025-09-13,2700402.72,expired
257,38,49,2020-10-17,2022-10-17,962087.35,expired
258,55,26,2024-04-26,2026-04-26,1976947.68,expired
259,70,56,2018-12-22,2019-12-22,1981756.0,expired
260,44,38,2024-02-20,2026-02-19,729609.37,terminated
261,13,57,2025-03-26,2027-03-26,2067111.3,terminated
262,78,10,2022-01-02,2025-01-01,184040.99,expired
263,76,14,2021-05-12,2021-11-08,2967097.76,terminated
264,19,39,2025-09-18,2027-09-18,1327139.87,terminated
265,16,5,2023-05-27,2025-05-26,2167205.56,expired
266,76,5,2025-05-28,2025-11-24,58596.7,expired
267,6,9,2023-09-10,2025-09-09,810826.29,expired
268,31,5,2024-10-11,2027-10-11,2297627.33,terminated
269,46,39,2020-09-04,2021-03-03,1515153.77,expired
270,69,18,2020-08-30,2022-08-30,1463775.23,expired
271,12,57,2021-12-04,2024-12-03,545033.46,expired
272,82,26,2021-11-27,2022-11-27,2315525.71,expired
273,52,12,2019-12-17,2020-06-14,1991131.76,expired
274,36,63,2018-12-26,2020-12-25,758836.41,expired
275,22,33,2022-02-01,2025-01-31,2385560.12,expired
276,86,12,2024-01-07,2024-07-05,929043.46,expired
277,45,44,2026-01-29,2029-01-28,706862.43,active
278,74,40,2021-06-24,2022-06-24,114110.56,expired
279,74,61,2025-08-24,2026-08-24,1614904.55,terminated
280,22,7,2024-10-03,2025-04-01,2292011.82,expired
281,35,58,2020-07-26,2023-07-26,554256.08,expired
282,44,38,2021-07-04,2022-07-04,284503.18,terminated
283,93,7,2022-06-01,2024-05-31,2240139.43,expired
284,64,2,2023-12-02,2024-05-30,2897941.02,expired
285,15,18,2022-01-17,2022-07-16,2362220.1,expired
286,17,4,2023-03-22,2024-03-21,1470105.59,expired
287,61,48,2021-11-16,2023-11-16,542389.79,terminated
288,13,42,2023-02-15,2025-02-14,1143486.98,expired
289,86,19,2022-02-23,2025-02-22,461370.53,terminated
290,33,56,2019-08-16,2020-08-15,1710856.81,expired
291,40,19,2026-02-12,2026-08-11,2470356.57,terminated
292,70,57,2025-07-23,2028-07-22,1109572.83,terminated
293,64,54,2020-05-02,2020-10-29,1433696.36,expired
294,45,35,2019-11-30,2022-11-29,160165.6,expired
295,28,57,2024-04-17,2026-04-17,1705173.09,expired
296,92,6,2019-07-15,2020-07-14,142926.93,expired
297,53,4,2021-09-16,2024-09-15,2364880.13,expired
298,24,16,2023-05-09,2026-05-08,690209.2,expired
299,47,33,2024-12-29,2025-06-27,2786757.07,expired
300,36,50,2026-05-30,2026-11-26,1203958.77,terminated
