valuation_id,property_id,valuation_date,assessed_value
211,53,2024-07-01,960314705.67
212,53,2025-10-01,663929180.15
213,54,2022-01-01,677065615.22
214,54,2023-09-01,688655078.04
215,54,2024-11-01,662934257.47
216,54,2025-07-01,872273213.38
217,55,2022-11-01,28781437.25
218,55,2023-09-01,29797406.16
219,55,2024-06-01,33639374.7
220,55,2025-03-01,40617115.99
221,56,2022-11-01,66241548.27
222,56,2023-01-01,73881300.52
223,56,2024-02-01,81944558.3
224,56,2025-08-01,58930614.06
225,57,2022-03-01,89218104.49
226,57,2023-04-01,94897102.77
227,57,2024-09-01,106190300.5
228,57,2025-05-01,122835528.21
229,58,2022-08-01,219740713.24
230,58,2023-06-01,249269690.59
231,58,2024-04-01,254940027.96
232,58,2025-10-01,256973716.94
233,59,2022-11-01,730437329.21
234,59,2023-02-01,715223657.46
235,59,2024-07-01,737507419.53
236,59,2025-09-01,1079239345.38
237,60,2022-01-01,746048198.52
238,60,2023-06-01,715980280.11
239,60,2024-01-01,834805167.63
240,60,2025-03-01,928876245.91
241,61,2022-10-01,547952664.01
242,61,2023-10-01,606877153.13
243,61,2024-11-01,630804362.56
244,61,2025-06-01,663052279.65
245,62,2022-08-01,474357693.11
246,62,2023-11-01,543379238.01
247,62,2024-07-01,564133935.17
248,62,2025-06-01,459393860.15
249,63,2022-09-01,368653419.06
250,63,2023-01-01,359342549.06
251,63,2024-02-01,413831630.86
252,63,2025-10-01,347049848.31
253,64,2022-04-01,441661802.43
254,64,2023-11-01,422731863.92
255,64,2024-11-01,568131162.96
256,64,2025-02-01,384272751.68
257,65,2022-03-01,261753320.07
258,65,2023-06-01,292424106.43
259,65,2024-03-01,321162641.29
260,65,2025-01-01,351337355.59
261,66,2022-03-01,428956963.22
262,66,2023-07-01,456052165.72
263,66,2024-12-01,527906627.49
264,66,2025-01-01,400983261.24
265,67,2022-03-01,40069507.62
266,67,2023-11-01,44022989.99
267,67,2024-03-01,44072591.09
268,67,2025-02-01,45776070.66
269,68,2022-04-01,350046492.93
270,68,2023-04-01,378080053.22
271,68,2024-08-01,332340182.69
272,68,2025-05-01,422957552.6
273,69,2022-03-01,556631098.75
274,69,2023-11-01,539715941.32
275,69,2024-09-01,549361922.62
276,69,2025-07-01,695131263.11
277,70,2022-09-01,403006535.72
278,70,2023-01-01,445987765.75
279,70,2024-08-01,448127421.94
280,70,2025-04-01,453985152.52
281,71,2022-08-01,464450189.36
282,71,2023-02-01,491945068.88
283,71,2024-07-01,585925789.44
284,71,2025-12-01,462526753.62
285,72,2022-05-01,90383005.76
286,72,2023-03-01,94312266.81
287,72,2024-08-01,113853010.88
288,72,2025-04-01,87667580.28
289,73,2022-09-01,448227625.24
290,73,2023-09-01,503172567.85
291,73,2024-12-01,550336634.81
292,73,2025-08-01,390029949.58
293,74,2022-11-01,375721691.33
294,74,2023-05-01,415661284.49
295,74,2024-11-01,466470413.44
296,74,2025-07-01,324054023.87
297,75,2022-02-01,204115644.91
298,75,2023-02-01,227094157.01
299,75,2024-07-01,259603125.28
300,75,2025-03-01,306892373.41
301,76,2022-08-01,159169541.08
302,76,2023-05-01,177550879.58
303,76,2024-10-01,177990617.47
304,76,2025-11-01,147415390.9
305,77,2022-06-01,313211011.22
306,77,2023-07-01,312685480.48
307,77,2024-05-01,338577804.94
308,77,2025-01-01,449199052.2
309,78,2022-02-01,234579131.21
310,78,2023-08-01,240133745.43
311,78,2024-11-01,269398576.39
312,78,2025-02-01,287397286.02
313,79,2022-12-01,352155025.57
314,79,2023-05-01,393989669.84
315,79,2024-05-01,336660482.15
316,79,2025-12-01,306036491.17
317,80,2022-05-01,774498151.87
318,80,2023-02-01,769340059.66
319,80,2024-07-01,913833904.17
320,80,2025-03-01,1078394090.71
321,81,2022-07-01,719926248.88
322,81,2023-02-01,766790098.76
323,81,2024-03-01,761243497.56
324,81,2025-04-01,641929637.53
325,82,2022-06-01,272278770.87
326,82,2023-04-01,264186027.47
327,82,2024-08-01,287057468.52
328,82,2025-10-01,388608696.76
329,83,2022-10-01,572309641.09
330,83,2023-08-01,612881652.74
331,83,2024-03-01,593704046.43
332,83,2025-07-01,718075584.14
333,84,2022-04-01,440346262.97
334,84,2023-06-01,474307756.21
335,84,2024-10-01,533589537.36
336,84,2025-07-01,568064057.75
337,85,2022-03-01,554797555.93
338,85,2023-03-01,626955324.07
339,85,2024-03-01,714013545.21
340,85,2025-08-01,476874095.61
341,86,2022-01-01,714334704.89
342,86,2023-05-01,761468576.82
343,86,2024-03-01,918937730.58
344,86,2025-08-01,955948144.87
345,87,2022-09-01,247267376.67
346,87,2023-08-01,280860161.03
347,87,2024-08-01,271477746.05
348,87,2025-02-01,246520626.68
349,88,2022-08-01,374844966.35
350,88,2023-05-01,372459225.53
351,88,2024-06-01,433525414.76
352,88,2025-12-01,354612562.8
353,89,2022-04-01,607845212.81
354,89,2023-05-01,680760473.77
355,89,2024-03-01,572152268.08
356,89,2025-08-01,522097008.74
357,90,2022-10-01,308507714.88
358,90,2023-03-01,304876075.83
359,90,2024-10-01,291902885.25
360,90,2025-04-01,410232745.74
361,91,2022-07-01,513249560.79
362,91,2023-02-01,531797232.48
363,91,2024-07-01,609227127.47
364,91,2025-04-01,490023028.98
365,92,2022-04-01,583203991.31
366,92,2023-04-01,608970314.01
367,92,2024-03-01,660900056.25
368,92,2025-10-01,674135211.39
369,93,2022-07-01,385243871.56
370,93,2023-08-01,382569446.22
371,93,2024-10-01,376334369.78
372,93,2025-08-01,581959310.93
373,94,2022-01-01,706119352.78
374,94,2023-01-01,777044319.31
375,94,2024-08-01,789807323.92
376,94,2025-02-01,849773942.35
