leg_id,shipment_id,vehicle_id,driver_id,departure_time,arrival_time
49,41,299,263,2024-01-17T07:00:00,2024-01-17T11:47:16.468782
50,42,76,120,2026-05-08T06:00:00,2026-05-08T11:49:08.652574
51,43,207,206,2024-11-17T18:00:00,2024-11-18T01:05:31.151743
52,44,206,184,2024-05-17T08:00:00,2024-05-17T13:58:59.157839
53,44,245,49,2025-10-03T07:00:00,2025-10-03T09:22:14.202085
54,45,60,122,2025-02-06T06:00:00,2025-02-06T14:37:05.730260
55,46,306,248,2024-07-20T15:00:00,2024-07-21T05:25:43.263877
56,46,182,227,2024-05-01T15:00:00,2024-05-02T02:01:42.075317
57,47,199,135,2025-01-17T15:00:00,2025-01-18T17:02:52.474872
58,47,62,131,2024-08-31T09:00:00,2024-09-01T08:44:32.597736
59,48,213,241,2025-04-08T20:00:00,2025-04-09T14:05:20.817902
60,49,227,42,2026-06-22T13:00:00,2026-06-22T22:42:09.362604
61,50,54,229,2025-11-06T19:00:00,2025-11-06T23:25:20.326538
62,51,9,132,2024-02-08T13:00:00,2024-02-08T21:17:40.331794
63,52,66,242,2024-08-27T16:00:00,2024-08-28T10:49:39.108750
64,53,281,92,2024-08-20T15:00:00,2024-08-20T22:47:23.460077
65,54,226,37,2024-07-06T19:00:00,2024-07-07T19:30:28.825827
66,55,100,15,2024-04-29T19:00:00,2024-04-30T15:31:07.828603
67,56,298,89,2024-01-21T16:00:00,2024-01-22T05:00:10.688822
68,57,175,71,2026-05-25T10:00:00,2026-05-25T20:14:49.475976
69,58,100,172,2025-07-25T16:00:00,2025-07-26T18:42:54.335038
70,59,194,117,2026-03-25T06:00:00,2026-03-26T01:16:11.118069
71,60,25,246,2025-06-20T10:00:00,2025-06-20T22:29:56.661275
72,61,261,219,2025-02-27T18:00:00,2025-02-28T22:43:39.156343
73,62,243,186,2025-07-10T11:00:00,2025-07-10T14:16:39.113618
74,63,308,250,2024-08-26T17:00:00,2024-08-27T14:45:06.746156
75,64,9,237,2025-09-27T18:00:00,2025-09-28T11:47:24.435383
76,64,282,16,2024-02-15T06:00:00,2024-02-15T13:47:49.137665
77,65,57,54,2024-02-21T17:00:00,2024-02-22T21:19:21.514492
78,66,3,176,2025-07-28T05:00:00,2025-07-28T22:39:48.896638
79,67,260,99,2025-11-25T18:00:00,2025-11-26T00:09:59.007647
80,68,232,134,2025-12-01T16:00:00,2025-12-02T09:39:58.009374
81,69,164,193,2025-12-24T10:00:00,2025-12-25T13:58:14.966093
82,70,217,231,2025-06-29T11:00:00,2025-06-29T17:10:15.838356
83,71,119,26,2025-09-23T13:00:00,2025-09-23T15:51:03.660537
84,71,241,156,2025-09-24T19:00:00,2025-09-24T21:41:04.101392
85,72,299,220,2026-01-22T18:00:00,2026-01-23T10:24:44.512507
86,72,231,148,2026-01-30T13:00:00,2026-01-31T16:12:29.953014
87,73,103,145,2026-05-25T12:00:00,2026-05-26T04:29:33.504356
88,74,307,71,2024-05-15T18:00:00,2024-05-16T19:06:55.263508
89,74,229,259,2025-05-24T05:00:00,2025-05-24T07:45:06.178525
90,75,106,253,2026-01-05T15:00:00,2026-01-06T10:29:12.523973
91,75,215,130,2024-02-04T12:00:00,2024-02-05T08:17:01.406671
92,76,30,211,2024-10-13T15:00:00,2024-10-14T02:03:22.638564
93,77,239,200,2026-05-09T13:00:00,2026-05-10T04:09:52.846479
94,78,12,164,2025-10-02T17:00:00,2025-10-03T02:21:16.351048
95,78,307,94,2026-03-29T05:00:00,2026-03-29T09:41:48.110231
96,79,2,222,2025-09-12T20:00:00,2025-09-12T23:49:11.404658
97,79,280,96,2025-08-25T08:00:00,2025-08-26T12:57:03.027378
98,80,76,258,2026-05-13T16:00:00,2026-05-14T01:27:51.895581
99,81,287,229,2024-01-06T07:00:00,2024-01-06T17:20:25.404012
100,82,160,111,2025-10-16T15:00:00,2025-10-17T08:56:43.786584
101,82,227,15,2024-03-07T13:00:00,2024-03-08T15:27:06.870404
102,83,40,257,2025-05-23T09:00:00,2025-05-23T21:25:35.586686
103,84,12,227,2026-02-11T07:00:00,2026-02-11T21:56:09.533037
104,85,142,85,2025-04-14T16:00:00,2025-04-14T18:10:20.787173
105,86,271,50,2026-02-27T11:00:00,2026-02-28T03:44:30.304848
106,87,264,96,2025-12-02T15:00:00,2025-12-02T16:35:27.521127
107,88,35,86,2025-01-23T20:00:00,2025-01-25T01:43:11.531123
108,88,51,104,2024-12-24T20:00:00,2024-12-25T17:24:03.617247
109,89,52,7,2024-03-09T07:00:00,2024-03-10T09:20:43.387167
110,90,246,218,2024-10-08T08:00:00,2024-10-09T10:34:43.253226
111,91,144,236,2024-06-26T14:00:00,2024-06-26T22:21:07.128248
112,92,234,29,2025-07-17T20:00:00,2025-07-18T14:51:48.970127
113,93,52,202,2025-07-06T14:00:00,2025-07-07T09:51:54.553914
114,94,305,223,2024-04-18T07:00:00,2024-04-18T08:13:01.497244
115,95,8,250,2026-06-20T19:00:00,2026-06-21T11:00:23.330229
116,95,135,192,2026-02-26T15:00:00,2026-02-26T17:06:22.404444
117,96,253,210,2024-01-06T14:00:00,2024-01-07T06:28:37.207350
118,96,217,174,2025-02-16T09:00:00,2025-02-16T20:12:23.881431
119,97,18,170,2024-07-22T18:00:00,2024-07-22T22:37:09.908543
120,98,221,153,2024-08-30T16:00:00,2024-08-31T15:49:50.602132
121,99,277,108,2024-03-25T08:00:00,2024-03-26T04:53:12.340844
122,100,220,223,2024-03-19T13:00:00,2024-03-20T12:28:05.336548
123,100,84,12,2024-12-30T07:00:00,2024-12-31T04:34:56.770741
124,101,289,90,2026-01-07T07:00:00,2026-01-08T05:17:18.245069
125,102,117,114,2024-02-26T18:00:00,2024-02-27T11:03:34.002646
126,103,136,203,2026-04-02T19:00:00,2026-04-02T23:01:49.269094
127,104,303,66,2025-02-10T14:00:00,2025-02-11T17:38:33.098050
128,105,167,40,2025-03-01T08:00:00,2025-03-02T12:42:37.790889
129,106,178,49,2025-03-02T15:00:00,2025-03-03T09:59:21.833775
130,106,162,186,2025-12-14T10:00:00,2025-12-15T06:11:10.884096
131,107,275,198,2025-08-19T17:00:00,2025-08-19T23:09:26.663878
132,108,304,15,2025-10-11T06:00:00,2025-10-11T18:58:19.805951
133,109,71,248,2026-01-02T06:00:00,2026-01-02T21:15:30.326177
134,110,135,130,2025-01-12T11:00:00,2025-01-13T05:02:08.399154
135,111,88,182,2025-04-08T08:00:00,2025-04-09T08:13:44.408115
136,112,303,214,2024-10-28T16:00:00,2024-10-29T03:04:25.772018
137,112,304,178,2025-12-11T10:00:00,2025-12-12T06:46:02.185638
138,113,142,213,2024-01-16T15:00:00,2024-01-17T14:42:53.943428
139,114,290,132,2026-04-18T05:00:00,2026-04-19T08:57:06.687229
140,114,293,221,2024-08-14T07:00:00,2024-08-15T10:11:44.667435
141,115,223,31,2024-02-16T20:00:00,2024-02-16T23:39:00.731037
142,116,250,237,2025-07-13T09:00:00,2025-07-14T05:43:57.285361
143,116,214,65,2026-05-19T07:00:00,2026-05-20T08:35:31.969083
144,117,3,243,2024-09-17T08:00:00,2024-09-17T15:11:11.473873
145,118,82,234,2024-12-13T12:00:00,2024-12-13T21:22:02.254631
146,119,34,160,2024-08-20T18:00:00,2024-08-21T01:18:10.282180
147,119,223,215,2025-09-07T12:00:00,2025-09-08T06:27:52.330324
148,120,224,167,2026-01-24T20:00:00,2026-01-25T07:45:48.592542
149,121,120,131,2025-11-04T11:00:00,2025-11-04T22:07:40.697174
150,122,86,164,2024-01-17T14:00:00,2024-01-17T19:33:29.890274
151,123,221,73,2025-11-08T14:00:00,2025-11-08T16:24:36.456390
152,124,9,114,2024-08-23T16:00:00,2024-08-24T09:34:35.744527
153,124,142,165,2026-05-14T14:00:00,2026-05-15T04:00:02.829817
154,125,78,93,2025-03-06T06:00:00,2025-03-07T09:19:00.126612
155,126,206,198,2026-06-25T11:00:00,2026-06-26T05:29:12.582301
156,127,71,184,2025-11-17T16:00:00,2025-11-18T18:34:47.515638
157,128,151,186,2025-04-19T19:00:00,2025-04-20T12:12:13.168833
158,129,71,133,2026-01-06T09:00:00,2026-01-06T23:57:41.450263
159,129,153,205,2024-02-27T14:00:00,2024-02-27T17:02:19.089298
160,130,284,5,2024-10-18T17:00:00,2024-10-19T03:19:54.641703
161,131,60,171,2025-12-08T20:00:00,2025-12-08T23:17:20.822760
162,132,115,146,2024-02-16T12:00:00,2024-02-17T15:57:13.482597
163,133,54,182,2025-10-09T20:00:00,2025-10-09T21:00:48.867636
164,134,252,46,2024-03-14T08:00:00,2024-03-14T18:23:04.396282
165,135,148,22,2025-05-18T05:00:00,2025-05-18T10:30:03.374285
166,136,63,218,2026-01-07T19:00:00,2026-01-08T21:39:41.180926
167,136,76,266,2024-10-05T14:00:00,2024-10-06T10:04:34.426234
168,137,233,156,2026-05-21T06:00:00,2026-05-22T03:33:43.068499
169,138,298,41,2024-08-03T08:00:00,2024-08-03T11:20:17.954667
170,138,243,94,2024-07-21T08:00:00,2024-07-21T17:08:34.211491
171,139,48,229,2025-03-25T05:00:00,2025-03-26T05:18:40.779975
172,140,123,247,2024-03-07T17:00:00,2024-03-08T08:54:21.532525
173,141,131,35,2025-12-21T07:00:00,2025-12-22T12:39:53.031377
174,142,77,38,2026-05-28T09:00:00,2026-05-28T20:56:54.369692
175,143,97,29,2024-08-21T14:00:00,2024-08-21T16:21:14.039511
176,144,190,70,2025-04-04T10:00:00,2025-04-05T09:47:14.623469
177,145,297,194,2024-11-13T09:00:00,2024-11-14T04:05:59.993327
178,145,59,200,2024-03-01T18:00:00,2024-03-01T22:16:58.965323
179,146,191,246,2025-06-27T06:00:00,2025-06-27T18:40:36.529221
180,147,110,99,2024-08-02T11:00:00,2024-08-03T08:56:18.281142
181,148,19,265,2024-01-27T16:00:00,2024-01-28T00:00:11.508365
182,149,65,49,2024-03-23T05:00:00,2024-03-23T18:54:30.576189
183,149,246,232,2024-05-16T18:00:00,2024-05-17T04:15:53.794577
184,150,133,148,2025-02-06T12:00:00,2025-02-06T21:51:43.539650
185,150,215,220,2024-12-02T19:00:00,2024-12-03T00:49:30.976317
186,151,214,25,2025-03-08T08:00:00,2025-03-09T11:05:33.551029
187,152,59,241,2026-03-19T18:00:00,2026-03-20T11:48:28.082136
188,152,155,190,2026-01-25T20:00:00,2026-01-26T00:22:02.713426
189,153,93,134,2024-10-11T09:00:00,2024-10-11T17:24:47.233151
190,153,152,28,2025-11-01T20:00:00,2025-11-02T18:41:05.173780
191,154,181,24,2024-10-05T09:00:00,2024-10-06T07:50:28.090160
192,154,122,52,2025-07-30T17:00:00,2025-07-30T21:47:07.219672
193,155,64,68,2025-01-22T05:00:00,2025-01-22T22:06:33.226216
194,155,307,251,2025-04-01T11:00:00,2025-04-02T07:53:34.012101
195,156,252,205,2024-11-20T08:00:00,2024-11-20T10:01:20.061909
196,157,207,40,2025-03-18T09:00:00,2025-03-19T07:54:39.237776
197,158,62,261,2024-11-26T15:00:00,2024-11-26T16:34:11.089740
198,159,274,53,2024-10-09T12:00:00,2024-10-09T19:46:00.641038
199,160,17,48,2024-03-17T08:00:00,2024-03-17T09:09:45.643374
200,161,62,268,2025-11-16T06:00:00,2025-11-16T15:55:54.877434
201,162,199,17,2025-10-01T16:00:00,2025-10-02T07:49:31.652334
202,162,83,100,2026-06-07T16:00:00,2026-06-07T22:55:30.380973
203,163,181,168,2024-04-08T09:00:00,2024-04-08T12:14:38.147467
204,164,310,43,2025-01-04T19:00:00,2025-01-05T17:34:49.393612
205,165,233,113,2025-02-21T06:00:00,2025-02-21T20:30:25.572952
206,166,68,209,2024-02-21T10:00:00,2024-02-22T07:46:50.297098
207,167,176,157,2024-11-29T18:00:00,2024-11-30T01:02:44.649328
208,168,45,165,2025-06-18T17:00:00,2025-06-19T07:08:41.247851
209,169,64,81,2025-05-10T07:00:00,2025-05-11T00:06:42.687540
210,170,25,225,2024-02-28T18:00:00,2024-02-29T20:32:54.536610
211,171,171,116,2024-02-08T13:00:00,2024-02-08T16:30:50.351958
212,172,16,234,2025-02-14T13:00:00,2025-02-14T17:48:23.946639
213,173,281,248,2026-01-16T06:00:00,2026-01-16T09:23:31.307288
214,173,236,170,2024-12-30T09:00:00,2024-12-31T09:12:16.197521
215,174,170,92,2024-05-18T15:00:00,2024-05-19T05:03:59.151242
216,175,140,131,2024-12-18T11:00:00,2024-12-18T22:53:58.849901
217,175,64,232,2025-02-02T05:00:00,2025-02-02T07:46:58.331036
218,176,219,148,2024-11-07T18:00:00,2024-11-08T02:21:21.576239
219,177,198,44,2025-03-03T10:00:00,2025-03-04T15:11:48.696467
220,178,110,19,2025-01-23T20:00:00,2025-01-24T05:42:42.785230
221,179,30,74,2024-11-29T10:00:00,2024-11-30T13:33:51.158263
222,179,224,206,2024-01-11T09:00:00,2024-01-11T11:08:53.588548
223,180,250,66,2026-05-28T15:00:00,2026-05-28T23:48:57.303958
224,181,145,219,2026-04-11T15:00:00,2026-04-11T16:54:32.025629
225,181,273,74,2025-01-05T05:00:00,2025-01-05T17:50:10.152664
226,182,48,165,2024-05-08T19:00:00,2024-05-09T02:47:11.357822
227,183,40,33,2024-04-22T15:00:00,2024-04-23T07:20:56.816586
228,184,225,141,2024-12-31T06:00:00,2024-12-31T22:06:51.518901
229,184,302,162,2025-06-16T09:00:00,2025-06-17T12:09:20.473510
230,185,254,172,2024-11-09T13:00:00,2024-11-09T18:54:54.042002
231,186,94,59,2025-09-06T14:00:00,2025-09-06T17:09:40.880289
232,187,224,34,2024-08-13T13:00:00,2024-08-13T18:43:25.901059
233,188,227,137,2024-02-21T06:00:00,2024-02-21T18:06:47.719669
234,188,41,18,2026-02-24T11:00:00,2026-02-25T06:54:46.084822
235,189,298,100,2024-06-29T11:00:00,2024-06-29T23:35:26.482066
236,190,308,216,2024-03-03T18:00:00,2024-03-04T15:25:58.738682
237,191,292,53,2026-02-25T14:00:00,2026-02-26T15:21:55.427637
238,192,254,163,2024-05-07T20:00:00,2024-05-08T16:22:17.311146
239,193,147,96,2024-02-27T12:00:00,2024-02-27T20:38:34.301851
240,194,89,21,2025-06-22T08:00:00,2025-06-22T14:05:39.610164
241,195,251,122,2025-04-04T06:00:00,2025-04-04T21:23:29.047002
242,196,239,88,2024-03-10T09:00:00,2024-03-11T13:47:31.201841
243,197,210,74,2025-12-26T05:00:00,2025-12-27T02:52:36.369388
244,198,15,87,2025-02-28T16:00:00,2025-03-01T09:44:39.476549
245,199,83,84,2025-01-04T17:00:00,2025-01-05T10:57:47.737204
246,200,80,179,2025-03-01T15:00:00,2025-03-01T21:16:07.204780
247,201,275,36,2024-05-27T09:00:00,2024-05-27T19:57:02.781003
248,202,176,182,2024-06-29T06:00:00,2024-06-29T22:12:22.137133
249,203,221,156,2024-09-27T09:00:00,2024-09-28T05:39:27.840217
250,203,129,178,2024-09-17T12:00:00,2024-09-17T18:48:37.190727
251,204,155,19,2025-12-29T14:00:00,2025-12-30T18:58:50.552656
252,205,290,243,2025-01-09T12:00:00,2025-01-09T21:51:28.974680
253,206,168,10,2025-09-11T12:00:00,2025-09-11T15:13:47.792999
254,207,33,71,2024-10-25T12:00:00,2024-10-26T01:21:00.686221
255,207,52,134,2024-02-17T16:00:00,2024-02-17T23:13:05.349908
256,208,14,157,2024-05-04T08:00:00,2024-05-04T15:51:13.064176
257,209,17,27,2026-03-24T06:00:00,2026-03-25T09:48:41.414680
258,210,33,196,2024-09-09T19:00:00,2024-09-09T23:37:43.252097
259,210,196,223,2026-05-13T05:00:00,2026-05-13T07:41:25.750160
260,211,256,229,2025-08-08T17:00:00,2025-08-09T11:24:10.673320
261,212,174,50,2025-03-17T20:00:00,2025-03-18T02:40:52.785048
262,213,254,244,2024-08-25T18:00:00,2024-08-26T18:24:23.537332
263,214,241,77,2026-06-09T14:00:00,2026-06-10T06:04:42.910076
264,215,294,198,2024-03-02T07:00:00,2024-03-02T17:58:34.816401
265,215,2,238,2025-12-01T06:00:00,2025-12-01T23:30:06.351473
266,216,141,270,2024-07-03T14:00:00,2024-07-04T01:09:56.987854
267,217,221,92,2025-03-25T05:00:00,2025-03-26T00:40:54.622879
268,218,139,6,2025-10-02T13:00:00,2025-10-03T05:52:43.202267
269,218,94,167,2025-07-19T16:00:00,2025-07-20T21:52:37.285114
270,219,194,108,2025-02-21T09:00:00,2025-02-21T13:32:46.386458
271,220,209,254,2024-04-21T08:00:00,2024-04-21T10:42:55.813913
272,221,266,198,2025-08-18T20:00:00,2025-08-19T11:56:11.922118
273,222,213,95,2025-09-12T05:00:00,2025-09-12T21:34:25.044355
274,223,34,197,2026-03-11T06:00:00,2026-03-11T11:46:41.790572
275,224,285,63,2024-10-18T15:00:00,2024-10-19T19:16:50.358878
276,225,190,73,2024-07-21T17:00:00,2024-07-21T23:44:16.892850
277,226,276,35,2025-08-26T05:00:00,2025-08-26T09:46:08.335001
278,226,157,167,2025-01-22T20:00:00,2025-01-23T12:13:36.922590
279,227,132,52,2024-11-22T05:00:00,2024-11-22T19:00:59.789186
280,228,165,259,2024-05-23T16:00:00,2024-05-24T11:26:03.806473
281,229,119,176,2025-04-05T12:00:00,2025-04-06T08:04:48.134985
282,230,178,177,2025-12-11T12:00:00,2025-12-11T17:25:09.348897
283,231,233,99,2026-03-24T08:00:00,2026-03-24T22:08:00.775438
284,231,178,164,2024-04-11T15:00:00,2024-04-12T19:46:22.370769
285,232,242,125,2026-05-04T16:00:00,2026-05-05T10:10:16.327993
286,233,259,25,2025-09-06T16:00:00,2025-09-07T05:07:38.700697
287,234,169,48,2025-08-09T17:00:00,2025-08-10T19:57:02.484080
288,234,23,7,2025-03-16T16:00:00,2025-03-17T17:27:33.125604
289,235,173,199,2026-01-23T11:00:00,2026-01-24T12:49:00.442220
290,235,32,123,2025-07-02T15:00:00,2025-07-03T20:08:33.792419
291,236,229,61,2024-10-06T18:00:00,2024-10-07T21:22:27.729303
292,237,222,265,2024-02-05T08:00:00,2024-02-06T01:57:11.078368
293,238,105,23,2024-03-12T17:00:00,2024-03-13T04:46:56.706267
294,239,167,58,2024-08-16T20:00:00,2024-08-17T00:50:32.150909
295,240,64,25,2025-05-16T12:00:00,2025-05-17T00:00:35.705814
296,241,222,43,2025-10-18T12:00:00,2025-10-18T20:05:01.257476
297,242,133,228,2025-01-13T11:00:00,2025-01-14T16:02:36.494421
298,243,79,185,2025-02-05T13:00:00,2025-02-06T06:59:35.123351
299,244,209,259,2024-09-27T19:00:00,2024-09-28T00:35:49.919539
300,245,214,139,2025-12-05T09:00:00,2025-12-05T22:49:40.334740
301,245,185,190,2025-11-16T12:00:00,2025-11-17T09:12:11.705769
302,246,269,238,2024-02-04T12:00:00,2024-02-05T00:00:11.378151
303,247,144,24,2026-01-19T14:00:00,2026-01-20T12:38:49.498882
304,248,170,266,2025-01-04T05:00:00,2025-01-05T01:32:12.788733
305,249,91,255,2024-04-26T09:00:00,2024-04-27T12:10:35.012011
306,249,233,211,2025-08-13T09:00:00,2025-08-13T21:57:27.581594
307,250,171,64,2024-09-08T10:00:00,2024-09-09T07:20:12.644089
308,251,74,228,2024-12-24T16:00:00,2024-12-25T15:04:07.166027
309,252,34,73,2025-08-15T07:00:00,2025-08-16T07:43:39.369103
310,253,34,39,2026-01-19T12:00:00,2026-01-19T20:53:17.693451
311,254,184,235,2024-01-15T11:00:00,2024-01-16T13:06:39.651608
312,255,223,241,2026-04-26T09:00:00,2026-04-26T11:10:47.433152
313,256,52,197,2025-09-29T15:00:00,2025-09-29T22:06:43.046280
314,257,70,103,2025-09-25T06:00:00,2025-09-25T20:12:36.174714
315,258,100,256,2025-08-10T17:00:00,2025-08-11T09:45:34.545591
316,259,148,80,2024-11-17T18:00:00,2024-11-18T01:00:55.742399
317,260,132,129,2025-05-20T11:00:00,2025-05-20T21:17:11.159797
318,261,150,96,2025-12-28T07:00:00,2025-12-28T08:05:57.007822
319,262,35,6,2024-01-25T15:00:00,2024-01-25T16:57:03.191747
320,262,270,98,2024-10-06T19:00:00,2024-10-07T16:17:29.794181
321,263,292,159,2024-06-30T08:00:00,2024-07-01T12:04:57.203014
322,263,26,163,2025-11-30T09:00:00,2025-11-30T19:45:08.719292
323,264,194,39,2024-05-16T06:00:00,2024-05-16T13:00:56.981848
324,264,61,104,2025-05-31T11:00:00,2025-06-01T05:12:22.280589
325,265,107,50,2025-03-07T10:00:00,2025-03-08T05:12:02.361576
326,266,148,88,2025-03-06T09:00:00,2025-03-06T23:34:59.222062
327,267,119,203,2025-08-29T15:00:00,2025-08-30T04:03:13.800775
328,268,196,236,2025-01-01T07:00:00,2025-01-02T11:30:29.035188
329,269,265,145,2026-03-22T11:00:00,2026-03-23T16:58:54.327154
330,270,219,8,2024-10-29T14:00:00,2024-10-30T16:40:34.475571
331,270,16,19,2024-06-18T12:00:00,2024-06-18T20:14:21.861707
332,271,69,156,2024-11-07T17:00:00,2024-11-07T23:57:12.734796
333,272,24,177,2024-11-17T19:00:00,2024-11-18T21:16:12.102498
334,273,158,269,2024-02-21T08:00:00,2024-02-21T17:49:50.669684
335,274,37,196,2026-06-03T19:00:00,2026-06-04T03:08:07.724755
336,274,249,168,2024-06-12T14:00:00,2024-06-12T17:54:00.357853
337,275,59,74,2025-11-22T13:00:00,2025-11-23T11:59:21.640710
338,276,248,247,2025-04-29T10:00:00,2025-04-30T05:00:25.113242
339,277,55,120,2026-05-10T07:00:00,2026-05-10T21:48:51.049031
340,277,142,3,2024-09-04T19:00:00,2024-09-05T21:50:16.938965
341,278,185,243,2024-03-11T06:00:00,2024-03-11T19:05:38.171063
342,278,214,149,2024-05-09T06:00:00,2024-05-10T06:32:05.937646
343,279,67,229,2025-12-04T18:00:00,2025-12-05T06:32:36.254539
344,280,7,89,2025-06-03T19:00:00,2025-06-04T07:30:29.201769
345,281,14,8,2025-06-24T07:00:00,2025-06-24T18:20:08.647981
346,282,226,204,2024-04-03T11:00:00,2024-04-03T23:43:21.305384
347,283,127,270,2025-05-08T09:00:00,2025-05-08T20:35:54.956293
348,284,106,227,2025-03-26T18:00:00,2025-03-27T10:10:04.839161
349,285,245,268,2024-03-09T07:00:00,2024-03-10T10:39:00.335256
350,286,143,238,2026-03-21T10:00:00,2026-03-22T08:46:58.607149
351,287,185,23,2024-06-20T15:00:00,2024-06-21T03:37:12.544461
352,288,299,245,2024-12-10T05:00:00,2024-12-10T12:34:56.704199
353,289,261,29,2026-02-18T14:00:00,2026-02-19T07:00:25.182278
354,290,218,90,2025-12-21T15:00:00,2025-12-21T20:33:03.635702
355,290,80,148,2024-02-04T08:00:00,2024-02-05T10:43:55.563641
356,291,135,232,2024-09-27T16:00:00,2024-09-28T15:25:43.924783
357,292,288,165,2026-06-19T16:00:00,2026-06-20T07:20:45.064340
358,293,124,123,2026-06-14T17:00:00,2026-06-15T13:45:56.017861
359,294,9,127,2024-12-19T13:00:00,2024-12-19T17:39:00.650392
360,294,241,265,2025-02-06T13:00:00,2025-02-07T11:00:38.280659
361,295,183,87,2024-03-09T05:00:00,2024-03-09T14:38:05.454533
362,296,58,10,2024-02-28T06:00:00,2024-02-28T18:43:14.430320
363,297,152,175,2024-02-08T06:00:00,2024-02-08T20:05:03.922119
364,298,106,115,2026-01-01T16:00:00,2026-01-02T06:48:02.238666
365,299,147,242,2024-12-26T15:00:00,2024-12-27T12:00:36.041885
366,300,43,216,2026-01-26T07:00:00,2026-01-27T09:03:20.902625
367,300,149,37,2025-11-21T14:00:00,2025-11-22T15:44:26.212207
368,301,156,157,2025-04-12T12:00:00,2025-04-13T08:39:09.998131
369,302,140,229,2024-10-19T13:00:00,2024-10-19T19:00:44.607302
370,303,67,237,2025-09-10T20:00:00,2025-09-11T06:19:34.560582
371,304,170,222,2024-08-25T13:00:00,2024-08-26T15:28:50.865587
372,305,177,72,2024-11-23T14:00:00,2024-11-24T19:52:20.861095
373,306,24,21,2024-05-19T09:00:00,2024-05-19T16:07:43.799537
374,307,42,124,2024-09-20T20:00:00,2024-09-21T23:26:44.673767
375,308,218,2,2024-05-28T14:00:00,2024-05-29T02:34:37.355748
376,309,114,84,2025-01-28T20:00:00,2025-01-29T07:32:13.905886
