supplier_id,legal_name,supplier_type,primary_division_id,onboarding_date,status
278,Washington Farms,farmer,agricore,2021-03-03,active
279,Collins Farms,farmer,agricore,2022-01-27,active
280,Martinez Farms,farmer,agricore,2018-05-29,active
281,Francis Farms,farmer,agricore,2017-04-05,active
282,Johnson Farms,farmer,agricore,2025-10-10,active
283,Stephens Farms,farmer,agricore,2023-01-03,active
284,Townsend Farms,farmer,agricore,2023-07-23,active
285,Lee Farms,farmer,agricore,2018-04-12,active
286,Franklin Farms,farmer,agricore,2017-04-04,active
287,Sanders Farms,farmer,agricore,2022-10-11,active
288,Clark Farms,farmer,agricore,2020-02-29,inactive
289,Lewis Farms,farmer,agricore,2022-12-21,active
290,Fitzgerald Farms,farmer,agricore,2024-04-18,active
291,Barrett Farms,farmer,agricore,2023-08-23,active
292,Ward Farms,farmer,agricore,2026-02-03,active
293,Mann Farms,farmer,agricore,2025-05-26,active
294,Henderson Farms,farmer,agricore,2023-10-27,active
295,Cervantes Farms,farmer,agricore,2024-04-17,active
296,Jenkins Farms,farmer,agricore,2023-12-02,active
297,Cochran Farms,farmer,agricore,2021-09-30,active
298,Randall Farms,farmer,agricore,2025-05-25,active
299,Morgan Farms,farmer,agricore,2023-07-07,active
300,Nelson Farms,farmer,agricore,2021-07-03,active
301,Ayala Farms,farmer,agricore,2021-08-23,active
302,Estes Farms,farmer,agricore,2019-10-29,active
303,Garcia Farms,farmer,agricore,2020-03-30,active
304,Bond Farms,farmer,agricore,2019-12-23,active
305,Henry Farms,farmer,agricore,2017-03-20,active
306,Miller Farms,farmer,agricore,2020-12-04,inactive
307,Lee Farms,farmer,agricore,2019-07-25,active
308,Peck Farms,farmer,agricore,2026-01-23,active
309,Howard Farms,farmer,agricore,2024-05-28,active
310,Roach Farms,farmer,agricore,2020-10-29,active
311,Garcia Farms,farmer,agricore,2021-08-04,active
312,Ball Farms,farmer,agricore,2024-10-21,active
313,Gonzales Farms,farmer,agricore,2024-07-19,active
314,Swanson Farms,farmer,agricore,2018-07-10,active
315,Porter Farms,farmer,agricore,2025-03-22,active
316,Barr Farms,farmer,agricore,2020-06-09,active
317,Cook Farms,farmer,agricore,2022-04-30,active
318,Parrish Farms,farmer,agricore,2022-09-25,active
319,Wright Farms,farmer,agricore,2024-04-12,active
320,Weeks Farms,farmer,agricore,2021-05-08,active
321,Vargas Farms,farmer,agricore,2022-08-03,active
322,Parker Farms,farmer,agricore,2018-04-04,active
323,Wilson Farms,farmer,agricore,2017-09-19,active
324,Gordon Farms,farmer,agricore,2024-02-20,active
325,Bailey Farms,farmer,agricore,2019-03-25,active
326,Robertson Farms,farmer,agricore,2025-04-05,active
327,Hernandez Farms,farmer,agricore,2024-02-26,active
328,Brock Farms,farmer,agricore,2021-07-03,active
329,Wilcox Farms,farmer,agricore,2019-12-03,active
330,Best Farms,farmer,agricore,2022-05-16,active
331,Smith Farms,farmer,agricore,2022-06-09,active
332,Morse Farms,farmer,agricore,2023-03-20,active
333,Ramos Farms,farmer,agricore,2024-04-08,active
334,Green Farms,farmer,agricore,2022-11-10,active
335,Fox Farms,farmer,agricore,2022-10-02,active
336,Dudley Farms,farmer,agricore,2017-04-15,active
337,Johnson Farms,farmer,agricore,2022-06-27,active
338,Brown Farms,farmer,agricore,2026-05-15,active
339,Ryan Farms,farmer,agricore,2024-07-23,active
340,Mclaughlin Farms,farmer,agricore,2023-07-04,active
341,Wood Farms,farmer,agricore,2022-09-26,active
342,Ross Farms,farmer,agricore,2020-11-20,active
343,Brown Farms,farmer,agricore,2018-11-11,active
344,Duncan Farms,farmer,agricore,2019-03-03,inactive
345,Martinez Farms,farmer,agricore,2023-11-23,active
346,Barnes Farms,farmer,agricore,2024-07-11,active
347,Keller Farms,farmer,agricore,2020-01-14,active
348,Salas Farms,farmer,agricore,2022-01-17,active
349,Bell Farms,farmer,agricore,2018-05-04,active
350,Morgan Farms,farmer,agricore,2020-03-07,active
351,Miller Farms,farmer,agricore,2023-12-19,active
352,Jones Farms,farmer,agricore,2018-08-26,active
353,Dennis Farms,farmer,agricore,2025-12-08,active
354,Gray Farms,farmer,agricore,2023-01-29,active
355,Peterson Farms,farmer,agricore,2017-11-21,active
356,Crawford Farms,farmer,agricore,2019-12-08,active
357,Moore Farms,farmer,agricore,2017-04-10,active
358,Cochran Farms,farmer,agricore,2018-07-17,suspended
359,Ruiz Farms,farmer,agricore,2023-05-25,active
360,Ferrell Farms,farmer,agricore,2021-03-23,active
361,Moore Farms,farmer,agricore,2025-02-25,active
362,Gray Farms,farmer,agricore,2020-09-11,inactive
363,Bradford Farms,farmer,agricore,2023-01-24,active
364,Adams Farms,farmer,agricore,2018-09-30,active
365,Greer Farms,farmer,agricore,2022-11-01,suspended
366,Perry Farms,farmer,agricore,2020-03-12,inactive
367,Hayden Farms,farmer,agricore,2021-01-11,active
368,Coleman Farms,farmer,agricore,2025-12-11,active
369,Hall Farms,farmer,agricore,2026-04-14,active
370,Hart Farms,farmer,agricore,2025-03-25,active
371,Snyder Farms,farmer,agricore,2019-11-11,active
372,Ortiz Farms,farmer,agricore,2025-10-05,active
373,Campbell Farms,farmer,agricore,2026-06-07,active
374,Wright Farms,farmer,agricore,2024-07-28,active
375,Campos Farms,farmer,agricore,2018-06-24,active
376,Wells Farms,farmer,agricore,2024-06-03,active
377,Harris Farms,farmer,agricore,2024-03-14,active
378,Black Farms,farmer,agricore,2021-04-24,active
379,Davis Farms,farmer,agricore,2023-05-23,active
380,Cruz Farms,farmer,agricore,2019-10-19,active
381,Thompson Farms,farmer,agricore,2017-12-29,active
382,Peterson Farms,farmer,agricore,2020-09-28,active
383,Pearson Farms,farmer,agricore,2018-06-04,inactive
384,Davis Farms,farmer,agricore,2025-11-29,active
385,Watkins Farms,farmer,agricore,2025-04-04,active
386,White Farms,farmer,agricore,2024-07-19,active
387,Zuniga Farms,farmer,agricore,2026-05-17,active
388,Martinez Farms,farmer,agricore,2017-07-29,active
389,Short Farms,farmer,agricore,2022-01-03,active
390,Lyons Farms,farmer,agricore,2024-04-19,active
391,Duke Farms,farmer,agricore,2017-11-05,active
392,Gibson Farms,farmer,agricore,2020-02-02,active
393,Chambers Farms,farmer,agricore,2024-05-28,active
394,Jenkins Farms,farmer,agricore,2020-12-04,active
395,Thomas Farms,farmer,agricore,2021-04-23,active
396,Martinez Farms,farmer,agricore,2020-01-29,active
397,Moon Farms,farmer,agricore,2025-02-19,active
398,Ford Farms,farmer,agricore,2024-03-16,active
399,Williams Farms,farmer,agricore,2021-03-01,active
400,Price Farms,farmer,agricore,2017-05-22,active
401,Merritt Farms,farmer,agricore,2025-09-12,active
402,Vasquez Farms,farmer,agricore,2021-05-03,active
403,Jones Farms,farmer,agricore,2026-04-18,active
404,Mcdonald Farms,farmer,agricore,2025-11-12,active
405,Sullivan Farms,farmer,agricore,2019-04-17,active
406,Henderson Farms,farmer,agricore,2025-01-27,active
407,Richardson Farms,farmer,agricore,2024-01-03,active
408,Brown Farms,farmer,agricore,2018-10-20,active
409,Daniels Farms,farmer,agricore,2017-01-24,active
410,Hubbard Farms,farmer,agricore,2019-08-09,active
411,Lee Farms,farmer,agricore,2025-08-27,active
412,Miranda Farms,farmer,agricore,2025-07-28,active
413,Reyes Farms,farmer,agricore,2017-07-18,active
414,Garcia Farms,farmer,agricore,2024-07-09,inactive
415,Delgado Farms,farmer,agricore,2019-06-23,active
416,Nicholson Farms,farmer,agricore,2021-04-22,suspended
417,Ramirez Farms,farmer,agricore,2020-07-29,active
418,Edwards Farms,farmer,agricore,2019-06-09,active
419,Bowen Farms,farmer,agricore,2020-05-04,active
420,Johnson Farms,farmer,agricore,2022-08-28,active
421,Perkins Farms,farmer,agricore,2019-03-12,active
422,Holloway Farms,farmer,agricore,2019-01-20,active
423,Jackson Farms,farmer,agricore,2025-01-04,active
424,Hatfield Farms,farmer,agricore,2024-04-21,active
425,Stewart Farms,farmer,agricore,2021-04-10,inactive
426,Keith Farms,farmer,agricore,2026-03-06,active
427,Santiago Farms,farmer,agricore,2017-10-06,active
428,Lucero Farms,farmer,agricore,2019-06-17,active
429,Sanders Farms,farmer,agricore,2021-11-12,active
430,Clark Farms,farmer,agricore,2021-08-23,active
431,Miller Farms,farmer,agricore,2024-04-23,active
432,Armstrong Farms,farmer,agricore,2018-06-09,active
433,Wright Farms,farmer,agricore,2018-11-24,active
434,Johnson Farms,farmer,agricore,2018-08-26,active
435,Ramirez Farms,farmer,agricore,2018-10-05,inactive
436,Powers Farms,farmer,agricore,2020-08-13,active
437,Chapman Farms,farmer,agricore,2023-07-10,active
438,Carter Farms,farmer,agricore,2025-09-04,active
439,Morris Farms,farmer,agricore,2023-05-10,active
440,Miller Farms,farmer,agricore,2020-11-10,active
441,King Farms,farmer,agricore,2017-12-03,inactive
442,Kim Farms,farmer,agricore,2020-10-01,active
443,Williams Farms,farmer,agricore,2018-02-28,active
444,Bender Farms,farmer,agricore,2019-07-17,active
445,Russo Farms,farmer,agricore,2020-02-03,active
446,Sanders Farms,farmer,agricore,2018-06-19,active
447,Reynolds Farms,farmer,agricore,2021-05-22,active
448,Villegas Farms,farmer,agricore,2019-07-06,active
449,Cruz Farms,farmer,agricore,2023-10-31,active
450,Barry Farms,farmer,agricore,2026-01-07,active
451,Smith Farms,farmer,agricore,2022-11-16,active
452,Smith Farms,farmer,agricore,2026-06-16,active
453,Watson Farms,farmer,agricore,2017-04-14,active
454,Davies Farms,farmer,agricore,2023-06-24,active
455,Turner Farms,farmer,agricore,2020-12-17,active
456,Meyer Farms,farmer,agricore,2022-06-02,active
457,Underwood Farms,farmer,agricore,2024-05-18,active
458,Williams Farms,farmer,agricore,2026-02-18,active
459,Clark Farms,farmer,agricore,2019-08-11,active
460,Williams Farms,farmer,agricore,2025-08-30,active
461,Anderson Farms,farmer,agricore,2023-12-28,active
462,Castro Farms,farmer,agricore,2017-01-17,suspended
463,Bryant Farms,farmer,agricore,2023-06-05,active
464,Johnson Farms,farmer,agricore,2018-11-29,active
465,Franklin Farms,farmer,agricore,2017-07-14,inactive
466,Garrett Farms,farmer,agricore,2017-06-24,active
467,Mitchell Farms,farmer,agricore,2018-07-12,active
468,Garcia Farms,farmer,agricore,2024-12-07,active
469,Bonilla Farms,farmer,agricore,2021-09-21,active
470,Brown Farms,farmer,agricore,2021-09-15,active
471,Lopez Farms,farmer,agricore,2025-07-16,active
472,Bishop Farms,farmer,agricore,2025-03-10,active
473,Smith Farms,farmer,agricore,2018-09-08,active
474,Anthony Farms,farmer,agricore,2018-04-26,active
475,Jones Farms,farmer,agricore,2024-08-31,active
476,Murphy Farms,farmer,agricore,2024-01-05,active
477,Carter Farms,farmer,agricore,2026-05-05,active
478,Salazar Farms,farmer,agricore,2023-06-07,inactive
479,Hansen Farms,farmer,agricore,2023-07-21,active
480,Pugh Farms,farmer,agricore,2026-02-14,active
481,Smith Farms,farmer,agricore,2021-11-22,active
482,Barker Farms,farmer,agricore,2017-06-27,active
483,Gonzalez Farms,farmer,agricore,2017-06-14,active
484,Whitaker Farms,farmer,agricore,2017-03-15,active
485,Rodriguez Farms,farmer,agricore,2025-09-08,active
486,Wright Farms,farmer,agricore,2020-10-31,active
487,Coleman Farms,farmer,agricore,2025-12-22,active
488,Meyer Farms,farmer,agricore,2022-06-04,active
489,Adkins Farms,farmer,agricore,2017-09-02,active
490,Hunter Farms,farmer,agricore,2020-02-12,active
491,Jackson Farms,farmer,agricore,2025-08-14,active
492,Lutz Farms,farmer,agricore,2025-02-10,active
493,Garcia Farms,farmer,agricore,2021-05-12,active
494,Reynolds Farms,farmer,agricore,2018-03-25,active
495,Ayala Farms,farmer,agricore,2018-05-26,active
496,Gonzalez Farms,farmer,agricore,2019-06-21,active
497,Flores Farms,farmer,agricore,2017-12-08,active
498,Wells Farms,farmer,agricore,2022-11-12,active
499,Rodriguez Farms,farmer,agricore,2026-04-12,active
500,Hernandez Farms,farmer,agricore,2019-08-20,active
501,Garcia Farms,farmer,agricore,2019-08-05,active
502,Kelly Farms,farmer,agricore,2019-10-11,active
503,Becker Farms,farmer,agricore,2017-07-13,active
504,Cook Farms,farmer,agricore,2021-11-25,active
505,Mccormick Farms,farmer,agricore,2024-11-12,active
506,Mcneil Farms,farmer,agricore,2024-11-01,active
507,Bennett Farms,farmer,agricore,2018-06-09,active
508,Carroll Farms,farmer,agricore,2022-08-04,active
509,Garner Farms,farmer,agricore,2026-05-26,active
510,Gomez Farms,farmer,agricore,2025-06-18,active
511,Guerra Farms,farmer,agricore,2023-04-06,active
512,Evans Farms,farmer,agricore,2022-04-09,active
513,Wilson Farms,farmer,agricore,2024-05-29,active
514,Scott Farms,farmer,agricore,2021-09-12,active
515,Walls Farms,farmer,agricore,2023-12-19,inactive
516,Miller Farms,farmer,agricore,2023-07-17,active
517,Taylor Farms,farmer,agricore,2020-03-16,active
518,Johnson Farms,farmer,agricore,2019-03-07,active
519,Richardson Farms,farmer,agricore,2025-02-02,active
