repayment_id,loan_id,due_date,amount_due,amount_paid,paid_date
41,4,2024-10-29,192450.1,192450.1,2024-11-05
42,4,2024-11-28,192450.1,0,
43,4,2024-12-28,192450.1,192450.1,2024-12-27
44,4,2025-01-27,192450.1,0,
45,4,2025-02-26,192450.1,192450.1,2025-03-01
46,4,2025-03-28,192450.1,192450.1,2025-04-07
47,5,2023-03-18,90931.48,90931.48,2023-03-27
48,5,2023-04-17,90931.48,90931.48,2023-04-28
49,5,2023-05-17,90931.48,90931.48,2023-05-29
50,5,2023-06-16,90931.48,0,
51,5,2023-07-16,90931.48,90931.48,2023-07-24
52,5,2023-08-15,90931.48,90931.48,2023-08-23
53,5,2023-09-14,90931.48,90931.48,2023-09-14
54,5,2023-10-14,90931.48,90931.48,2023-10-19
55,5,2023-11-13,90931.48,90931.48,2023-11-22
56,5,2023-12-13,90931.48,90931.48,2023-12-14
57,5,2024-01-12,90931.48,90931.48,2024-01-10
58,5,2024-02-11,90931.48,0,
59,5,2024-03-12,90931.48,90931.48,2024-03-21
60,5,2024-04-11,90931.48,90931.48,2024-04-22
61,5,2024-05-11,90931.48,90931.48,2024-05-22
62,5,2024-06-10,90931.48,90931.48,2024-06-07
63,5,2024-07-10,90931.48,90931.48,2024-07-14
64,5,2024-08-09,90931.48,90931.48,2024-08-13
65,5,2024-09-08,90931.48,90931.48,2024-09-14
66,5,2024-10-08,90931.48,90931.48,2024-10-13
67,5,2024-11-07,90931.48,90931.48,2024-11-09
68,5,2024-12-07,90931.48,90931.48,2024-12-14
69,6,2024-08-27,97578.35,97578.35,2024-08-24
70,6,2024-09-26,97578.35,97578.35,2024-10-01
71,6,2024-10-26,97578.35,97578.35,2024-11-06
72,6,2024-11-25,97578.35,97578.35,2024-11-28
73,6,2024-12-25,97578.35,97578.35,2024-12-25
74,6,2025-01-24,97578.35,97578.35,2025-02-05
75,6,2025-02-23,97578.35,97578.35,2025-03-05
76,6,2025-03-25,97578.35,97578.35,2025-04-03
77,6,2025-04-24,97578.35,97578.35,2025-05-01
78,6,2025-05-24,97578.35,97578.35,2025-05-29
79,6,2025-06-23,97578.35,97578.35,2025-06-24
80,6,2025-07-23,97578.35,97578.35,2025-08-01
81,6,2025-08-22,97578.35,97578.35,2025-08-28
82,6,2025-09-21,97578.35,97578.35,2025-09-28
83,6,2025-10-21,97578.35,97578.35,2025-10-20
84,6,2025-11-20,97578.35,97578.35,2025-11-27
85,6,2025-12-20,97578.35,97578.35,2025-12-27
86,6,2026-01-19,97578.35,97578.35,2026-01-31
87,6,2026-02-18,97578.35,97578.35,2026-02-23
88,6,2026-03-20,97578.35,97578.35,2026-03-18
89,6,2026-04-19,97578.35,97578.35,2026-04-21
90,6,2026-05-19,97578.35,97578.35,2026-05-22
91,6,2026-06-18,97578.35,97578.35,2026-06-22
92,6,2026-07-18,97578.35,97578.35,2026-07-22
93,7,2024-09-21,86312.85,0,
94,7,2024-10-21,86312.85,0,
95,7,2024-11-20,86312.85,0,
96,7,2024-12-20,86312.85,86312.85,2024-12-31
97,7,2025-01-19,86312.85,86312.85,2025-01-28
98,7,2025-02-18,86312.85,0,
99,7,2025-03-20,86312.85,86312.85,2025-03-23
100,7,2025-04-19,86312.85,86312.85,2025-04-28
101,8,2023-05-02,107408.03,107408.03,2023-05-06
102,8,2023-06-01,107408.03,107408.03,2023-06-01
103,8,2023-07-01,107408.03,107408.03,2023-07-12
104,8,2023-07-31,107408.03,107408.03,2023-08-11
105,8,2023-08-30,107408.03,107408.03,2023-09-04
106,8,2023-09-29,107408.03,0,
107,8,2023-10-29,107408.03,107408.03,2023-11-08
108,8,2023-11-28,107408.03,107408.03,2023-12-02
109,8,2023-12-28,107408.03,107408.03,2023-12-27
110,8,2024-01-27,107408.03,0,
111,8,2024-02-26,107408.03,107408.03,2024-03-08
112,8,2024-03-27,107408.03,107408.03,2024-04-06
113,8,2024-04-26,107408.03,107408.03,2024-05-03
114,8,2024-05-26,107408.03,107408.03,2024-06-04
115,8,2024-06-25,107408.03,107408.03,2024-06-27
116,8,2024-07-25,107408.03,107408.03,2024-07-29
117,8,2024-08-24,107408.03,0,
118,8,2024-09-23,107408.03,107408.03,2024-09-24
119,8,2024-10-23,107408.03,107408.03,2024-10-29
120,8,2024-11-22,107408.03,107408.03,2024-11-21
121,8,2024-12-22,107408.03,107408.03,2024-12-25
122,9,2025-01-27,37253.35,37253.35,2025-02-05
123,9,2025-02-26,37253.35,37253.35,2025-03-01
124,9,2025-03-28,37253.35,37253.35,2025-04-05
125,9,2025-04-27,37253.35,37253.35,2025-05-08
126,9,2025-05-27,37253.35,37253.35,2025-06-07
127,9,2025-06-26,37253.35,37253.35,2025-07-01
128,9,2025-07-26,37253.35,37253.35,2025-07-28
129,9,2025-08-25,37253.35,37253.35,2025-08-26
130,9,2025-09-24,37253.35,37253.35,2025-09-30
131,9,2025-10-24,37253.35,37253.35,2025-10-31
132,9,2025-11-23,37253.35,0,
133,9,2025-12-23,37253.35,37253.35,2025-12-31
134,9,2026-01-22,37253.35,37253.35,2026-01-26
135,9,2026-02-21,37253.35,37253.35,2026-02-24
136,9,2026-03-23,37253.35,37253.35,2026-03-23
137,10,2023-07-06,16577.42,16577.42,2023-07-09
138,10,2023-08-05,16577.42,16577.42,2023-08-07
139,10,2023-09-04,16577.42,16577.42,2023-09-05
140,10,2023-10-04,16577.42,16577.42,2023-10-14
141,10,2023-11-03,16577.42,0,
142,10,2023-12-03,16577.42,16577.42,2023-12-06
143,10,2024-01-02,16577.42,16577.42,2024-01-05
144,10,2024-02-01,16577.42,16577.42,2024-01-31
145,10,2024-03-02,16577.42,0,
146,10,2024-04-01,16577.42,16577.42,2024-03-29
147,10,2024-05-01,16577.42,16577.42,2024-05-01
148,10,2024-05-31,16577.42,16577.42,2024-06-02
149,10,2024-06-30,16577.42,16577.42,2024-07-05
150,10,2024-07-30,16577.42,16577.42,2024-07-28
151,10,2024-08-29,16577.42,16577.42,2024-09-02
152,10,2024-09-28,16577.42,16577.42,2024-09-25
153,10,2024-10-28,16577.42,16577.42,2024-10-28
154,10,2024-11-27,16577.42,16577.42,2024-12-08
155,10,2024-12-27,16577.42,16577.42,2025-01-02
156,10,2025-01-26,16577.42,0,
157,10,2025-02-25,16577.42,16577.42,2025-02-27
158,10,2025-03-27,16577.42,16577.42,2025-03-27
159,10,2025-04-26,16577.42,16577.42,2025-04-27
160,11,2024-11-25,31365.29,31365.29,2024-11-24
161,11,2024-12-25,31365.29,31365.29,2025-01-02
162,11,2025-01-24,31365.29,31365.29,2025-01-31
163,11,2025-02-23,31365.29,31365.29,2025-03-04
164,11,2025-03-25,31365.29,31365.29,2025-03-28
165,11,2025-04-24,31365.29,31365.29,2025-05-06
166,11,2025-05-24,31365.29,31365.29,2025-05-21
167,11,2025-06-23,31365.29,31365.29,2025-06-26
168,11,2025-07-23,31365.29,31365.29,2025-07-26
169,11,2025-08-22,31365.29,31365.29,2025-08-26
170,11,2025-09-21,31365.29,31365.29,2025-09-30
171,11,2025-10-21,31365.29,31365.29,2025-10-27
172,11,2025-11-20,31365.29,31365.29,2025-11-17
173,11,2025-12-20,31365.29,0,
174,11,2026-01-19,31365.29,31365.29,2026-01-28
175,11,2026-02-18,31365.29,31365.29,2026-03-01
176,12,2023-03-29,43654.23,43654.23,2023-04-06
177,12,2023-04-28,43654.23,43654.23,2023-05-08
178,12,2023-05-28,43654.23,43654.23,2023-06-09
179,12,2023-06-27,43654.23,43654.23,2023-07-05
180,12,2023-07-27,43654.23,43654.23,2023-07-26
181,12,2023-08-26,43654.23,43654.23,2023-08-23
182,12,2023-09-25,43654.23,43654.23,2023-09-27
183,12,2023-10-25,43654.23,43654.23,2023-11-06
184,12,2023-11-24,43654.23,43654.23,2023-12-05
185,12,2023-12-24,43654.23,43654.23,2024-01-02
186,12,2024-01-23,43654.23,43654.23,2024-02-03
187,12,2024-02-22,43654.23,0,
188,12,2024-03-23,43654.23,43654.23,2024-03-29
189,12,2024-04-22,43654.23,43654.23,2024-04-19
190,12,2024-05-22,43654.23,43654.23,2024-06-02
191,13,2023-07-09,58620.81,58620.81,2023-07-07
192,13,2023-08-08,58620.81,58620.81,2023-08-17
193,13,2023-09-07,58620.81,58620.81,2023-09-04
194,13,2023-10-07,58620.81,58620.81,2023-10-08
195,13,2023-11-06,58620.81,58620.81,2023-11-09
196,13,2023-12-06,58620.81,58620.81,2023-12-14
197,13,2024-01-05,58620.81,58620.81,2024-01-09
198,13,2024-02-04,58620.81,58620.81,2024-02-01
199,13,2024-03-05,58620.81,58620.81,2024-03-16
200,13,2024-04-04,58620.81,58620.81,2024-04-14
201,13,2024-05-04,58620.81,58620.81,2024-05-12
202,13,2024-06-03,58620.81,58620.81,2024-06-08
203,13,2024-07-03,58620.81,58620.81,2024-06-30
204,13,2024-08-02,58620.81,58620.81,2024-08-01
205,13,2024-09-01,58620.81,58620.81,2024-09-03
206,13,2024-10-01,58620.81,58620.81,2024-10-13
207,14,2025-05-30,169169.12,0,
208,14,2025-06-29,169169.12,169169.12,2025-07-08
209,14,2025-07-29,169169.12,169169.12,2025-08-08
210,14,2025-08-28,169169.12,169169.12,2025-09-05
211,14,2025-09-27,169169.12,169169.12,2025-10-06
212,14,2025-10-27,169169.12,0,
213,14,2025-11-26,169169.12,169169.12,2025-12-07
214,14,2025-12-26,169169.12,169169.12,2025-12-24
215,14,2026-01-25,169169.12,169169.12,2026-01-27
216,14,2026-02-24,169169.12,169169.12,2026-03-07
217,14,2026-03-26,169169.12,169169.12,2026-03-23
218,14,2026-04-25,169169.12,169169.12,2026-04-28
219,15,2025-01-25,106104.49,106104.49,2025-01-29
220,15,2025-02-24,106104.49,106104.49,2025-02-26
221,15,2025-03-26,106104.49,106104.49,2025-03-29
222,15,2025-04-25,106104.49,106104.49,2025-04-30
223,15,2025-05-25,106104.49,106104.49,2025-05-24
224,15,2025-06-24,106104.49,106104.49,2025-06-29
225,15,2025-07-24,106104.49,106104.49,2025-07-22
226,15,2025-08-23,106104.49,106104.49,2025-08-24
227,15,2025-09-22,106104.49,106104.49,2025-09-30
228,15,2025-10-22,106104.49,106104.49,2025-10-19
229,15,2025-11-21,106104.49,106104.49,2025-11-19
230,15,2025-12-21,106104.49,106104.49,2025-12-23
231,15,2026-01-20,106104.49,106104.49,2026-01-17
232,15,2026-02-19,106104.49,0,
233,15,2026-03-21,106104.49,106104.49,2026-03-28
234,15,2026-04-20,106104.49,0,
235,15,2026-05-20,106104.49,106104.49,2026-05-20
236,15,2026-06-19,106104.49,0,
237,15,2026-07-19,106104.49,106104.49,2026-07-26
238,15,2026-08-18,106104.49,0,
239,15,2026-09-17,106104.49,0,
240,15,2026-10-17,106104.49,0,
241,16,2024-09-08,98132.73,98132.73,2024-09-19
242,16,2024-10-08,98132.73,98132.73,2024-10-14
243,16,2024-11-07,98132.73,98132.73,2024-11-10
244,16,2024-12-07,98132.73,98132.73,2024-12-06
245,16,2025-01-06,98132.73,98132.73,2025-01-08
246,16,2025-02-05,98132.73,98132.73,2025-02-09
247,16,2025-03-07,98132.73,98132.73,2025-03-11
248,16,2025-04-06,98132.73,98132.73,2025-04-13
249,16,2025-05-06,98132.73,98132.73,2025-05-04
250,16,2025-06-05,98132.73,98132.73,2025-06-09
251,16,2025-07-05,98132.73,98132.73,2025-07-08
252,16,2025-08-04,98132.73,98132.73,2025-08-11
253,16,2025-09-03,98132.73,98132.73,2025-09-04
254,16,2025-10-03,98132.73,98132.73,2025-10-15
255,16,2025-11-02,98132.73,98132.73,2025-10-30
256,17,2023-07-04,89911.8,89911.8,2023-07-12
257,17,2023-08-03,89911.8,89911.8,2023-08-03
258,17,2023-09-02,89911.8,0,
259,17,2023-10-02,89911.8,89911.8,2023-10-14
260,17,2023-11-01,89911.8,89911.8,2023-11-04
261,17,2023-12-01,89911.8,89911.8,2023-12-09
262,17,2023-12-31,89911.8,89911.8,2024-01-12
263,17,2024-01-30,89911.8,89911.8,2024-02-10
264,17,2024-02-29,89911.8,89911.8,2024-03-11
265,17,2024-03-30,89911.8,89911.8,2024-04-02
266,17,2024-04-29,89911.8,89911.8,2024-05-07
267,17,2024-05-29,89911.8,89911.8,2024-05-29
268,17,2024-06-28,89911.8,89911.8,2024-07-08
269,17,2024-07-28,89911.8,89911.8,2024-08-08
270,18,2024-08-28,134642.89,134642.89,2024-09-03
271,18,2024-09-27,134642.89,134642.89,2024-09-26
272,18,2024-10-27,134642.89,134642.89,2024-10-25
273,18,2024-11-26,134642.89,134642.89,2024-12-06
274,18,2024-12-26,134642.89,134642.89,2025-01-03
275,18,2025-01-25,134642.89,134642.89,2025-01-28
276,18,2025-02-24,134642.89,134642.89,2025-03-07
277,18,2025-03-26,134642.89,134642.89,2025-04-06
278,18,2025-04-25,134642.89,134642.89,2025-04-28
279,18,2025-05-25,134642.89,134642.89,2025-06-06
280,18,2025-06-24,134642.89,134642.89,2025-06-28
281,18,2025-07-24,134642.89,134642.89,2025-07-24
282,18,2025-08-23,134642.89,134642.89,2025-08-20
283,18,2025-09-22,134642.89,134642.89,2025-09-19
284,18,2025-10-22,134642.89,134642.89,2025-10-25
285,18,2025-11-21,134642.89,134642.89,2025-11-28
286,19,2023-03-12,37150.63,37150.63,2023-03-19
287,19,2023-04-11,37150.63,37150.63,2023-04-12
288,19,2023-05-11,37150.63,37150.63,2023-05-18
289,19,2023-06-10,37150.63,37150.63,2023-06-12
290,19,2023-07-10,37150.63,37150.63,2023-07-08
291,19,2023-08-09,37150.63,37150.63,2023-08-07
292,19,2023-09-08,37150.63,37150.63,2023-09-14
293,19,2023-10-08,37150.63,0,
294,19,2023-11-07,37150.63,37150.63,2023-11-13
295,19,2023-12-07,37150.63,37150.63,2023-12-04
296,19,2024-01-06,37150.63,0,
297,19,2024-02-05,37150.63,37150.63,2024-02-12
298,19,2024-03-06,37150.63,0,
299,19,2024-04-05,37150.63,37150.63,2024-04-05
300,20,2024-07-20,393044.86,393044.86,2024-07-18
301,20,2024-08-19,393044.86,393044.86,2024-08-25
302,20,2024-09-18,393044.86,393044.86,2024-09-20
303,20,2024-10-18,393044.86,393044.86,2024-10-18
304,20,2024-11-17,393044.86,393044.86,2024-11-25
305,20,2024-12-17,393044.86,393044.86,2024-12-15
306,21,2023-02-24,194860.59,194860.59,2023-02-25
307,21,2023-03-26,194860.59,194860.59,2023-04-02
308,21,2023-04-25,194860.59,194860.59,2023-04-30
309,21,2023-05-25,194860.59,0,
310,21,2023-06-24,194860.59,194860.59,2023-07-04
311,21,2023-07-24,194860.59,194860.59,2023-08-05
312,21,2023-08-23,194860.59,194860.59,2023-08-23
313,21,2023-09-22,194860.59,194860.59,2023-09-21
314,21,2023-10-22,194860.59,0,
315,21,2023-11-21,194860.59,194860.59,2023-11-20
316,21,2023-12-21,194860.59,194860.59,2023-12-21
317,21,2024-01-20,194860.59,194860.59,2024-01-29
318,21,2024-02-19,194860.59,0,
319,21,2024-03-20,194860.59,194860.59,2024-03-29
320,22,2024-12-11,73905.84,0,
321,22,2025-01-10,73905.84,73905.84,2025-01-07
322,22,2025-02-09,73905.84,73905.84,2025-02-12
323,22,2025-03-11,73905.84,73905.84,2025-03-08
324,22,2025-04-10,73905.84,0,
325,22,2025-05-10,73905.84,0,
326,22,2025-06-09,73905.84,73905.84,2025-06-17
327,22,2025-07-09,73905.84,73905.84,2025-07-09
328,22,2025-08-08,73905.84,73905.84,2025-08-14
329,22,2025-09-07,73905.84,0,
330,22,2025-10-07,73905.84,73905.84,2025-10-07
331,22,2025-11-06,73905.84,73905.84,2025-11-14
332,22,2025-12-06,73905.84,73905.84,2025-12-06
333,22,2026-01-05,73905.84,73905.84,2026-01-12
334,22,2026-02-04,73905.84,73905.84,2026-02-13
335,22,2026-03-06,73905.84,73905.84,2026-03-09
336,22,2026-04-05,73905.84,73905.84,2026-04-09
337,22,2026-05-05,73905.84,0,
338,23,2025-03-15,5231.09,5231.09,2025-03-26
339,23,2025-04-14,5231.09,5231.09,2025-04-20
340,23,2025-05-14,5231.09,5231.09,2025-05-18
341,23,2025-06-13,5231.09,5231.09,2025-06-20
342,23,2025-07-13,5231.09,5231.09,2025-07-12
343,23,2025-08-12,5231.09,5231.09,2025-08-09
344,23,2025-09-11,5231.09,5231.09,2025-09-10
345,23,2025-10-11,5231.09,5231.09,2025-10-16
346,23,2025-11-10,5231.09,5231.09,2025-11-16
347,23,2025-12-10,5231.09,5231.09,2025-12-22
348,23,2026-01-09,5231.09,5231.09,2026-01-19
349,23,2026-02-08,5231.09,5231.09,2026-02-06
350,23,2026-03-10,5231.09,5231.09,2026-03-20
351,23,2026-04-09,5231.09,5231.09,2026-04-16
352,23,2026-05-09,5231.09,5231.09,2026-05-14
353,23,2026-06-08,5231.09,5231.09,2026-06-20
354,23,2026-07-08,5231.09,5231.09,2026-07-07
355,23,2026-08-07,5231.09,5231.09,2026-08-04
356,23,2026-09-06,5231.09,5231.09,2026-09-12
357,23,2026-10-06,5231.09,5231.09,2026-10-08
358,23,2026-11-05,5231.09,5231.09,2026-11-14
359,23,2026-12-05,5231.09,5231.09,2026-12-05
360,23,2027-01-04,5231.09,5231.09,2027-01-11
361,23,2027-02-03,5231.09,5231.09,2027-02-02
362,24,2024-11-24,78854.52,78854.52,2024-12-03
363,24,2024-12-24,78854.52,78854.52,2024-12-31
364,24,2025-01-23,78854.52,78854.52,2025-01-24
365,24,2025-02-22,78854.52,78854.52,2025-02-26
366,24,2025-03-24,78854.52,78854.52,2025-04-02
367,24,2025-04-23,78854.52,78854.52,2025-05-01
368,24,2025-05-23,78854.52,78854.52,2025-05-31
369,24,2025-06-22,78854.52,0,
370,24,2025-07-22,78854.52,78854.52,2025-07-20
371,24,2025-08-21,78854.52,78854.52,2025-08-18
372,24,2025-09-20,78854.52,78854.52,2025-09-22
373,24,2025-10-20,78854.52,78854.52,2025-10-19
374,24,2025-11-19,78854.52,78854.52,2025-12-01
375,24,2025-12-19,78854.52,0,
376,24,2026-01-18,78854.52,78854.52,2026-01-27
377,24,2026-02-17,78854.52,78854.52,2026-02-20
378,24,2026-03-19,78854.52,78854.52,2026-03-23
379,24,2026-04-18,78854.52,78854.52,2026-04-30
380,24,2026-05-18,78854.52,78854.52,2026-05-30
381,24,2026-06-17,78854.52,78854.52,2026-06-15
382,24,2026-07-17,78854.52,78854.52,2026-07-15
383,24,2026-08-16,78854.52,0,
384,25,2024-12-06,20625.18,0,
385,25,2025-01-05,20625.18,20625.18,2025-01-09
386,25,2025-02-04,20625.18,0,
387,25,2025-03-06,20625.18,20625.18,2025-03-07
388,25,2025-04-05,20625.18,20625.18,2025-04-17
389,25,2025-05-05,20625.18,20625.18,2025-05-09
390,25,2025-06-04,20625.18,20625.18,2025-06-13
391,25,2025-07-04,20625.18,20625.18,2025-07-08
392,25,2025-08-03,20625.18,20625.18,2025-08-15
393,25,2025-09-02,20625.18,0,
394,25,2025-10-02,20625.18,20625.18,2025-10-03
395,25,2025-11-01,20625.18,20625.18,2025-11-06
396,25,2025-12-01,20625.18,20625.18,2025-12-08
397,26,2024-07-25,124202.89,0,
398,26,2024-08-24,124202.89,0,
399,26,2024-09-23,124202.89,124202.89,2024-10-05
400,26,2024-10-23,124202.89,0,
401,26,2024-11-22,124202.89,124202.89,2024-12-03
402,26,2024-12-22,124202.89,124202.89,2024-12-24
403,26,2025-01-21,124202.89,124202.89,2025-01-21
404,26,2025-02-20,124202.89,124202.89,2025-02-19
405,26,2025-03-22,124202.89,124202.89,2025-03-28
406,26,2025-04-21,124202.89,124202.89,2025-04-28
407,26,2025-05-21,124202.89,124202.89,2025-05-23
408,26,2025-06-20,124202.89,124202.89,2025-07-01
409,26,2025-07-20,124202.89,124202.89,2025-07-29
410,26,2025-08-19,124202.89,124202.89,2025-08-17
411,26,2025-09-18,124202.89,124202.89,2025-09-20
412,26,2025-10-18,124202.89,124202.89,2025-10-17
413,27,2024-09-21,47079.47,47079.47,2024-10-01
414,27,2024-10-21,47079.47,47079.47,2024-10-22
415,27,2024-11-20,47079.47,0,
416,27,2024-12-20,47079.47,47079.47,2024-12-28
417,27,2025-01-19,47079.47,47079.47,2025-01-18
418,27,2025-02-18,47079.47,0,
419,27,2025-03-20,47079.47,47079.47,2025-03-19
420,27,2025-04-19,47079.47,47079.47,2025-04-30
421,27,2025-05-19,47079.47,0,
422,28,2023-10-24,100094.36,100094.36,2023-10-22
423,28,2023-11-23,100094.36,100094.36,2023-11-20
424,28,2023-12-23,100094.36,0,
425,28,2024-01-22,100094.36,100094.36,2024-01-22
426,28,2024-02-21,100094.36,100094.36,2024-03-02
427,28,2024-03-22,100094.36,0,
428,28,2024-04-21,100094.36,0,
429,28,2024-05-21,100094.36,100094.36,2024-05-20
430,28,2024-06-20,100094.36,100094.36,2024-06-23
431,28,2024-07-20,100094.36,0,
432,28,2024-08-19,100094.36,100094.36,2024-08-24
433,28,2024-09-18,100094.36,100094.36,2024-09-25
434,28,2024-10-18,100094.36,0,
435,28,2024-11-17,100094.36,0,
436,28,2024-12-17,100094.36,0,
437,28,2025-01-16,100094.36,100094.36,2025-01-20
438,28,2025-02-15,100094.36,0,
439,28,2025-03-17,100094.36,100094.36,2025-03-22
440,28,2025-04-16,100094.36,100094.36,2025-04-26
441,28,2025-05-16,100094.36,100094.36,2025-05-14
442,28,2025-06-15,100094.36,100094.36,2025-06-16
443,28,2025-07-15,100094.36,100094.36,2025-07-23
444,28,2025-08-14,100094.36,0,
445,28,2025-09-13,100094.36,100094.36,2025-09-12
446,29,2023-09-25,199537.43,199537.43,2023-10-05
447,29,2023-10-25,199537.43,199537.43,2023-11-06
448,29,2023-11-24,199537.43,199537.43,2023-11-29
449,29,2023-12-24,199537.43,199537.43,2023-12-31
450,29,2024-01-23,199537.43,199537.43,2024-01-25
451,29,2024-02-22,199537.43,199537.43,2024-02-22
452,29,2024-03-23,199537.43,199537.43,2024-03-22
453,29,2024-04-22,199537.43,199537.43,2024-04-24
454,29,2024-05-22,199537.43,199537.43,2024-05-28
455,29,2024-06-21,199537.43,199537.43,2024-06-29
456,29,2024-07-21,199537.43,199537.43,2024-07-22
457,29,2024-08-20,199537.43,0,
458,29,2024-09-19,199537.43,199537.43,2024-09-23
459,30,2025-03-02,134863.86,134863.86,2025-03-12
460,30,2025-04-01,134863.86,134863.86,2025-04-05
461,30,2025-05-01,134863.86,134863.86,2025-05-08
462,30,2025-05-31,134863.86,134863.86,2025-06-06
463,30,2025-06-30,134863.86,134863.86,2025-07-07
464,30,2025-07-30,134863.86,134863.86,2025-08-08
465,30,2025-08-29,134863.86,134863.86,2025-09-07
466,30,2025-09-28,134863.86,134863.86,2025-10-06
467,30,2025-10-28,134863.86,134863.86,2025-10-27
468,30,2025-11-27,134863.86,134863.86,2025-12-03
469,30,2025-12-27,134863.86,134863.86,2026-01-01
470,30,2026-01-26,134863.86,134863.86,2026-02-04
471,30,2026-02-25,134863.86,134863.86,2026-03-04
472,30,2026-03-27,134863.86,0,
473,30,2026-04-26,134863.86,134863.86,2026-04-25
474,31,2023-06-03,99359.03,99359.03,2023-06-04
475,31,2023-07-03,99359.03,99359.03,2023-07-06
476,31,2023-08-02,99359.03,99359.03,2023-08-07
477,31,2023-09-01,99359.03,99359.03,2023-09-09
478,31,2023-10-01,99359.03,99359.03,2023-10-07
479,31,2023-10-31,99359.03,99359.03,2023-11-07
480,31,2023-11-30,99359.03,99359.03,2023-11-27
481,32,2025-05-03,59084.52,59084.52,2025-05-06
482,32,2025-06-02,59084.52,59084.52,2025-05-30
483,32,2025-07-02,59084.52,59084.52,2025-07-03
484,32,2025-08-01,59084.52,59084.52,2025-08-08
485,32,2025-08-31,59084.52,59084.52,2025-09-01
486,32,2025-09-30,59084.52,59084.52,2025-10-01
487,32,2025-10-30,59084.52,59084.52,2025-10-27
488,32,2025-11-29,59084.52,59084.52,2025-12-08
489,32,2025-12-29,59084.52,0,
490,32,2026-01-28,59084.52,59084.52,2026-01-28
491,32,2026-02-27,59084.52,59084.52,2026-02-26
492,32,2026-03-29,59084.52,0,
493,32,2026-04-28,59084.52,59084.52,2026-05-03
494,32,2026-05-28,59084.52,59084.52,2026-05-29
495,32,2026-06-27,59084.52,0,
496,33,2023-05-27,79422.77,79422.77,2023-05-30
497,33,2023-06-26,79422.77,79422.77,2023-06-28
498,33,2023-07-26,79422.77,79422.77,2023-07-27
499,33,2023-08-25,79422.77,79422.77,2023-08-27
500,33,2023-09-24,79422.77,0,
501,33,2023-10-24,79422.77,79422.77,2023-10-22
502,33,2023-11-23,79422.77,79422.77,2023-11-22
503,33,2023-12-23,79422.77,0,
504,33,2024-01-22,79422.77,79422.77,2024-02-02
505,33,2024-02-21,79422.77,79422.77,2024-03-02
506,33,2024-03-22,79422.77,0,
507,34,2024-01-29,2874.63,2874.63,2024-02-05
508,34,2024-02-28,2874.63,2874.63,2024-03-05
509,34,2024-03-29,2874.63,2874.63,2024-04-06
510,34,2024-04-28,2874.63,2874.63,2024-04-30
511,34,2024-05-28,2874.63,2874.63,2024-06-09
512,34,2024-06-27,2874.63,2874.63,2024-06-27
513,34,2024-07-27,2874.63,2874.63,2024-08-04
514,34,2024-08-26,2874.63,2874.63,2024-08-27
515,34,2024-09-25,2874.63,2874.63,2024-10-04
516,34,2024-10-25,2874.63,2874.63,2024-10-23
517,34,2024-11-24,2874.63,2874.63,2024-12-04
518,34,2024-12-24,2874.63,2874.63,2024-12-27
519,34,2025-01-23,2874.63,2874.63,2025-01-20
520,34,2025-02-22,2874.63,2874.63,2025-03-06
