harvest_id,farm_id,product_id,harvest_date,volume_kg,field_agent_employee_id
190,6700,45,2024-01-26,2066.23,1192
191,1477,43,2026-04-06,4693.94,920
192,4757,62,2026-03-05,2252.55,1036
193,5285,94,2025-05-19,7369.28,917
194,5289,96,2025-03-28,6813.95,1197
195,2747,54,2025-03-19,6954.23,1200
196,3407,87,2026-04-10,5330.76,977
197,4970,138,2026-05-20,2231.11,990
198,5022,74,2026-05-17,2987.43,1110
199,5136,86,2026-02-28,6506.53,962
200,6010,137,2026-06-30,5916.97,1184
201,4631,90,2024-07-14,4076.08,1169
202,6354,83,2024-03-09,4395.89,903
203,2277,27,2024-12-01,7825.31,948
204,3307,6,2025-04-14,3481.97,1061
205,6197,61,2025-03-18,5689.43,994
206,5204,68,2026-06-10,3158.27,1110
207,851,4,2024-10-04,3175.6,914
208,802,56,2025-07-24,333.22,1068
209,2025,49,2026-06-11,2332.85,1117
210,2269,79,2026-05-22,5609.66,1080
211,480,122,2026-01-08,5081.49,1194
212,161,73,2026-06-30,3606.23,994
213,2242,48,2025-10-12,7566.81,1116
214,4512,81,2025-03-06,2111.12,968
215,4333,14,2024-05-23,4490.69,1130
216,4935,33,2024-09-06,2723.29,933
217,6875,6,2025-09-06,816.46,994
218,1856,130,2024-06-06,4968.92,959
219,3049,42,2026-06-09,4510.2,912
220,1139,135,2025-10-12,3093.73,1160
221,1121,124,2026-03-05,670.6,966
222,6716,125,2024-06-25,2293.04,905
223,3790,18,2025-10-16,1399.46,1152
224,1191,60,2025-03-08,1068.43,924
225,2602,119,2024-09-10,4338.75,1145
226,1592,26,2026-06-30,2833.46,977
227,6325,134,2026-06-30,2673.21,1180
228,5530,40,2024-02-03,3174.42,1053
229,2149,71,2026-04-01,4018.15,990
230,2453,61,2025-05-20,469.98,1153
231,3928,105,2024-09-16,6836.8,1102
232,2161,4,2025-11-28,4275.35,1079
233,5503,60,2025-03-02,4633.99,958
234,49,7,2026-06-30,3412.74,1183
235,1188,63,2026-05-27,641.61,1088
236,6759,63,2025-02-16,7802.83,1059
237,4488,71,2025-05-16,7973.29,905
238,5885,37,2024-07-01,6558.84,1002
239,3042,88,2026-06-30,4353.23,1155
240,2638,20,2026-01-16,808.34,1135
241,5425,130,2026-05-06,6795.85,1104
242,42,122,2024-06-17,7502.95,1100
243,380,69,2026-06-30,7126.21,1182
244,800,47,2026-06-30,7754.08,1070
245,5456,49,2025-04-18,790.87,1089
246,3103,95,2026-06-30,7521.52,1105
247,894,40,2024-01-22,6783.59,940
248,1132,57,2026-02-12,5958.29,1064
249,2898,9,2026-06-30,3825.87,915
250,1844,26,2026-06-30,2841.73,928
251,340,53,2026-05-12,3614.96,1075
252,4160,53,2025-09-24,1641.66,1089
253,5151,79,2026-05-26,6489.31,1072
254,1470,29,2026-06-30,4770.84,957
255,3237,50,2025-05-01,7441.0,1146
256,5576,81,2024-06-26,1994.72,1133
257,1406,109,2024-10-17,2376.29,1001
258,2439,65,2025-10-18,740.89,1110
259,931,36,2026-06-30,1028.48,1124
260,6687,124,2026-06-30,6015.12,907
261,2841,36,2024-10-05,289.45,978
262,610,111,2025-10-26,412.75,1170
263,6040,11,2025-05-03,1263.04,1165
264,6773,97,2026-06-30,543.58,1020
265,3021,20,2026-06-30,2362.48,999
266,6479,42,2026-06-30,5083.08,943
267,1222,22,2025-08-14,668.68,1136
268,3928,57,2024-11-23,7325.13,1053
269,2803,73,2026-02-15,5906.26,1121
270,5545,52,2025-11-08,3460.77,1081
271,2975,7,2025-07-15,5281.72,1174
272,1678,132,2025-11-14,1527.15,1132
273,4315,6,2026-06-30,2140.09,1074
274,3769,17,2025-05-04,1575.79,1010
275,243,16,2025-02-06,7726.49,949
276,2507,98,2024-09-26,7145.14,907
277,6090,39,2026-05-13,2792.74,970
278,3501,49,2024-03-22,2821.02,1148
279,2447,93,2024-06-03,319.52,981
280,6800,63,2025-11-27,389.28,1003
281,2878,68,2025-10-13,1266.46,1044
282,3310,4,2026-01-11,1976.29,1188
283,1719,68,2026-05-07,1562.3,917
284,6543,135,2026-06-30,3035.44,1036
285,160,5,2025-10-13,4276.67,1086
286,2806,26,2025-06-08,804.34,1167
287,3219,35,2026-06-30,4826.6,985
288,2313,119,2024-02-11,3792.48,1070
289,4936,96,2026-06-30,4500.96,1171
290,5836,69,2025-02-10,3336.76,928
291,6106,46,2025-06-14,4308.12,1120
292,1689,20,2024-11-25,6268.0,1178
293,5124,111,2026-06-30,6436.05,917
294,57,62,2026-06-30,6744.02,1094
295,2157,54,2026-06-03,760.13,1096
296,3727,128,2025-09-07,4610.14,1135
297,2768,117,2025-05-22,6385.47,972
298,6576,55,2025-10-03,1942.45,1056
299,6915,8,2025-11-07,6617.59,921
300,6079,60,2025-05-03,7269.33,1135
301,141,44,2025-11-27,7020.33,947
302,837,6,2026-04-18,2338.26,989
303,6862,96,2024-02-14,7157.71,1010
304,5919,73,2025-05-02,4909.04,1034
305,5642,30,2026-05-25,1333.26,953
306,5897,23,2026-04-04,3138.25,1127
307,2099,113,2026-03-02,5104.72,908
308,3960,62,2024-05-28,7654.19,992
309,5859,16,2025-01-07,7912.49,1036
310,2872,42,2024-09-15,3563.49,911
311,5408,66,2025-05-07,4917.66,1001
312,6226,117,2025-12-06,7999.19,1001
313,3418,137,2024-06-19,2064.38,1033
314,956,85,2026-06-20,7002.32,951
315,623,82,2024-11-18,5722.29,1107
316,2013,121,2024-08-04,2226.65,940
317,4574,134,2026-06-30,547.05,1180
318,1396,29,2026-06-30,6552.7,1098
319,3095,105,2024-04-10,222.22,935
320,4596,38,2026-06-30,6955.27,927
321,3365,86,2026-05-18,5487.39,950
322,5440,106,2024-08-18,7516.92,901
323,6494,136,2025-11-21,2750.8,1104
324,6364,89,2025-10-25,2373.37,909
325,3708,59,2025-04-12,1477.31,1113
326,4011,70,2024-06-21,2658.96,1162
327,402,4,2026-04-08,7158.38,1106
328,6250,102,2024-09-25,1567.02,968
329,1015,85,2024-06-24,1702.2,995
330,5203,14,2026-05-19,2777.38,1164
331,5957,54,2025-11-21,1846.16,914
332,6484,74,2025-08-08,4027.59,920
333,4595,99,2024-05-25,7423.1,965
334,5957,118,2024-11-16,7741.99,1143
335,388,7,2025-04-05,4118.22,933
336,2413,113,2024-11-01,1429.41,1099
337,4641,8,2025-09-24,4281.57,1011
338,5336,60,2025-12-07,2655.16,1083
339,589,38,2025-03-26,250.47,1104
340,2073,101,2025-05-11,4583.93,1132
341,3754,118,2025-11-13,7404.05,1120
342,2873,6,2026-03-18,7214.56,1191
343,2909,119,2026-06-30,4379.51,1097
344,905,68,2025-07-19,6841.99,1120
345,1941,22,2025-06-04,2441.36,944
346,5469,80,2024-05-03,3674.28,1193
347,4858,19,2026-03-24,3390.47,949
348,6002,87,2025-07-17,3651.48,955
349,3283,51,2024-08-24,5962.6,1046
350,6153,102,2025-05-02,201.36,1036
351,3079,31,2026-06-30,5244.84,1098
352,3960,102,2026-02-18,7422.26,1161
353,44,94,2025-09-14,5360.49,1179
354,5192,97,2026-06-30,613.45,1111
355,5100,111,2025-11-25,4184.44,1035
356,3272,109,2024-09-14,7098.73,1018
357,4454,114,2025-11-24,6802.81,911
358,535,136,2024-09-09,831.77,911
359,3582,75,2025-01-04,7280.85,976
360,1348,76,2024-10-11,358.73,929
361,1253,113,2026-05-17,2705.94,1012
362,506,25,2026-06-30,3710.49,999
363,2145,67,2025-10-03,6848.65,1123
364,1173,83,2024-06-07,7535.57,1159
365,6470,129,2026-04-19,7342.15,1073
366,3340,134,2025-12-21,6286.43,940
367,6887,124,2025-05-28,3850.41,940
368,4644,34,2026-05-01,245.78,964
369,6726,85,2026-06-30,5650.78,982
370,6787,30,2026-06-30,1042.86,1176
371,3881,42,2026-03-11,2032.29,917
372,3123,108,2025-09-01,6496.02,996
373,2127,132,2025-10-15,4364.56,1116
374,3882,49,2025-11-27,891.9,1157
375,4271,109,2026-06-30,7302.28,1092
376,340,105,2024-09-07,7026.63,1029
377,3366,79,2024-05-12,1312.0,1010
378,2221,44,2024-10-23,2462.2,1060
379,2169,89,2024-10-05,1039.93,1186
380,4646,120,2026-06-30,6901.12,977
381,2250,53,2024-10-05,7528.03,1167
382,3083,107,2026-06-30,403.12,1155
383,1412,42,2025-06-17,203.63,930
384,3111,50,2025-06-15,7792.59,1000
385,2629,97,2025-09-08,7934.55,974
386,3824,131,2024-04-11,2447.42,1030
387,2597,134,2026-06-30,2637.66,1049
388,2772,131,2025-08-13,3545.53,959
389,579,6,2024-11-13,3174.74,962
390,644,69,2025-03-24,4526.69,1198
391,644,120,2026-06-09,432.46,1186
392,3122,69,2025-06-27,1826.29,1010
393,349,1,2025-08-17,4637.66,1071
394,2247,85,2024-02-10,6607.13,1166
395,6559,42,2024-05-23,251.83,1060
396,836,127,2026-06-30,273.68,916
397,1161,127,2026-06-30,5102.95,1152
398,2174,65,2025-12-04,7331.46,1185
399,6529,78,2024-04-17,5812.74,1153
400,2999,27,2026-06-30,3788.66,1091
401,2623,21,2026-04-24,406.08,1156
402,2832,5,2024-05-22,7143.15,1182
403,6,140,2024-04-09,1541.04,1164
404,951,54,2025-04-15,7183.56,1174
405,3225,27,2024-08-01,7175.65,1062
406,4043,64,2024-02-23,6302.44,934
407,3163,18,2025-08-27,4931.47,1040
408,2434,90,2026-06-30,5657.14,955
409,1597,70,2026-03-06,3608.21,1192
410,2864,18,2026-05-14,3398.27,964
411,1660,115,2024-07-24,4358.26,919
412,2549,115,2025-12-01,7158.54,991
413,6682,47,2026-03-14,2293.33,942
414,2067,37,2025-05-01,5294.84,1132
415,3889,130,2025-09-05,2577.73,1042
416,1515,9,2025-01-04,7282.01,944
417,1064,73,2024-10-05,4686.67,911
418,1524,61,2026-06-28,3613.89,993
419,3708,99,2026-06-30,1567.07,940
420,3194,101,2024-04-12,1304.04,1016
421,6727,70,2026-06-30,3422.46,1024
422,402,137,2025-10-06,2672.58,1062
423,148,16,2025-08-09,4630.74,1030
424,2409,48,2024-05-07,303.83,1161
425,3281,84,2025-02-08,1819.08,1014
426,2204,13,2025-09-18,3250.75,1034
427,124,80,2024-08-04,1286.84,1019
428,2249,121,2024-06-11,3465.18,1132
429,68,35,2026-04-07,4447.68,1147
430,21,133,2026-06-28,4222.26,975
431,3160,44,2025-10-16,2190.35,931
432,637,121,2026-06-30,4258.83,1002
433,6442,9,2025-11-08,2730.3,915
434,6132,31,2024-11-24,5922.95,1054
435,6880,112,2026-05-17,3431.31,924
436,217,8,2026-06-30,1985.53,1025
437,6972,100,2025-04-11,7423.56,1058
438,6205,67,2024-06-15,1834.69,934
439,525,101,2025-04-21,1647.59,1000
440,4018,137,2024-02-05,4758.17,1067
441,2276,101,2024-04-13,2000.74,1175
442,2067,137,2026-06-30,2535.23,928
443,688,73,2025-06-04,1477.6,909
444,3909,58,2025-11-26,3018.01,1190
445,1233,58,2025-04-25,3597.4,1180
446,1246,3,2025-06-01,404.5,923
447,3877,10,2024-10-20,670.42,971
448,3181,19,2025-05-04,3958.54,1131
449,955,86,2026-04-17,3809.28,944
450,2488,139,2024-10-22,4732.64,1050
451,847,106,2026-02-10,3670.85,1052
452,5739,91,2025-09-19,7307.21,1032
453,4794,78,2024-08-10,2907.67,1043
454,3883,72,2026-06-30,6481.52,1044
455,5704,20,2024-06-17,4071.27,1051
456,2598,127,2026-04-04,1925.47,910
457,2776,11,2024-05-12,6087.01,1026
458,158,23,2025-08-24,4696.76,919
459,5816,64,2025-01-11,2276.4,1075
460,3529,123,2024-07-13,3048.99,922
461,3455,97,2026-06-03,7264.77,936
462,3168,134,2026-06-30,7356.56,962
463,764,68,2024-08-19,3694.75,1082
464,5208,39,2024-01-22,2065.07,1200
465,1374,91,2026-04-17,2678.07,984
466,83,40,2024-04-01,7043.07,1134
467,967,70,2026-05-26,4083.7,1168
468,549,103,2024-08-11,5964.14,904
469,781,9,2026-06-09,6340.92,1112
470,6367,66,2025-04-06,4545.16,958
471,6607,24,2024-04-28,5672.28,994
472,2453,31,2025-11-16,5722.43,967
473,5036,36,2025-05-08,448.54,1110
474,2370,96,2025-06-26,1059.59,1030
475,6516,81,2025-12-05,6651.05,1032
476,6874,56,2024-11-27,3914.22,1167
477,4045,83,2025-01-07,3841.54,1020
478,884,12,2024-04-24,655.82,1086
479,4756,60,2024-04-16,1204.97,979
480,3905,15,2026-05-05,302.79,1101
481,3725,10,2025-03-26,4182.09,1186
482,1423,18,2025-02-24,6507.49,1196
483,3607,99,2024-05-09,7083.69,1184
484,5600,125,2024-05-13,5695.91,1147
485,2016,139,2026-04-23,4170.28,981
486,5232,18,2025-05-09,544.77,1181
487,344,5,2026-06-30,1255.68,993
488,4935,58,2025-08-13,6013.4,1014
489,1299,106,2025-03-03,2344.9,1197
490,1704,88,2025-12-11,6395.0,1194
491,2305,133,2025-09-25,7038.21,1090
492,1910,122,2026-06-30,5732.75,978
493,2905,74,2025-05-06,3154.02,991
494,4479,17,2025-05-02,2647.78,962
495,4375,67,2025-11-01,5918.23,906
496,5865,73,2026-06-30,4353.75,1138
497,1346,83,2025-10-07,7708.15,971
498,5111,71,2025-10-11,2242.36,1189
499,5684,56,2026-05-14,3796.14,1098
500,1871,31,2026-06-30,6811.64,914
501,1157,134,2026-06-30,1741.8,1084
502,1246,86,2025-01-09,4790.98,1052
503,2958,46,2025-06-23,2847.62,958
504,6779,106,2025-01-23,5106.42,1180
505,3856,109,2024-01-13,5323.63,1043
506,4499,132,2026-06-13,1070.76,1148
507,139,84,2025-06-24,3112.88,1008
508,5343,82,2026-04-07,2460.01,1013
509,2173,4,2026-02-28,1619.1,1085
510,1265,17,2026-06-30,1418.48,1110
511,1311,10,2026-06-30,7568.08,1169
512,2485,12,2024-07-09,3898.38,1163
513,1290,139,2025-07-09,1768.36,1111
514,5677,66,2024-02-21,1595.54,915
515,4592,4,2025-11-08,5979.74,1117
516,6326,115,2026-06-30,3002.63,1056
517,4920,84,2024-01-09,6364.91,1179
518,2650,113,2025-10-25,1306.48,1158
519,6928,9,2025-11-21,3179.58,989
520,5257,74,2025-09-25,4074.48,1016
521,1587,86,2026-04-17,4519.67,1053
522,3249,129,2026-06-22,7353.79,1022
523,2091,7,2026-03-04,5775.75,1089
524,217,33,2026-06-30,4003.68,1053
525,2937,130,2026-06-30,1510.21,1188
526,6840,27,2026-05-21,7247.87,923
527,1747,64,2024-12-08,4758.94,1049
528,2265,28,2025-04-08,5238.66,1043
529,164,89,2025-02-11,6050.05,933
530,6550,24,2025-07-21,2094.43,1170
531,6320,35,2026-06-30,7158.89,1092
532,6348,49,2026-02-24,3964.94,1198
533,2423,88,2025-08-25,4255.14,963
534,131,129,2026-01-25,7439.68,1137
535,1760,72,2025-04-09,6463.67,982
536,4052,112,2024-10-27,2522.3,999
537,3791,105,2025-11-25,3807.84,1163
538,3603,24,2024-07-07,7496.3,1053
539,6674,85,2024-03-17,5461.04,1190
540,4018,135,2024-06-12,257.88,963
541,4719,130,2025-05-18,7900.96,955
542,963,45,2026-06-30,1203.94,919
543,4393,12,2024-04-23,1062.57,955
544,2681,132,2026-04-28,1801.34,1148
545,1205,119,2024-05-03,6975.36,947
546,3072,16,2026-04-07,1401.6,1153
547,5325,71,2025-01-15,5685.78,907
548,2619,104,2024-05-18,1668.64,1010
549,5037,60,2025-10-20,1475.02,968
550,1259,104,2026-06-30,7590.75,1063
551,3551,3,2025-01-25,4202.99,980
552,5857,63,2026-06-04,5967.86,1057
553,318,74,2024-10-09,7034.63,911
554,4509,73,2026-01-11,5472.85,1104
555,3491,92,2026-06-30,1640.44,1084
556,295,64,2026-02-03,7028.53,921
557,1486,63,2025-02-22,3375.57,1138
558,2581,62,2025-10-13,3304.51,1171
559,6726,15,2024-01-09,2724.99,1168
560,1968,54,2025-02-19,1520.26,1185
561,925,67,2024-06-22,4913.41,1070
562,6781,105,2024-11-06,5240.56,1049
563,6979,21,2025-01-01,4640.0,1200
564,1481,56,2024-05-19,5855.81,1017
565,872,20,2026-04-08,7363.28,958
566,1140,76,2026-05-06,3356.81,957
567,2859,125,2025-10-24,6157.78,1146
568,4924,137,2024-04-26,3920.26,976
569,1919,132,2024-11-08,7236.15,992
570,4541,91,2025-01-27,3904.32,968
571,871,80,2024-08-03,4158.16,1118
572,3748,80,2025-05-20,7851.9,968
573,4552,112,2025-02-22,5885.56,1068
574,1289,118,2024-10-12,5555.79,1196
575,3174,136,2026-06-30,2797.48,1168
576,3187,83,2024-04-20,1605.28,935
577,2799,13,2024-03-09,2778.67,1149
578,4070,53,2024-03-08,7240.63,1116
579,4574,91,2026-06-30,6612.35,1004
580,6047,49,2026-06-30,353.55,1053
581,1745,58,2024-11-06,6512.92,1077
582,295,88,2026-04-02,7635.63,1157
583,3283,102,2025-06-05,2970.46,1115
584,5104,35,2026-05-28,590.87,1045
585,2054,121,2025-11-22,2463.67,1138
586,3217,126,2024-06-05,7851.66,1037
587,343,18,2025-03-01,290.58,1037
588,2208,54,2026-02-11,6529.18,910
589,2214,80,2026-01-12,1864.76,1191
590,5276,6,2025-03-25,6278.57,1187
591,6926,28,2025-10-19,366.91,1161
592,3547,123,2024-08-06,2985.29,921
593,1866,75,2024-04-07,6184.66,1165
594,3599,123,2025-03-05,6789.6,911
595,2374,114,2026-04-24,5879.1,1157
596,2334,48,2024-10-06,2876.87,999
597,1629,137,2024-11-01,3328.06,976
598,6401,75,2025-04-02,6763.51,980
599,6293,12,2024-05-10,1615.46,904
600,5642,38,2025-06-22,4702.44,996
601,6566,99,2024-11-26,7591.92,925
602,937,11,2026-06-17,3419.37,1114
603,671,57,2024-11-12,6214.6,1157
604,6869,67,2025-10-03,7425.03,1195
605,4698,9,2025-05-28,806.45,990
606,2351,88,2024-04-18,3980.36,1179
607,83,29,2026-06-30,1458.13,1118
608,5560,51,2024-01-02,1468.66,984
609,6953,106,2026-04-09,2307.96,980
610,5524,80,2024-12-24,769.57,912
611,3911,4,2026-04-14,2800.61,1154
612,2970,38,2026-06-30,3016.48,1172
613,1400,115,2024-11-19,2561.59,1001
614,3754,79,2026-05-18,7077.75,1189
615,1596,47,2026-06-30,7959.74,983
616,2731,70,2024-10-01,7410.78,1061
617,5423,33,2024-01-20,412.3,1000
618,6429,82,2026-06-30,3777.44,1049
619,1804,50,2024-04-07,4811.64,1030
620,3347,31,2026-06-30,7846.48,993
621,373,138,2025-09-01,963.2,942
622,3111,19,2025-04-06,3220.03,1001
623,6548,41,2026-05-27,7327.82,1131
624,156,63,2024-06-02,6497.46,950
625,349,140,2025-09-04,3158.17,1090
626,2820,5,2026-06-30,709.31,908
627,772,110,2024-06-22,6599.86,1130
628,637,7,2024-12-07,5949.5,1096
629,45,131,2024-06-15,2391.44,1178
630,35,91,2024-06-13,739.33,1179
631,5160,53,2025-12-27,7836.78,977
632,6654,57,2026-05-18,3473.88,1027
633,2924,36,2024-02-20,3461.95,1054
634,3450,75,2024-06-18,7882.74,986
635,2197,124,2025-07-05,573.01,1098
636,2877,68,2026-06-30,3099.92,1120
637,6643,104,2025-03-13,4771.99,1122
638,1288,138,2024-03-18,1888.92,999
639,2530,28,2026-06-30,649.08,992
640,5806,106,2025-08-09,6803.57,1103
641,214,42,2026-03-22,4722.99,1154
642,6951,80,2025-11-28,703.96,1099
643,4957,133,2024-03-23,2225.03,1010
644,741,10,2026-05-22,1989.36,994
645,6479,44,2024-06-13,2647.46,913
646,897,17,2025-02-07,2122.46,1082
647,4702,121,2026-01-16,3532.69,1011
648,473,138,2024-09-10,5429.62,944
649,3299,127,2024-04-12,3123.82,940
650,579,139,2026-06-21,6602.31,1043
651,2116,66,2026-06-02,6786.98,1188
