farmer_id,supplier_id,registration_date,cooperative_name
156,156,2025-07-31,Nakuru Farmers Cooperative
157,157,2019-10-19,Kumasi Farmers Cooperative
158,158,2020-01-05,
159,159,2024-05-23,Ibadan Farmers Cooperative
160,160,2016-07-10,
161,161,2019-11-02,Benue Farmers Cooperative
162,162,2017-03-20,
163,163,2015-12-07,Uyo Farmers Cooperative
164,164,2021-09-19,
165,165,2016-11-12,
166,166,2023-12-30,
167,167,2018-02-23,
168,168,2018-10-03,
169,169,2024-07-24,Benue Farmers Cooperative
170,170,2021-06-06,Enugu Farmers Cooperative
171,171,2021-02-02,
172,172,2025-05-11,Enugu Farmers Cooperative
173,173,2023-10-22,
174,174,2021-07-03,Benue Farmers Cooperative
175,175,2015-01-26,Enugu Farmers Cooperative
176,176,2016-10-01,Benue Farmers Cooperative
177,177,2025-06-02,
178,178,2023-10-02,Nakuru Farmers Cooperative
179,179,2020-08-07,Ibadan Farmers Cooperative
180,180,2022-09-17,
181,181,2019-01-25,
182,182,2018-12-09,Benue Farmers Cooperative
183,183,2016-11-27,
184,184,2015-04-24,
185,185,2025-03-11,
186,186,2022-08-21,
187,187,2019-12-28,Ibadan Farmers Cooperative
188,188,2016-02-12,
189,189,2026-05-04,Kaduna Farmers Cooperative
190,190,2023-04-22,Kaduna Farmers Cooperative
191,191,2020-09-05,Kumasi Farmers Cooperative
192,192,2025-10-09,
193,193,2025-02-06,Uyo Farmers Cooperative
194,194,2020-10-02,Kaduna Farmers Cooperative
195,195,2019-01-31,
196,196,2024-05-30,
197,197,2025-10-22,Nakuru Farmers Cooperative
198,198,2018-09-23,
199,199,2026-03-21,Ibadan Farmers Cooperative
200,200,2020-02-06,
201,201,2018-04-01,Nakuru Farmers Cooperative
202,202,2025-08-11,Ibadan Farmers Cooperative
203,203,2020-10-16,Kaduna Farmers Cooperative
204,204,2024-06-29,Enugu Farmers Cooperative
205,205,2017-07-06,
206,206,2020-12-18,Nakuru Farmers Cooperative
207,207,2015-12-16,Ibadan Farmers Cooperative
208,208,2026-04-21,
209,209,2025-11-24,
210,210,2015-08-17,
211,211,2023-03-16,Uyo Farmers Cooperative
212,212,2022-11-05,
213,213,2015-01-01,Kumasi Farmers Cooperative
214,214,2015-06-10,Nakuru Farmers Cooperative
215,215,2019-03-05,
216,216,2024-06-15,
217,217,2016-03-08,Uyo Farmers Cooperative
218,218,2015-09-28,
219,219,2020-01-02,
220,220,2019-02-06,
221,221,2021-02-27,Ibadan Farmers Cooperative
222,222,2024-07-04,Ibadan Farmers Cooperative
223,223,2015-10-29,Enugu Farmers Cooperative
224,224,2022-01-18,
225,225,2025-12-12,Ibadan Farmers Cooperative
226,226,2019-09-22,Ibadan Farmers Cooperative
227,227,2017-06-11,Kumasi Farmers Cooperative
228,228,2015-08-14,
229,229,2020-06-18,
230,230,2019-10-25,Kaduna Farmers Cooperative
231,231,2015-04-15,Benue Farmers Cooperative
232,232,2018-09-02,
233,233,2017-02-02,
234,234,2026-04-22,Kumasi Farmers Cooperative
235,235,2020-03-28,Nakuru Farmers Cooperative
236,236,2015-01-23,Kaduna Farmers Cooperative
237,237,2019-11-23,Uyo Farmers Cooperative
238,238,2023-02-22,Ibadan Farmers Cooperative
239,239,2016-12-02,Kaduna Farmers Cooperative
240,240,2021-04-30,Benue Farmers Cooperative
241,241,2024-08-16,
242,242,2025-06-09,Benue Farmers Cooperative
243,243,2015-05-07,Uyo Farmers Cooperative
244,244,2017-06-10,
245,245,2021-08-05,
246,246,2021-02-11,
247,247,2026-01-14,Ibadan Farmers Cooperative
248,248,2017-02-16,
249,249,2021-01-31,Kaduna Farmers Cooperative
250,250,2018-01-24,
251,251,2015-07-29,Kaduna Farmers Cooperative
252,252,2015-08-09,
253,253,2016-12-27,Kaduna Farmers Cooperative
254,254,2017-12-16,Nakuru Farmers Cooperative
255,255,2023-08-15,Ibadan Farmers Cooperative
256,256,2025-04-17,
257,257,2015-08-31,
258,258,2026-06-14,Enugu Farmers Cooperative
259,259,2018-01-08,
260,260,2015-02-04,Ibadan Farmers Cooperative
261,261,2016-10-27,Nakuru Farmers Cooperative
262,262,2022-12-07,
263,263,2024-10-19,Enugu Farmers Cooperative
264,264,2023-12-19,
265,265,2023-04-19,Kumasi Farmers Cooperative
266,266,2021-02-28,Ibadan Farmers Cooperative
267,267,2016-02-18,Kumasi Farmers Cooperative
268,268,2020-11-28,
269,269,2019-12-31,Kaduna Farmers Cooperative
270,270,2017-12-02,
271,271,2025-12-22,Enugu Farmers Cooperative
272,272,2018-03-09,Enugu Farmers Cooperative
273,273,2023-11-28,Kaduna Farmers Cooperative
274,274,2018-05-20,
275,275,2023-07-14,
276,276,2021-06-28,Enugu Farmers Cooperative
277,277,2015-07-06,Nakuru Farmers Cooperative
278,278,2020-08-06,
279,279,2016-11-06,Benue Farmers Cooperative
280,280,2022-02-05,Uyo Farmers Cooperative
281,281,2023-12-17,Ibadan Farmers Cooperative
282,282,2022-04-12,
283,283,2024-07-07,Uyo Farmers Cooperative
284,284,2023-05-25,
285,285,2017-05-08,
286,286,2018-03-30,Uyo Farmers Cooperative
287,287,2018-11-05,
288,288,2016-09-29,Kumasi Farmers Cooperative
289,289,2025-05-17,
290,290,2021-12-18,Benue Farmers Cooperative
291,291,2021-12-04,Uyo Farmers Cooperative
292,292,2026-05-16,
293,293,2025-06-18,Kaduna Farmers Cooperative
294,294,2019-12-12,Uyo Farmers Cooperative
295,295,2024-08-18,Benue Farmers Cooperative
296,296,2020-01-20,Ibadan Farmers Cooperative
297,297,2018-10-15,
298,298,2019-02-06,Ibadan Farmers Cooperative
299,299,2018-09-25,Kaduna Farmers Cooperative
300,300,2016-06-27,Kumasi Farmers Cooperative
301,301,2017-07-25,Benue Farmers Cooperative
302,302,2016-01-28,
303,303,2021-01-21,Enugu Farmers Cooperative
304,304,2020-09-11,Enugu Farmers Cooperative
305,305,2021-02-13,Enugu Farmers Cooperative
306,306,2015-04-27,
307,307,2020-09-24,Enugu Farmers Cooperative
308,308,2024-09-13,
309,309,2017-08-05,
310,310,2017-02-01,Kaduna Farmers Cooperative
311,311,2020-03-16,
312,312,2019-07-03,
313,313,2024-03-10,
314,314,2025-08-27,Enugu Farmers Cooperative
315,315,2018-11-21,
316,316,2023-08-15,
317,317,2022-11-09,Kumasi Farmers Cooperative
318,318,2020-07-29,
319,319,2024-01-19,
320,320,2018-01-13,Uyo Farmers Cooperative
321,321,2024-06-13,Benue Farmers Cooperative
322,322,2021-09-13,Nakuru Farmers Cooperative
323,323,2026-06-27,Kaduna Farmers Cooperative
324,324,2022-03-04,Nakuru Farmers Cooperative
325,325,2021-11-24,
326,326,2020-09-14,
327,327,2022-03-16,Kumasi Farmers Cooperative
328,328,2026-03-06,Enugu Farmers Cooperative
329,329,2018-03-12,Uyo Farmers Cooperative
330,330,2019-05-20,
331,331,2022-07-06,Ibadan Farmers Cooperative
332,332,2015-03-06,
333,333,2025-02-04,Benue Farmers Cooperative
334,334,2024-10-14,
335,335,2018-02-11,Uyo Farmers Cooperative
336,336,2021-06-04,Kumasi Farmers Cooperative
337,337,2020-01-09,Enugu Farmers Cooperative
338,338,2015-09-12,
339,339,2018-01-02,Uyo Farmers Cooperative
340,340,2016-02-22,
341,341,2015-01-26,
342,342,2017-02-04,Kumasi Farmers Cooperative
343,343,2020-02-29,Uyo Farmers Cooperative
344,344,2017-01-25,
345,345,2016-05-18,
346,346,2025-08-30,Benue Farmers Cooperative
347,347,2016-06-02,Uyo Farmers Cooperative
348,348,2025-12-26,Ibadan Farmers Cooperative
349,349,2023-06-04,
350,350,2025-12-04,
351,351,2024-10-24,
352,352,2015-06-24,Nakuru Farmers Cooperative
353,353,2020-03-18,
354,354,2015-04-12,
355,355,2024-04-07,
356,356,2024-06-30,Uyo Farmers Cooperative
357,357,2025-08-06,Ibadan Farmers Cooperative
358,358,2025-01-04,Nakuru Farmers Cooperative
359,359,2015-11-23,
360,360,2019-05-31,
361,361,2017-08-26,Enugu Farmers Cooperative
362,362,2026-05-19,Kumasi Farmers Cooperative
363,363,2016-12-12,Benue Farmers Cooperative
364,364,2026-03-21,Kumasi Farmers Cooperative
365,365,2019-11-28,Kumasi Farmers Cooperative
366,366,2023-10-27,
367,367,2026-01-01,
368,368,2020-12-02,
369,369,2021-05-28,
370,370,2023-04-24,Kaduna Farmers Cooperative
371,371,2026-03-17,Ibadan Farmers Cooperative
372,372,2019-12-09,Kaduna Farmers Cooperative
373,373,2020-07-22,Enugu Farmers Cooperative
374,374,2022-02-23,Nakuru Farmers Cooperative
375,375,2024-03-02,Nakuru Farmers Cooperative
376,376,2023-01-23,Enugu Farmers Cooperative
377,377,2025-03-04,Benue Farmers Cooperative
378,378,2015-01-03,Enugu Farmers Cooperative
379,379,2016-06-02,
380,380,2024-04-16,Nakuru Farmers Cooperative
381,381,2019-05-28,Benue Farmers Cooperative
382,382,2020-04-05,
383,383,2017-11-17,
384,384,2018-06-20,Nakuru Farmers Cooperative
385,385,2022-05-26,
386,386,2018-09-26,Enugu Farmers Cooperative
387,387,2021-05-31,
388,388,2024-05-25,Nakuru Farmers Cooperative
389,389,2018-08-13,
390,390,2022-08-09,Ibadan Farmers Cooperative
391,391,2016-11-03,
392,392,2019-11-16,
393,393,2023-07-03,
394,394,2018-05-19,Kumasi Farmers Cooperative
395,395,2025-05-11,Kaduna Farmers Cooperative
396,396,2015-07-19,
397,397,2022-08-21,
398,398,2016-01-27,Ibadan Farmers Cooperative
399,399,2016-11-23,
400,400,2023-07-29,Ibadan Farmers Cooperative
401,401,2017-09-03,Kumasi Farmers Cooperative
402,402,2019-06-07,
403,403,2015-06-13,Nakuru Farmers Cooperative
404,404,2020-07-25,
405,405,2026-06-20,Ibadan Farmers Cooperative
406,406,2016-10-14,
407,407,2017-01-20,Enugu Farmers Cooperative
408,408,2022-09-08,Enugu Farmers Cooperative
409,409,2022-05-02,
410,410,2020-12-29,Benue Farmers Cooperative
411,411,2018-05-22,Kumasi Farmers Cooperative
412,412,2016-09-26,
413,413,2017-11-18,
414,414,2017-11-17,Ibadan Farmers Cooperative
415,415,2026-04-24,Uyo Farmers Cooperative
416,416,2018-02-19,
417,417,2025-07-26,Uyo Farmers Cooperative
418,418,2017-05-18,
419,419,2019-05-04,
420,420,2025-02-11,Nakuru Farmers Cooperative
421,421,2015-06-06,Nakuru Farmers Cooperative
422,422,2023-04-22,Kaduna Farmers Cooperative
423,423,2016-02-20,Kumasi Farmers Cooperative
424,424,2019-08-18,Uyo Farmers Cooperative
425,425,2024-02-24,
426,426,2023-06-19,Ibadan Farmers Cooperative
427,427,2018-06-25,Ibadan Farmers Cooperative
428,428,2016-08-25,
429,429,2015-07-13,Nakuru Farmers Cooperative
430,430,2021-12-04,
431,431,2026-01-26,Benue Farmers Cooperative
432,432,2026-05-05,Kumasi Farmers Cooperative
433,433,2020-03-09,Benue Farmers Cooperative
434,434,2022-07-20,Ibadan Farmers Cooperative
435,435,2026-06-16,
436,436,2018-03-23,Nakuru Farmers Cooperative
437,437,2024-10-22,Benue Farmers Cooperative
438,438,2019-06-13,
439,439,2022-12-07,
440,440,2021-02-17,
441,441,2017-12-29,
442,442,2019-08-23,Nakuru Farmers Cooperative
443,443,2024-03-13,Uyo Farmers Cooperative
444,444,2016-11-03,
445,445,2022-12-14,
446,446,2018-03-17,Benue Farmers Cooperative
447,447,2025-07-20,Uyo Farmers Cooperative
448,448,2024-05-17,Kumasi Farmers Cooperative
449,449,2022-02-26,Kumasi Farmers Cooperative
450,450,2018-09-11,Kumasi Farmers Cooperative
451,451,2020-07-26,Nakuru Farmers Cooperative
452,452,2023-04-17,Uyo Farmers Cooperative
453,453,2017-07-14,
454,454,2024-12-01,
455,455,2022-09-02,Kaduna Farmers Cooperative
456,456,2021-04-24,Nakuru Farmers Cooperative
457,457,2018-12-25,
458,458,2020-03-02,
459,459,2016-07-28,Nakuru Farmers Cooperative
460,460,2016-12-05,Benue Farmers Cooperative
461,461,2023-09-27,
462,462,2015-09-16,
463,463,2018-03-22,
464,464,2022-01-29,Nakuru Farmers Cooperative
465,465,2025-12-20,Kaduna Farmers Cooperative
466,466,2015-08-08,Ibadan Farmers Cooperative
467,467,2026-05-10,Kumasi Farmers Cooperative
468,468,2017-11-15,Enugu Farmers Cooperative
469,469,2021-04-30,Uyo Farmers Cooperative
470,470,2022-01-14,Kumasi Farmers Cooperative
471,471,2023-04-06,Nakuru Farmers Cooperative
472,472,2021-10-25,
473,473,2023-03-24,Kumasi Farmers Cooperative
474,474,2018-09-10,
475,475,2023-08-08,Kaduna Farmers Cooperative
476,476,2022-07-10,Ibadan Farmers Cooperative
477,477,2023-07-07,
478,478,2018-08-08,Kaduna Farmers Cooperative
479,479,2016-05-23,
480,480,2016-09-03,
481,481,2023-02-05,
482,482,2020-02-13,Nakuru Farmers Cooperative
483,483,2015-05-20,Enugu Farmers Cooperative
484,484,2022-08-26,Nakuru Farmers Cooperative
485,485,2016-07-17,
486,486,2019-01-14,Kumasi Farmers Cooperative
487,487,2016-04-03,Benue Farmers Cooperative
488,488,2024-01-14,Kaduna Farmers Cooperative
489,489,2022-10-05,
490,490,2015-04-12,
491,491,2021-07-04,
492,492,2022-09-27,Kaduna Farmers Cooperative
493,493,2018-08-14,Kumasi Farmers Cooperative
494,494,2018-12-01,
495,495,2020-02-25,Nakuru Farmers Cooperative
496,496,2024-10-16,Uyo Farmers Cooperative
497,497,2016-04-11,
498,498,2018-02-27,Uyo Farmers Cooperative
499,499,2020-07-26,Ibadan Farmers Cooperative
500,500,2018-09-26,Enugu Farmers Cooperative
501,501,2018-06-26,
502,502,2026-04-05,Nakuru Farmers Cooperative
503,503,2022-07-23,
504,504,2026-01-10,Kaduna Farmers Cooperative
505,505,2023-02-16,
506,506,2018-08-18,Nakuru Farmers Cooperative
507,507,2020-11-28,Uyo Farmers Cooperative
508,508,2022-06-03,
509,509,2019-12-14,Uyo Farmers Cooperative
510,510,2017-05-29,Kumasi Farmers Cooperative
511,511,2022-10-17,Kumasi Farmers Cooperative
512,512,2015-02-17,Nakuru Farmers Cooperative
513,513,2017-03-03,Enugu Farmers Cooperative
514,514,2015-02-22,Benue Farmers Cooperative
515,515,2023-11-07,Nakuru Farmers Cooperative
516,516,2025-07-22,Enugu Farmers Cooperative
517,517,2021-07-21,Kaduna Farmers Cooperative
518,518,2015-09-25,Benue Farmers Cooperative
519,519,2025-01-25,Benue Farmers Cooperative
520,520,2017-12-09,
521,521,2018-12-04,Benue Farmers Cooperative
522,522,2019-10-31,
523,523,2016-04-06,Uyo Farmers Cooperative
524,524,2021-07-05,Kaduna Farmers Cooperative
525,525,2023-10-24,
526,526,2024-02-03,Kumasi Farmers Cooperative
527,527,2016-10-20,Enugu Farmers Cooperative
528,528,2019-09-23,
529,529,2023-11-27,Ibadan Farmers Cooperative
530,530,2017-06-01,Nakuru Farmers Cooperative
531,531,2017-03-13,Enugu Farmers Cooperative
532,532,2018-10-01,Benue Farmers Cooperative
533,533,2018-03-30,Benue Farmers Cooperative
534,534,2015-09-17,Uyo Farmers Cooperative
535,535,2021-07-21,
536,536,2016-06-04,
537,537,2024-04-25,Nakuru Farmers Cooperative
538,538,2023-03-09,Benue Farmers Cooperative
539,539,2026-03-10,
540,540,2024-07-16,
541,541,2023-09-09,Ibadan Farmers Cooperative
542,542,2016-03-19,Ibadan Farmers Cooperative
543,543,2020-08-12,Nakuru Farmers Cooperative
544,544,2016-11-27,Enugu Farmers Cooperative
545,545,2016-11-14,Enugu Farmers Cooperative
546,546,2016-03-04,
547,547,2026-06-14,
548,548,2015-11-16,Benue Farmers Cooperative
549,549,2017-06-07,
550,550,2020-09-18,Benue Farmers Cooperative
551,551,2015-09-22,
552,552,2015-05-31,Uyo Farmers Cooperative
553,553,2023-10-16,Kaduna Farmers Cooperative
554,554,2017-05-19,Kumasi Farmers Cooperative
555,555,2024-06-25,
556,556,2021-12-10,
557,557,2021-02-06,Nakuru Farmers Cooperative
558,558,2024-04-26,Uyo Farmers Cooperative
559,559,2020-12-12,Enugu Farmers Cooperative
560,560,2021-06-12,Benue Farmers Cooperative
561,561,2022-01-26,
562,562,2021-02-15,Ibadan Farmers Cooperative
563,563,2017-02-17,
564,564,2024-01-20,
565,565,2017-01-30,
566,566,2024-09-22,
567,567,2016-05-29,
568,568,2019-12-06,
569,569,2022-06-03,Nakuru Farmers Cooperative
570,570,2015-10-14,
571,571,2015-10-06,Kumasi Farmers Cooperative
572,572,2026-04-13,Benue Farmers Cooperative
573,573,2016-06-23,Ibadan Farmers Cooperative
574,574,2024-08-10,Uyo Farmers Cooperative
575,575,2022-03-15,Kumasi Farmers Cooperative
576,576,2023-05-04,Enugu Farmers Cooperative
577,577,2015-11-22,Kumasi Farmers Cooperative
578,578,2015-08-02,Benue Farmers Cooperative
579,579,2022-02-09,Uyo Farmers Cooperative
580,580,2022-03-02,Kumasi Farmers Cooperative
581,581,2016-01-01,Benue Farmers Cooperative
582,582,2019-07-12,Kumasi Farmers Cooperative
583,583,2024-06-24,
584,584,2020-04-20,Enugu Farmers Cooperative
585,585,2016-02-19,
586,586,2016-08-31,
587,587,2021-04-18,Enugu Farmers Cooperative
588,588,2024-07-17,Enugu Farmers Cooperative
589,589,2019-03-13,Kaduna Farmers Cooperative
590,590,2017-10-09,Ibadan Farmers Cooperative
591,591,2019-07-17,
592,592,2021-07-11,Uyo Farmers Cooperative
593,593,2019-12-05,Kumasi Farmers Cooperative
594,594,2021-01-14,
595,595,2015-04-30,Nakuru Farmers Cooperative
596,596,2020-10-25,
597,597,2017-06-24,
598,598,2016-12-07,
599,599,2022-07-17,Benue Farmers Cooperative
600,600,2025-07-23,Enugu Farmers Cooperative
601,601,2023-07-17,Kumasi Farmers Cooperative
602,602,2025-11-10,
603,603,2016-11-04,
604,604,2020-10-10,Uyo Farmers Cooperative
605,605,2017-05-06,
606,606,2018-01-14,Kumasi Farmers Cooperative
607,607,2017-01-28,
608,608,2023-08-01,
609,609,2015-07-03,Nakuru Farmers Cooperative
610,610,2022-10-13,Uyo Farmers Cooperative
611,611,2017-09-22,Ibadan Farmers Cooperative
612,612,2021-08-22,
613,613,2017-07-27,
614,614,2015-04-09,Nakuru Farmers Cooperative
615,615,2025-08-18,Ibadan Farmers Cooperative
616,616,2022-02-10,
617,617,2016-04-09,Benue Farmers Cooperative
618,618,2015-01-27,Nakuru Farmers Cooperative
619,619,2020-11-15,
620,620,2022-08-17,
621,621,2022-01-26,
622,622,2021-12-14,Ibadan Farmers Cooperative
623,623,2025-11-17,
624,624,2020-04-16,Kumasi Farmers Cooperative
625,625,2020-12-07,
626,626,2019-12-14,Nakuru Farmers Cooperative
627,627,2022-02-19,Enugu Farmers Cooperative
628,628,2024-09-30,
629,629,2020-01-13,Benue Farmers Cooperative
630,630,2019-02-28,
631,631,2025-03-01,Ibadan Farmers Cooperative
632,632,2017-03-18,
633,633,2020-11-05,Enugu Farmers Cooperative
634,634,2022-09-03,Kaduna Farmers Cooperative
635,635,2022-01-27,
636,636,2019-10-27,Uyo Farmers Cooperative
637,637,2022-03-11,
638,638,2026-03-23,Kaduna Farmers Cooperative
639,639,2022-01-17,Ibadan Farmers Cooperative
640,640,2015-07-15,
641,641,2019-01-04,Nakuru Farmers Cooperative
642,642,2019-05-14,Uyo Farmers Cooperative
643,643,2024-05-26,Enugu Farmers Cooperative
644,644,2023-04-09,Kumasi Farmers Cooperative
645,645,2017-08-03,Ibadan Farmers Cooperative
646,646,2019-10-13,Ibadan Farmers Cooperative
647,647,2024-12-18,Ibadan Farmers Cooperative
648,648,2026-01-26,
649,649,2018-12-18,Uyo Farmers Cooperative
650,650,2024-09-10,Ibadan Farmers Cooperative
651,651,2018-02-05,Nakuru Farmers Cooperative
652,652,2022-02-05,
653,653,2015-02-28,Benue Farmers Cooperative
654,654,2024-09-28,Kumasi Farmers Cooperative
655,655,2017-09-18,Ibadan Farmers Cooperative
656,656,2017-08-29,
657,657,2022-06-30,Kumasi Farmers Cooperative
658,658,2025-09-05,Nakuru Farmers Cooperative
659,659,2019-03-07,Ibadan Farmers Cooperative
660,660,2021-03-23,
661,661,2023-10-15,Kaduna Farmers Cooperative
662,662,2020-06-13,
663,663,2021-10-07,Enugu Farmers Cooperative
664,664,2020-07-19,
665,665,2021-01-18,
666,666,2023-07-03,Benue Farmers Cooperative
667,667,2019-05-04,
668,668,2018-12-02,
669,669,2021-06-30,Ibadan Farmers Cooperative
670,670,2020-06-28,Ibadan Farmers Cooperative
671,671,2019-02-28,
672,672,2023-04-24,Uyo Farmers Cooperative
673,673,2016-02-01,
674,674,2023-08-19,
675,675,2024-05-25,
676,676,2024-10-28,Nakuru Farmers Cooperative
677,677,2017-04-23,Uyo Farmers Cooperative
678,678,2020-08-30,Kumasi Farmers Cooperative
679,679,2019-02-23,Enugu Farmers Cooperative
680,680,2026-04-19,Enugu Farmers Cooperative
681,681,2026-03-01,
682,682,2018-07-14,
683,683,2020-01-01,Nakuru Farmers Cooperative
684,684,2026-02-09,Ibadan Farmers Cooperative
685,685,2020-12-09,Enugu Farmers Cooperative
686,686,2020-09-17,Nakuru Farmers Cooperative
687,687,2020-02-13,Kaduna Farmers Cooperative
688,688,2017-07-10,
689,689,2025-01-12,
690,690,2020-06-20,Kumasi Farmers Cooperative
691,691,2016-10-09,
692,692,2023-12-07,
693,693,2019-03-24,Ibadan Farmers Cooperative
694,694,2020-02-25,Uyo Farmers Cooperative
695,695,2018-10-04,Uyo Farmers Cooperative
696,696,2018-11-15,Kumasi Farmers Cooperative
697,697,2022-05-10,
