settlement_id,division_id,settlement_date,total_amount
95,retail,2025-03-21,43525461.94
96,retail,2025-07-07,41691848.33
97,retail,2025-03-18,10759020.89
98,retail,2026-06-25,35979378.32
99,retail,2025-12-19,39331657.8
100,retail,2025-02-28,35599668.51
101,retail,2026-02-17,16671230.62
102,retail,2025-07-05,48040254.65
103,retail,2025-03-27,28980869.24
104,retail,2025-07-07,13220715.44
105,retail,2025-02-24,31059012.26
106,retail,2026-06-22,9638456.62
107,retail,2025-07-11,21617789.26
108,retail,2025-09-16,20229231.82
109,retail,2025-10-09,13026287.77
110,retail,2026-04-24,41425574.07
111,retail,2025-04-30,48163086.68
112,retail,2025-08-12,22782519.86
113,retail,2025-09-27,45601526.27
114,retail,2025-12-16,30745686.18
115,retail,2026-05-31,11406698.81
116,retail,2025-12-24,16364338.15
117,retail,2026-04-09,37733446.16
118,retail,2025-08-07,11131970.66
119,retail,2025-07-27,40926051.56
120,retail,2026-02-27,40389352.58
121,retail,2025-09-25,22369888.73
122,retail,2025-11-05,12064515.7
123,retail,2025-11-07,35354479.9
124,retail,2025-11-01,20516507.44
125,retail,2025-11-17,22933667.2
126,retail,2025-11-15,7857117.09
127,retail,2026-03-21,4508438.65
128,retail,2026-03-22,40457126.36
129,retail,2025-08-06,44168313.38
130,retail,2026-01-10,15163439.28
131,retail,2026-01-07,32296237.34
132,retail,2025-02-12,41541907.23
133,retail,2025-12-20,22800505.48
134,retail,2026-01-17,30119693.93
135,retail,2025-04-10,33928624.14
136,retail,2025-03-08,514605.65
137,retail,2026-02-10,31196417.83
138,retail,2025-12-02,43994257.03
139,retail,2025-08-23,42720334.29
140,retail,2025-01-20,17514314.82
141,retail,2026-06-09,25750979.72
142,retail,2025-10-16,1870091.62
143,retail,2025-03-09,5082004.6
144,retail,2025-05-14,13619327.24
145,retail,2026-03-13,19693319.4
146,retail,2026-04-09,35864462.18
147,retail,2026-01-24,21915693.94
148,retail,2026-02-16,19442636.83
149,retail,2026-04-22,18780908.37
150,retail,2025-07-26,22470436.5
151,retail,2025-01-21,5250231.74
152,retail,2026-01-19,49638133.68
153,retail,2026-04-15,29777760.15
154,retail,2025-02-02,49373545.78
155,retail,2026-01-20,20621138.78
156,retail,2026-05-22,31437064.08
157,retail,2025-11-24,28866932.61
158,retail,2025-04-27,32577315.35
159,retail,2025-06-19,34873189.7
160,retail,2025-02-04,42477696.98
161,retail,2025-12-26,26495144.29
162,retail,2025-12-16,49384260.57
163,retail,2025-02-13,19683830.63
164,retail,2026-01-27,29713421.56
165,retail,2025-12-14,40470988.19
166,retail,2025-11-05,42293028.78
167,retail,2025-04-03,21857906.52
168,retail,2025-05-09,24778962.3
169,retail,2025-02-19,37967975.69
170,retail,2025-11-30,9491729.75
171,retail,2025-01-25,30722690.57
172,retail,2025-01-28,43680037.43
173,retail,2026-05-29,36505503.96
174,retail,2025-12-31,22078397.54
175,retail,2025-02-18,4878025.11
176,retail,2025-03-26,20902388.91
177,retail,2025-05-25,12046244.66
178,retail,2025-06-25,49068190.37
179,retail,2026-03-19,48232596.62
180,retail,2025-08-16,11870726.42
181,retail,2026-01-03,39298208.5
182,retail,2026-04-15,6787463.17
183,retail,2026-04-23,47393787.04
184,retail,2025-05-07,46699902.09
185,retail,2025-08-15,44827731.02
186,retail,2025-05-01,34242919.36
187,retail,2025-01-01,46552010.72
188,retail,2026-01-31,28354111.46
189,retail,2026-05-21,20549502.52
190,retail,2025-03-01,19970794.28
191,retail,2025-05-29,18906672.55
192,retail,2025-06-06,4919277.43
193,retail,2026-03-03,10748664.1
194,retail,2026-01-03,35517080.34
195,retail,2025-06-05,36368725.25
196,retail,2026-01-27,45497424.91
197,retail,2025-09-28,5194449.14
198,retail,2025-02-02,10723044.39
199,retail,2026-05-08,34679089.26
200,retail,2025-12-18,9637638.67
201,logistics,2026-03-10,16178715.89
202,logistics,2026-05-20,28818728.24
203,logistics,2026-02-14,20044506.75
204,logistics,2025-01-14,23765399.21
205,logistics,2025-08-13,5220334.03
206,logistics,2025-12-26,4971876.71
207,logistics,2025-11-20,24434562.97
208,logistics,2026-02-07,33295639.88
209,logistics,2026-01-15,25924557.34
210,logistics,2026-04-30,40543681.99
211,logistics,2025-12-23,2435872.95
212,logistics,2026-06-12,20680484.89
213,logistics,2026-06-20,38942567.15
214,logistics,2025-05-19,16478152.28
215,logistics,2025-06-20,19953558.91
216,logistics,2025-06-21,12959624.46
217,logistics,2026-03-10,49272092.57
218,logistics,2025-10-20,25007782.11
219,logistics,2026-01-04,27984074.22
220,logistics,2025-06-09,33008117.69
221,logistics,2025-02-25,8991056.64
222,logistics,2025-11-27,28072378.37
223,logistics,2025-11-10,28834831.37
224,logistics,2025-03-11,41780989.53
225,logistics,2025-10-21,45375069.34
226,logistics,2026-05-23,6686562.47
227,logistics,2026-03-25,40474347.56
228,logistics,2026-04-20,10082924.51
229,logistics,2025-09-28,48097490.94
230,logistics,2025-05-22,10757203.81
231,logistics,2026-03-19,42227608.01
232,logistics,2025-06-20,46678772.93
233,logistics,2025-01-02,42153716.71
234,logistics,2026-05-28,35868014.84
235,logistics,2025-02-20,16486034.49
236,logistics,2025-01-12,8467922.31
237,logistics,2025-06-15,14257831.67
238,logistics,2026-02-08,19479451.26
239,logistics,2025-04-25,39734895.58
240,logistics,2026-02-20,30152948.73
241,logistics,2026-05-26,269966.03
242,logistics,2026-05-10,16103113.48
243,logistics,2026-05-08,3166283.07
244,logistics,2025-11-01,2125257.68
245,logistics,2026-02-20,49382959.52
246,logistics,2026-03-02,34995716.93
247,logistics,2026-03-07,14812693.83
248,logistics,2025-12-04,5011009.23
249,logistics,2025-09-30,41181030.5
250,logistics,2026-05-03,41105085.59
251,logistics,2025-01-02,6562738.05
252,logistics,2025-05-24,14052334.31
253,logistics,2026-05-09,15438958.36
254,logistics,2025-11-28,38090952.58
255,logistics,2025-07-13,11011021.23
256,logistics,2026-01-18,20405343.48
257,logistics,2025-03-02,28421293.5
258,logistics,2026-03-26,36662686.8
259,logistics,2025-02-05,45803462.22
260,logistics,2025-10-31,27094920.64
261,logistics,2025-01-04,21343033.57
262,logistics,2025-01-09,27665146.57
263,logistics,2025-07-22,9482181.74
264,logistics,2026-02-19,42286485.52
265,logistics,2026-02-17,36874239.74
266,logistics,2025-04-10,43007308.44
267,logistics,2026-01-11,14022590.22
268,logistics,2025-08-29,27372879.34
269,logistics,2026-06-11,17547815.9
270,logistics,2025-09-18,42240529.55
271,logistics,2026-03-31,16067418.88
272,logistics,2025-10-05,14057476.22
273,logistics,2025-09-07,46675698.57
274,logistics,2026-04-24,17478823.43
275,logistics,2025-12-08,43151191.53
276,logistics,2025-05-29,23247949.11
277,logistics,2025-01-05,16412335.7
278,logistics,2025-02-07,14216592.92
279,logistics,2026-05-28,13150273.72
280,logistics,2026-06-20,36598558.2
281,logistics,2025-03-17,23421201.61
282,logistics,2025-02-22,11842839.17
283,logistics,2025-11-20,28714484.35
284,logistics,2025-02-14,44954140.97
285,logistics,2026-01-06,11364316.31
286,logistics,2025-11-14,8856111.34
287,logistics,2025-08-08,41640052.06
288,logistics,2025-10-01,46420498.41
289,logistics,2025-09-14,45057036.37
290,logistics,2025-03-13,27818881.08
291,logistics,2025-09-18,47770140.31
292,logistics,2025-11-11,2844765.16
293,logistics,2025-01-03,21949237.07
294,logistics,2025-06-11,48888091.59
295,logistics,2026-05-06,37310808.93
296,logistics,2025-12-09,39985439.84
297,logistics,2025-11-10,45628218.34
298,logistics,2025-08-12,21780167.53
299,logistics,2025-06-09,16062578.94
300,logistics,2025-09-17,26363296.91
301,logistics,2025-01-24,27457551.12
302,logistics,2026-06-14,24198821.59
303,logistics,2025-06-10,26921509.52
304,logistics,2026-01-17,20389136.46
305,logistics,2026-02-19,26437115.25
306,logistics,2025-03-02,13469393.85
307,logistics,2025-02-01,22531007.98
308,logistics,2025-09-07,15315279.12
309,logistics,2025-08-02,49580826.22
310,logistics,2025-09-07,40851592.41
311,logistics,2026-04-05,21533268.75
312,logistics,2026-06-10,49818799.54
313,logistics,2025-08-07,45023858.39
314,logistics,2026-05-21,43699601.56
315,logistics,2025-03-13,41951782.7
316,logistics,2025-08-25,35819285.14
317,logistics,2025-05-11,45239086.4
318,logistics,2026-06-28,21604763.23
319,logistics,2025-02-17,43447252.7
320,logistics,2025-02-13,43564244.54
321,logistics,2025-07-03,30339595.79
322,logistics,2025-08-09,7623314.51
323,logistics,2026-06-09,48684099.61
324,logistics,2025-04-04,35777955.92
325,logistics,2026-01-27,20567183.97
326,logistics,2025-06-24,42145036.57
327,logistics,2025-06-08,25263168.61
328,logistics,2026-02-04,17422411.33
329,logistics,2026-06-30,17158789.38
330,logistics,2026-03-17,48168450.44
331,logistics,2026-02-24,36684382.87
332,logistics,2025-09-03,20927436.65
333,logistics,2025-10-14,17592590.32
334,logistics,2025-06-12,18360238.23
335,logistics,2025-06-13,15140360.08
336,logistics,2025-10-08,39289647.47
337,logistics,2025-12-23,38204624.57
338,logistics,2025-06-19,24773906.12
339,logistics,2025-01-14,39463863.5
340,logistics,2025-04-26,39204738.55
341,logistics,2025-09-14,15806919.72
342,logistics,2025-05-18,38597287.01
343,logistics,2026-03-02,14756626.96
344,logistics,2025-10-07,33989784.58
345,logistics,2026-03-08,46415001.44
346,logistics,2026-02-13,1969254.12
347,logistics,2026-06-02,7223487.46
348,logistics,2026-05-08,13581656.07
349,logistics,2025-12-11,45841092.09
350,logistics,2025-03-29,23840860.73
351,logistics,2026-02-25,39462715.36
352,logistics,2026-01-27,47820366.62
353,logistics,2025-04-05,20125768.04
354,logistics,2025-02-10,44910694.11
355,logistics,2025-09-23,49274082.6
356,logistics,2026-01-23,25227316.48
357,logistics,2025-12-29,32572204.21
358,logistics,2025-09-17,3873077.13
359,logistics,2026-05-05,48996344.69
360,logistics,2025-11-11,47599283.78
361,logistics,2026-02-11,42748413.7
362,logistics,2026-06-07,38423060.19
363,logistics,2026-05-29,49253131.95
364,logistics,2025-10-08,22162893.49
365,logistics,2026-04-25,17300412.93
366,logistics,2025-12-27,38781805.61
367,logistics,2026-03-05,1261087.05
368,logistics,2025-11-29,8427305.99
369,logistics,2026-06-22,41614628.56
370,logistics,2025-04-01,42237549.34
371,logistics,2025-09-24,33008218.62
372,logistics,2025-12-11,4416530.05
373,logistics,2026-01-26,4317307.96
374,logistics,2025-02-07,38209194.88
375,logistics,2025-04-28,15794469.77
376,logistics,2025-04-28,22317275.2
377,logistics,2025-08-26,17862949.06
378,logistics,2025-03-28,37232901.32
379,logistics,2025-12-25,23242813.56
380,logistics,2025-10-18,16797629.73
381,logistics,2025-02-22,4406005.33
382,logistics,2025-11-10,16134494.57
383,logistics,2025-07-12,26401506.64
384,logistics,2025-10-01,26591073.41
385,logistics,2026-03-03,29463827.02
386,logistics,2025-03-21,30900302.02
387,logistics,2026-03-14,20362653.77
388,logistics,2025-07-24,11209492.63
389,logistics,2025-10-01,28439368.54
390,logistics,2025-04-04,34955544.17
391,logistics,2025-04-08,23724435.72
392,logistics,2026-01-09,9879832.45
393,logistics,2025-11-17,10025283.95
394,logistics,2026-06-11,2835957.64
395,logistics,2025-01-16,28061870.89
396,logistics,2025-12-22,6000995.23
397,logistics,2025-03-21,7995023.43
398,logistics,2025-12-01,40245802.53
399,logistics,2026-05-05,6474154.97
400,logistics,2026-01-08,7241935.0
401,agricore,2025-12-01,8408203.77
402,agricore,2025-11-05,40374980.37
403,agricore,2025-05-11,7173294.5
404,agricore,2026-03-19,46731428.9
405,agricore,2026-03-12,25981288.04
406,agricore,2026-04-24,25654529.41
407,agricore,2026-01-30,14828704.66
408,agricore,2025-01-08,32397861.63
409,agricore,2026-01-23,5755974.35
410,agricore,2025-07-04,48726806.78
411,agricore,2026-03-19,8895532.29
412,agricore,2026-04-15,11850818.92
413,agricore,2025-12-11,29686751.57
414,agricore,2025-01-22,33878193.09
415,agricore,2025-07-13,44255094.57
416,agricore,2025-03-27,45675144.28
417,agricore,2025-06-06,5273977.46
418,agricore,2025-06-15,2925931.4
419,agricore,2025-01-15,33070407.79
420,agricore,2026-01-03,9884265.94
421,agricore,2026-06-15,11171727.27
422,agricore,2026-01-21,22521322.5
423,agricore,2025-06-11,6978155.87
424,agricore,2025-04-27,13793930.94
425,agricore,2025-03-20,48875238.61
426,agricore,2025-05-16,47204407.9
427,agricore,2025-01-23,22917525.74
428,agricore,2025-04-28,47385025.35
429,agricore,2026-01-08,25161941.43
430,agricore,2025-11-19,5147934.42
431,agricore,2026-02-18,43231977.14
432,agricore,2025-03-19,5407295.51
433,agricore,2026-05-03,42424474.24
434,agricore,2025-10-17,22489339.12
435,agricore,2025-06-06,5834751.54
436,agricore,2026-06-22,32563787.56
437,agricore,2025-09-07,15160155.97
438,agricore,2025-12-30,30775892.93
439,agricore,2025-11-23,34268349.54
440,agricore,2025-04-22,43011491.05
441,agricore,2025-05-22,6503624.3
442,agricore,2025-12-13,22392990.06
443,agricore,2026-03-21,34652653.36
444,agricore,2025-05-10,11402366.2
445,agricore,2025-04-06,44631979.42
446,agricore,2026-06-10,44204057.17
447,agricore,2026-05-19,41346104.32
448,agricore,2026-04-21,5222807.25
449,agricore,2025-06-01,40743553.89
450,agricore,2025-07-19,28041551.43
451,agricore,2026-04-27,49244466.18
452,agricore,2026-02-12,28361136.1
453,agricore,2026-01-15,25352901.28
454,agricore,2025-09-16,36888132.2
455,agricore,2026-04-17,45786654.71
456,agricore,2025-12-31,41716154.67
457,agricore,2025-01-09,37719118.24
458,agricore,2025-11-15,10220598.7
459,agricore,2025-04-08,38584821.93
460,agricore,2025-10-30,42620818.73
461,agricore,2025-01-21,7344435.26
462,agricore,2025-01-26,1624219.59
463,agricore,2025-10-25,38601518.86
464,agricore,2026-05-30,2359286.07
465,agricore,2025-08-03,29040890.89
466,agricore,2026-02-06,26560271.55
467,agricore,2025-10-10,23387668.98
468,agricore,2025-10-14,35960192.44
469,agricore,2025-02-16,19477729.92
470,agricore,2026-06-12,47656677.03
471,agricore,2026-04-08,1122571.53
472,agricore,2025-10-28,43907169.91
473,agricore,2026-02-21,46501533.49
474,agricore,2025-12-24,26333892.02
475,agricore,2025-08-04,22942279.32
476,agricore,2025-04-05,3232417.07
477,agricore,2025-10-15,10226570.46
478,agricore,2025-12-16,48605945.64
479,agricore,2025-07-12,4543382.95
480,agricore,2025-03-25,20605073.03
481,agricore,2025-10-16,41235353.15
482,agricore,2025-10-04,4158062.11
483,agricore,2025-08-07,8165630.83
484,agricore,2025-03-26,7716952.72
485,agricore,2025-08-15,5066922.73
486,agricore,2025-08-23,8161466.09
487,agricore,2026-06-24,33517514.36
488,agricore,2025-11-27,44573628.72
489,agricore,2026-03-15,14659816.86
490,agricore,2026-02-10,4820444.05
491,agricore,2025-06-27,13126451.81
492,agricore,2025-03-17,30961273.54
493,agricore,2025-07-11,41049820.91
494,agricore,2025-08-30,16178565.99
495,agricore,2026-06-18,35362776.94
496,agricore,2025-12-04,19719099.83
497,agricore,2025-07-01,27519972.27
498,agricore,2025-09-29,26501216.33
499,agricore,2025-02-23,14120450.24
500,agricore,2025-04-23,18746929.79
501,agricore,2025-08-04,11106884.74
502,agricore,2025-07-25,27976907.35
503,agricore,2025-05-01,28091374.11
504,agricore,2025-05-11,41856507.33
505,agricore,2025-11-10,44789130.81
506,agricore,2025-12-29,27785429.0
507,agricore,2026-06-06,17515057.16
508,agricore,2025-02-04,23921994.7
509,agricore,2026-04-09,2608247.11
510,agricore,2025-11-29,21796841.29
511,agricore,2025-02-13,1019439.82
512,agricore,2025-10-06,20972518.58
513,agricore,2025-07-13,414000.07
514,agricore,2025-09-29,892594.22
515,agricore,2026-01-30,3401627.1
516,agricore,2025-06-25,31082936.2
517,agricore,2025-10-30,26078364.04
518,agricore,2025-11-11,13889368.41
519,agricore,2026-03-05,17493011.83
520,agricore,2026-04-05,40092521.97
521,agricore,2025-12-16,35857496.36
522,agricore,2026-05-30,35058765.94
523,agricore,2025-05-20,18844001.46
524,agricore,2025-03-29,44622318.09
525,agricore,2025-06-10,18932488.36
526,agricore,2025-02-06,14072891.31
527,agricore,2025-04-18,23128408.34
528,agricore,2026-01-14,30996234.4
529,agricore,2025-09-28,45591353.31
530,agricore,2025-05-18,3957497.87
531,agricore,2025-03-21,14255114.53
532,agricore,2025-03-02,34297799.57
533,agricore,2026-03-03,14369757.93
534,agricore,2025-09-21,9034238.84
535,agricore,2025-01-24,3241068.77
536,agricore,2025-12-29,39793666.03
537,agricore,2025-04-14,30714540.22
538,agricore,2025-04-03,42831974.1
539,agricore,2025-09-08,22522389.11
540,agricore,2025-03-02,26494966.31
541,agricore,2025-01-06,22082004.4
542,agricore,2025-12-22,5538074.7
543,agricore,2025-03-23,4700567.22
544,agricore,2025-06-21,20375186.58
545,agricore,2025-01-15,48379915.35
546,agricore,2026-05-18,350038.5
547,agricore,2025-09-21,19222255.7
548,agricore,2025-05-06,37981202.68
549,agricore,2025-01-13,6051117.45
550,agricore,2025-02-09,30873719.75
551,agricore,2026-04-07,32184617.46
552,agricore,2025-12-15,2080891.68
553,agricore,2026-01-17,12187158.08
554,agricore,2025-04-26,35002674.03
555,agricore,2025-04-17,34494454.14
556,agricore,2025-08-08,46222756.01
557,agricore,2025-12-30,27233531.39
558,agricore,2026-01-14,24425142.29
559,agricore,2025-02-28,5058569.4
560,agricore,2025-10-28,8393909.26
561,agricore,2026-03-31,18435036.05
562,agricore,2025-01-23,36543443.27
563,agricore,2025-08-06,45258781.45
564,agricore,2026-05-22,46195754.48
565,agricore,2026-01-24,35731910.16
566,agricore,2025-01-11,18309569.43
567,agricore,2025-01-31,33536742.14
568,agricore,2025-08-23,48355659.28
569,agricore,2025-02-15,32682392.97
570,agricore,2026-06-11,6569888.14
571,agricore,2026-06-15,33533695.43
572,agricore,2025-07-27,18080223.25
573,agricore,2026-03-25,27745495.21
574,agricore,2026-05-01,43043166.72
575,agricore,2026-01-09,35389564.51
576,agricore,2026-02-04,711701.97
577,agricore,2025-01-30,28244647.98
578,agricore,2025-09-01,31881746.43
579,agricore,2026-04-04,41675914.16
580,agricore,2026-02-21,16965865.62
581,agricore,2025-11-05,18612166.64
582,agricore,2026-06-14,22228893.92
583,agricore,2025-05-10,19647638.26
584,agricore,2026-01-05,29416158.91
585,agricore,2025-04-08,6614969.55
586,agricore,2026-01-13,11741921.62
587,agricore,2025-04-25,29260153.71
588,agricore,2026-04-03,43612617.1
589,agricore,2026-04-23,1658856.12
590,agricore,2025-12-02,6596034.66
591,agricore,2026-03-30,29410578.9
592,agricore,2025-08-14,16000186.77
593,agricore,2025-08-15,39670639.53
594,agricore,2025-12-21,18452090.54
595,agricore,2025-06-19,42144660.49
596,agricore,2026-03-01,9192094.48
597,agricore,2025-04-15,6908124.75
598,agricore,2026-01-01,40133289.17
599,agricore,2026-04-01,30871886.77
600,agricore,2025-01-04,19605837.78
601,properties,2026-02-11,17567160.38
602,properties,2026-03-06,47897614.21
603,properties,2026-02-08,19118053.83
604,properties,2026-04-20,42674291.2
605,properties,2025-02-13,23249760.47
606,properties,2026-05-23,593992.26
607,properties,2025-05-12,3990095.77
608,properties,2025-03-22,22786014.12
609,properties,2026-06-21,40261650.06
610,properties,2026-05-10,8421257.03
611,properties,2025-03-26,22973315.35
612,properties,2025-11-02,37965751.36
613,properties,2026-01-19,35333382.08
614,properties,2026-02-14,32121164.53
615,properties,2026-05-18,45142126.2
616,properties,2025-12-20,23481329.48
617,properties,2025-06-05,14424650.82
618,properties,2025-05-29,12970959.04
619,properties,2025-01-20,19877444.12
620,properties,2026-05-21,45019834.05
621,properties,2026-04-12,45273309.18
622,properties,2026-02-26,34998422.34
623,properties,2025-01-17,46373896.62
624,properties,2025-10-03,33962162.03
625,properties,2025-08-01,13526512.22
626,properties,2025-10-10,45420903.86
627,properties,2025-08-07,19954892.0
628,properties,2025-10-28,41448294.72
629,properties,2026-05-05,12406945.06
630,properties,2025-01-12,47671645.81
631,properties,2025-08-30,23956214.06
632,properties,2025-01-30,11158371.69
633,properties,2025-06-04,49728204.09
634,properties,2026-05-09,21605070.94
635,properties,2025-12-14,25975004.52
636,properties,2025-07-27,22333658.38
637,properties,2025-07-04,5656309.18
638,properties,2026-05-28,7967642.69
639,properties,2025-04-07,36498996.47
640,properties,2025-11-23,32334123.8
641,properties,2025-07-14,4529038.33
642,properties,2025-10-13,20187703.82
643,properties,2025-12-24,4558619.4
644,properties,2026-04-11,9851413.37
645,properties,2025-01-27,12926555.1
646,properties,2025-12-25,11092802.56
647,properties,2026-02-04,20014740.41
648,properties,2026-02-05,22686489.0
649,properties,2025-09-17,4729071.74
650,properties,2026-01-04,38119623.24
651,properties,2025-09-21,20050894.55
652,properties,2025-09-07,11541381.18
653,properties,2026-02-11,27338113.17
654,properties,2025-09-14,30121027.23
655,properties,2025-05-21,4137453.51
656,properties,2025-03-30,37007549.51
657,properties,2025-06-08,36966084.72
658,properties,2026-05-08,46035889.58
659,properties,2025-10-04,27804444.75
660,properties,2025-08-31,40603482.59
661,properties,2025-11-20,33940668.2
662,properties,2025-07-30,38590122.01
663,properties,2025-04-12,17304495.2
664,properties,2025-01-21,12147305.91
665,properties,2026-03-04,36247677.95
666,properties,2026-02-10,30989105.71
667,properties,2026-06-28,41845216.11
668,properties,2026-06-24,2519194.22
669,properties,2025-05-15,6239902.52
670,properties,2025-06-21,6298387.1
671,properties,2026-04-16,3949411.49
672,properties,2025-07-09,41389505.37
673,properties,2026-06-10,15357688.79
674,properties,2026-02-18,21158568.55
675,properties,2025-07-24,45636222.92
676,properties,2026-03-14,14582581.62
677,properties,2026-03-10,42364230.57
678,properties,2025-06-01,26569156.39
679,properties,2025-08-19,20031284.22
680,properties,2026-01-19,35044550.76
681,properties,2025-03-11,23861728.76
682,properties,2025-06-30,11988580.5
683,properties,2025-11-09,12905368.09
684,properties,2026-06-16,29088669.41
685,properties,2025-08-28,12574087.7
686,properties,2025-05-10,47351171.1
687,properties,2026-03-03,14040851.96
688,properties,2025-01-30,36578918.92
689,properties,2025-09-18,38057028.56
690,properties,2025-06-22,41741326.56
691,properties,2025-07-20,49978725.73
692,properties,2025-04-25,45242850.72
693,properties,2026-05-31,37552348.34
694,properties,2026-05-16,18666707.19
695,properties,2025-02-19,5315791.46
696,properties,2025-12-20,28596920.31
697,properties,2026-05-14,25095289.2
698,properties,2026-06-26,45788262.75
699,properties,2025-04-14,1953054.66
700,properties,2026-01-05,29378243.05
701,properties,2025-05-22,12455608.7
702,properties,2026-06-04,13606432.07
703,properties,2025-02-06,20202859.83
704,properties,2025-01-27,7273340.12
705,properties,2026-01-04,29302388.98
706,properties,2025-03-27,5505319.64
707,properties,2026-03-16,32884068.0
708,properties,2025-10-16,32151175.03
709,properties,2026-05-28,31106374.95
710,properties,2025-02-01,15701723.52
711,properties,2026-06-18,828952.23
712,properties,2025-07-27,10598809.14
713,properties,2026-04-10,21492428.13
714,properties,2025-05-02,46614307.02
715,properties,2025-11-12,49292959.8
716,properties,2025-07-06,31996371.17
717,properties,2026-02-03,22282665.59
718,properties,2025-10-27,33168305.99
719,properties,2026-06-26,25434055.61
720,properties,2025-01-15,5666898.14
721,properties,2025-07-17,4807104.86
722,properties,2025-01-04,32474453.49
723,properties,2025-09-18,25811884.92
724,properties,2025-02-01,6071470.23
725,properties,2026-02-05,9066401.71
726,properties,2025-11-30,34747029.36
727,properties,2025-03-05,10189717.64
728,properties,2025-03-11,4995942.49
729,properties,2026-02-17,40214820.11
730,properties,2026-03-04,45543573.21
731,properties,2026-01-10,43182249.37
732,properties,2026-05-30,34831596.1
733,properties,2025-01-03,3031693.05
734,properties,2026-02-04,48260516.06
735,properties,2025-02-14,29628502.7
736,properties,2025-03-07,39953483.98
737,properties,2025-10-11,27201753.54
738,properties,2025-03-24,3764727.47
739,properties,2025-12-11,35375578.57
740,properties,2025-07-10,4781736.85
741,properties,2026-06-28,28059606.95
742,properties,2025-09-05,42309528.27
743,properties,2025-09-30,30958244.02
744,properties,2026-01-05,14118349.45
745,properties,2025-07-18,25020422.15
746,properties,2025-02-20,2133030.35
747,properties,2026-01-13,35260693.28
748,properties,2025-07-11,8342781.59
749,properties,2025-05-18,9172353.23
750,properties,2025-07-30,24040101.72
751,properties,2026-02-25,3129397.74
752,properties,2026-05-15,34556096.39
753,properties,2026-03-05,20545372.75
