loan_id,borrower_customer_id,borrower_supplier_id,principal_amount,status
196,,1335,2655139.45,defaulted
197,,820,1942160.87,repaid
198,,2579,1604843.63,active
199,,1097,1355798.98,active
200,,1517,2587096.13,written_off
201,,4434,2717527.09,active
202,,458,1367115.21,active
203,,2716,2846053.86,active
204,,2623,1671787.47,active
205,,3723,1736913.33,active
206,,3774,1877597.15,active
207,,2450,2766427.33,repaid
208,,3580,593746.05,repaid
209,,4365,1201437.73,active
210,,3625,2916580.0,active
211,,616,1684502.57,repaid
212,,5178,2352112.68,active
213,,2521,1139230.96,active
214,,4758,588888.74,active
215,,639,1969258.9,active
216,,2007,123908.84,written_off
217,,2041,2415259.13,defaulted
218,,3467,2453918.79,active
219,,5336,1121973.09,defaulted
220,,3569,1985506.79,repaid
221,,4688,1448965.43,repaid
222,,1530,2179732.96,active
223,,2200,2065499.35,repaid
224,,795,393637.65,active
225,,3932,533942.86,active
226,,5455,1870260.11,repaid
227,,472,2322187.37,repaid
228,,3870,2931917.76,active
229,,5197,2898327.52,active
230,,3472,1580597.69,active
231,,4801,545423.05,repaid
232,,3511,2517511.05,repaid
233,,4317,289371.3,defaulted
234,,19,514331.24,written_off
235,,652,1925076.79,active
236,,447,2942643.98,repaid
237,,4248,1521626.76,repaid
238,,2150,2675276.45,repaid
239,,5447,2020338.94,defaulted
240,,3324,1531131.5,written_off
241,,4206,2220756.1,defaulted
242,,2325,164123.25,repaid
243,,3760,985539.8,defaulted
244,,2063,1775354.65,repaid
245,,2715,1009551.02,active
246,,5246,1844189.14,active
247,,4674,185520.8,repaid
248,,3573,1036307.6,active
249,,1568,2619986.74,repaid
250,,3589,2880725.72,active
251,,2843,437371.28,repaid
252,,450,2754472.57,active
253,,4892,1101255.03,active
254,,2425,541226.45,active
255,,3841,1281933.24,written_off
256,,2511,553001.69,active
257,,4321,412477.91,active
258,,4359,1700528.8,repaid
259,,151,70845.78,written_off
260,,3744,2170845.74,defaulted
261,,679,1270737.07,active
262,,4378,929183.01,active
263,,1172,1550174.77,active
264,,3491,556603.09,active
265,,2351,1934118.38,repaid
266,,2213,2545494.82,active
267,,4992,1902166.93,repaid
268,,2531,2359136.51,active
269,,4024,846008.78,active
270,,3740,1683634.48,active
271,,4599,238521.8,written_off
272,,902,1844545.3,active
273,,849,930779.2,active
274,,3284,1822849.13,repaid
275,,4750,1473385.31,repaid
276,,2011,2784072.57,active
277,,414,1037442.45,defaulted
278,,3257,704512.93,active
279,,1354,89935.88,repaid
280,,5421,2606863.68,repaid
281,,3588,1687640.74,active
282,,7,96184.89,repaid
283,,2945,2457693.1,defaulted
284,,3768,485280.84,active
285,,177,2488636.1,active
286,,545,2419064.77,active
287,,1759,1277797.2,active
288,,4648,674671.11,active
289,,3311,303237.12,active
290,,2633,2615722.74,active
291,,1810,740883.59,defaulted
292,,1404,2307114.94,active
293,,4404,2851056.01,repaid
294,,4250,1981584.04,defaulted
295,,62,599830.06,repaid
296,,5192,2788242.29,repaid
297,,1209,1639586.57,repaid
298,,3855,1795308.72,active
299,,3976,1331980.84,repaid
300,,1433,2792002.44,active
301,,3680,1934180.53,active
302,,1596,2132259.85,active
303,,1160,1827824.41,active
304,,3114,695678.06,repaid
305,,1974,1232754.72,repaid
306,,1967,2778164.5,active
307,,1042,2707120.35,repaid
308,,5174,836961.74,active
309,,2568,188330.0,active
310,,2253,537596.4,active
311,,1205,1158062.95,active
312,,4549,685585.74,repaid
313,,3414,2578950.11,active
314,,1760,526678.38,repaid
315,,2618,1110976.78,active
316,,3973,558759.49,active
317,,2089,128514.37,active
318,,2165,110265.45,active
319,,3483,481529.08,active
320,,1234,852638.46,active
321,,2333,665698.28,active
322,,171,1356817.14,repaid
323,,1816,2474584.62,active
324,,1908,240608.42,repaid
325,,5395,2316814.38,active
326,,1202,837449.58,active
327,,906,2103619.08,active
328,,5462,1879490.34,repaid
329,,2705,1064262.84,active
330,,5311,1240962.24,written_off
331,,2016,2808063.45,active
332,,822,550892.06,active
333,,4811,1053510.17,defaulted
334,,3379,1525658.7,repaid
335,,4931,2119772.37,repaid
336,,2517,366454.3,written_off
337,,1763,367743.64,active
338,,5316,2798641.78,active
339,,4943,2244251.79,active
340,,4961,2119149.67,active
341,,276,283980.61,active
342,,2814,862181.98,active
343,,1499,2533943.98,active
344,,707,1775300.36,active
345,,2129,616244.87,active
346,,3034,130712.03,active
347,,3121,1253471.68,active
348,,4410,581687.52,active
349,,2140,550905.08,active
350,,5103,360858.01,repaid
351,,389,1938564.07,repaid
352,,2594,1560549.0,repaid
353,,601,145755.38,repaid
354,,3152,1230267.18,defaulted
355,,799,1496050.52,active
356,,4269,2260275.71,repaid
357,,2055,2792997.7,repaid
358,,4403,2153514.31,repaid
359,,2347,2038555.87,defaulted
360,,2674,2286077.0,active
361,,187,2164494.54,repaid
362,,156,2337272.97,active
363,,3642,1168352.11,active
364,,3199,466283.98,active
365,,3868,1638357.75,repaid
366,,4348,2275804.73,active
367,,1724,839289.5,active
368,,5126,686981.3,repaid
369,,47,1133482.15,repaid
370,,4516,486378.04,active
371,,2247,439375.61,defaulted
372,,2806,2080579.37,repaid
373,,340,606333.93,active
374,,4643,2602648.74,active
375,,4844,342501.41,active
376,,2525,1708434.36,active
377,,3546,85206.86,repaid
378,,5402,51295.36,active
379,,1637,569402.27,active
380,,2490,2529147.39,defaulted
381,,1839,1376266.92,active
382,,4068,2006719.92,active
383,,4728,362501.93,active
384,,3975,2223763.81,repaid
385,,3250,1707900.48,active
386,,5430,242133.07,repaid
387,,2628,1255684.31,repaid
388,,1480,203069.51,repaid
389,,11,968829.31,repaid
390,,5129,1909599.37,repaid
391,,3945,1472904.54,active
392,,4966,463063.07,repaid
393,,3006,2212584.78,repaid
394,,5049,1680827.53,active
395,,2105,800065.89,active
396,,2025,2483856.32,active
397,,533,2403881.06,repaid
398,,5361,742969.18,repaid
399,,1315,2353604.93,repaid
400,,1473,2482909.33,repaid
401,,4357,2525437.0,repaid
402,,1818,1928663.93,repaid
403,,2142,80003.94,active
404,,5501,2484093.26,repaid
405,,4940,2594388.32,repaid
406,,4295,2233161.66,active
407,,1907,1672312.97,active
408,,4677,2062793.26,active
409,,2107,1634473.67,defaulted
410,,1540,1626957.25,active
411,,506,1704508.24,repaid
412,,737,1755412.99,active
413,,2988,2634857.86,active
414,,1829,2815456.66,written_off
415,,3159,2125696.09,repaid
416,,3012,207329.52,defaulted
417,,3137,967450.99,active
418,,13,1470785.36,active
419,,595,2682486.16,active
420,,3879,1308127.13,repaid
421,,4364,2764286.75,repaid
422,,5485,1436560.67,active
423,,4904,1440389.78,active
424,,5001,1248325.35,repaid
425,,4100,1762578.76,active
426,,4065,2696762.72,defaulted
427,,2826,236622.29,active
428,,3901,619816.7,repaid
429,,1689,1749170.32,repaid
430,,3170,1393432.93,active
431,,1506,1444919.56,active
432,,4527,820418.54,repaid
433,,877,513590.41,active
434,,1406,1213048.32,repaid
435,,3089,1457813.91,active
436,,5600,2830976.11,active
437,,2469,874591.39,active
438,,3858,2914320.33,active
439,,3770,96615.54,repaid
440,,3201,793487.75,repaid
441,,4615,1564315.31,active
442,,2316,1281301.61,repaid
443,,1365,318421.26,repaid
444,,1515,979650.08,active
445,,521,777789.72,active
446,,2995,1726594.99,repaid
447,,4316,414158.41,active
448,,3423,1160153.33,active
449,,390,930342.97,active
450,,4286,1341251.51,repaid
451,,4053,1649819.2,active
452,,4824,1248006.27,written_off
453,,4111,219846.64,repaid
454,,1693,547894.34,active
455,,437,2136266.08,active
456,,847,570661.81,active
457,,398,2313827.17,active
458,,2377,2149672.04,active
459,,318,950526.28,repaid
460,,2475,1620598.22,repaid
461,,1863,913391.31,written_off
462,,281,1167513.95,active
463,,3712,523668.57,repaid
464,,2068,2579405.51,active
465,,1799,1247095.08,repaid
466,,4825,1669814.75,repaid
467,,4569,758539.8,active
468,,5132,2951381.46,active
469,,184,381771.9,repaid
470,,2538,345872.1,written_off
471,,1120,2895429.87,active
472,,3440,1468004.61,defaulted
473,,4536,1156305.29,repaid
474,,100,1070255.09,active
475,,1072,1274777.94,active
476,,5186,824868.72,active
477,,589,1935093.6,repaid
478,,4819,2818699.12,active
479,,1255,2376971.73,active
480,,4653,1351762.11,active
481,,4211,905709.98,active
482,,1464,2763484.67,active
483,,5281,2856926.85,written_off
484,,5323,1527675.75,active
485,,3950,1667930.5,written_off
486,,2133,1322695.83,active
487,,4876,2971820.29,active
488,,1055,1653560.81,active
489,,1011,1310206.07,active
490,,965,2058913.55,defaulted
491,,4131,533635.51,active
492,,5096,691419.43,active
493,,1964,2795253.27,defaulted
494,,3827,744569.47,repaid
495,,1324,2067314.3,repaid
496,,481,898480.86,active
497,,1200,1386620.73,active
498,,752,2848518.01,defaulted
499,,1954,769888.87,repaid
500,,4624,1207425.84,active
501,,247,999377.96,active
502,,817,2953764.96,repaid
503,,3561,1440218.45,active
504,,4119,2920622.81,active
505,,4780,1911063.29,active
506,,1616,1681537.83,active
507,,4296,655204.59,active
508,,5298,223680.59,repaid
509,,1264,2664880.47,active
510,,2894,671458.63,repaid
511,,4347,2252353.63,defaulted
512,,2489,1789316.58,active
513,,1171,2554553.88,repaid
514,,3055,2225032.44,defaulted
515,,2671,258478.19,repaid
516,,2492,322846.65,active
517,,930,2647947.9,active
518,,3040,2959660.85,active
519,,3485,525399.96,repaid
520,,469,602816.68,repaid
521,,2077,432103.79,active
522,,1154,343565.96,defaulted
523,,4061,2440235.04,repaid
524,,2472,1145438.63,active
525,,549,930688.2,defaulted
526,,3743,1392221.77,repaid
527,,130,1363974.3,active
528,,3069,136153.01,repaid
529,,4077,1005575.68,repaid
530,,1978,2784640.59,active
531,,4291,2444997.73,active
532,,670,304612.04,repaid
533,,3837,376989.97,repaid
534,,3632,2340947.55,repaid
535,,1802,2329504.17,repaid
536,,5557,1647641.13,defaulted
537,,4280,2199985.63,defaulted
538,,1288,2455769.46,repaid
539,,4735,1519653.68,written_off
540,,4363,1658419.66,active
541,,974,677430.94,active
542,,2170,1520849.22,defaulted
543,,2657,531092.76,defaulted
544,,1561,2570260.95,active
545,,2785,1353103.53,active
546,,1580,1507181.66,repaid
547,,2754,492480.72,active
548,,4477,2896616.12,repaid
549,,2954,2294275.16,defaulted
550,,2212,1066748.59,written_off
551,,1984,2047997.38,repaid
552,,3368,2787166.78,repaid
553,,4687,1806570.4,active
554,,2392,533506.56,repaid
555,,476,1178543.94,active
556,,1621,1914522.68,active
557,,2861,812892.33,repaid
558,,1056,2636854.23,repaid
559,,1714,752208.07,repaid
560,,564,359748.74,active
561,,5218,2406847.11,active
562,,3510,2563629.58,active
563,,3220,2020579.9,active
564,,1826,91017.78,active
565,,532,222594.49,active
566,,4293,301814.02,active
567,,1814,2398029.21,active
568,,1705,1254427.32,active
569,,3823,2862569.27,defaulted
570,,4114,2750857.93,active
571,,4484,1892253.59,repaid
572,,2611,1817079.87,repaid
573,,2066,2929818.02,active
574,,3153,1968148.84,active
575,,3119,2349494.38,active
576,,1815,210085.83,defaulted
577,,4920,253777.13,written_off
578,,5545,2799691.13,active
579,,4442,830893.85,repaid
580,,4666,375360.97,active
581,,838,561411.48,active
582,,1060,1448305.7,repaid
583,,590,2793552.99,active
584,,1545,1619873.7,active
585,,957,1590189.65,repaid
586,,2928,2593409.16,active
587,,3979,1504063.62,repaid
588,,22,431352.67,repaid
589,,2583,632899.57,repaid
590,,5482,2764979.97,defaulted
591,,4324,2045039.3,repaid
592,,105,1163783.1,active
593,,2601,850922.63,active
594,,1774,1605033.84,repaid
595,,3790,2925635.46,active
596,,3468,2292711.75,active
597,,2873,870981.62,active
598,,2952,2656152.61,repaid
599,,3180,544439.23,active
600,,621,435538.43,active
601,,1453,2036504.21,active
602,,4507,2408217.92,repaid
603,,1648,2025329.69,repaid
604,,5295,524160.82,defaulted
605,,2936,792308.15,active
606,,3897,1730090.73,active
607,,2481,65020.05,active
608,,4570,2766248.42,repaid
609,,1822,2379160.94,active
610,,2430,329961.62,active
611,,178,1678756.61,repaid
612,,611,630534.78,defaulted
613,,924,2739281.77,active
614,,2289,1772160.78,active
615,,1407,2421746.41,defaulted
616,,2570,481471.37,repaid
617,,358,1951618.86,written_off
618,,1592,1119689.82,repaid
619,,635,2661449.09,repaid
620,,3408,709513.18,written_off
621,,2307,1178224.6,repaid
622,,5077,1425228.95,repaid
623,,5267,345326.14,repaid
624,,4597,82555.75,active
625,,3127,2649782.38,active
626,,2422,2822289.13,active
627,,3254,1085488.04,defaulted
628,,257,1712934.96,active
629,,1672,1845489.56,repaid
630,,3482,1495683.12,active
631,,614,793057.54,active
632,,5102,668583.49,written_off
633,,4409,365477.02,active
634,,215,746970.25,active
635,,5007,2022744.53,active
636,,1937,2215318.21,active
637,,2770,1802334.33,repaid
638,,4180,1969641.87,active
639,,4520,1691826.87,active
640,,203,2329081.85,active
641,,1083,713159.59,repaid
642,,1608,2955424.97,written_off
643,,52,2916068.79,repaid
644,,2387,2661471.08,repaid
645,,240,464722.61,written_off
646,,3101,1183318.67,defaulted
647,,2404,1736493.5,repaid
648,,5577,2787323.12,active
649,,3104,1965376.56,repaid
650,,2552,2560859.76,written_off
651,,5434,1238224.2,active
652,,5568,737586.38,written_off
653,,2268,1894612.29,repaid
654,,1563,577655.7,repaid
655,,1949,797755.3,active
656,,4278,597295.03,repaid
657,,3663,2772766.11,repaid
658,,1585,1456229.18,defaulted
659,,520,1123195.76,repaid
660,,2059,2295649.29,active
661,,5196,1732524.99,active
662,,2449,711290.37,repaid
663,,315,2692300.56,active
664,,4040,2450013.44,defaulted
665,,5381,1055281.47,active
666,,2610,2160767.35,defaulted
667,,2292,1716926.69,repaid
668,,3835,1835492.7,repaid
669,,3708,2840326.04,repaid
670,,4203,1198741.01,repaid
671,,835,1867016.48,written_off
672,,2280,2348433.79,active
673,,3032,445847.9,repaid
674,,2606,540684.73,active
675,,2691,2637338.73,defaulted
676,,3008,564568.81,active
677,,1700,2001377.34,active
678,,3347,1640492.34,repaid
679,,4010,1422784.6,repaid
680,,2386,1763534.83,active
681,,524,1812264.78,active
682,,4814,556878.27,active
683,,3551,458323.91,active
684,,5221,733836.99,repaid
685,,1345,2306788.48,active
686,,126,1122208.69,active
687,,3197,373207.03,defaulted
688,,418,698525.73,active
689,,3964,2132845.47,active
690,,1174,239009.42,active
691,,135,1443122.21,active
692,,678,2160241.24,defaulted
693,,3038,1458624.14,active
694,,1915,1598342.1,active
695,,2177,1743677.56,active
696,,5157,2598636.31,repaid
697,,1020,1584163.19,defaulted
698,,4489,1288633.03,repaid
699,,1850,1165399.93,active
700,,1948,169347.2,active
701,,1735,208499.65,repaid
702,,3883,2995214.58,active
703,,653,1442677.7,repaid
704,,4544,949513.92,repaid
705,,4862,336589.16,written_off
706,,2085,2423515.25,active
707,,1546,1583623.8,active
708,,97,1753402.89,active
709,,3148,1948086.67,written_off
710,,2635,2812700.26,defaulted
711,,2907,779577.68,repaid
712,,2834,1168447.54,active
713,,2474,1186260.44,repaid
714,,1597,749169.77,active
715,,3111,1547653.61,active
716,,2669,1927930.47,repaid
717,,4062,1523764.55,active
718,,5253,478532.29,repaid
719,,149,2260113.48,active
720,,4874,2212262.53,active
721,,3674,728266.61,repaid
722,,1150,2553103.97,defaulted
723,,341,1140334.91,defaulted
724,,872,478781.68,active
725,,4468,485764.65,active
726,,2933,581404.46,repaid
727,,3673,1337570.48,active
728,,5141,1278992.28,defaulted
729,,5371,2284968.01,active
730,,5258,2088666.69,active
731,,899,1959350.32,active
732,,976,1396836.22,active
733,,479,649587.61,active
734,,3668,770472.28,defaulted
735,,5147,453023.99,active
736,,3606,1731128.73,defaulted
737,,2913,1603975.08,defaulted
738,,4676,554150.68,active
739,,3410,2521603.25,active
740,,546,2114470.55,active
741,,5418,2369371.35,active
742,,2845,216031.76,repaid
743,,597,2679043.38,active
744,,793,2640148.18,active
745,,1051,2687192.08,active
746,,2759,837223.56,active
747,,5187,2166306.84,active
748,,4234,310605.42,active
749,,3145,2955557.31,repaid
750,,5075,2529296.2,active
751,,1106,2966068.73,repaid
752,,4407,1239088.6,written_off
753,,3936,146617.15,repaid
754,,4878,599828.33,repaid
755,,1151,852346.77,written_off
756,,3638,1020246.92,active
757,,2904,188994.57,active
758,,3325,2866458.82,active
759,,936,1522567.21,active
760,,4647,953516.4,repaid
761,,3190,393840.72,active
762,,2955,1561903.96,defaulted
763,,5398,1170922.36,defaulted
764,,158,1082520.25,active
765,,1740,1798395.17,active
766,,1328,2654819.58,active
767,,3049,621901.17,defaulted
768,,2067,2342468.63,active
769,,3591,943942.27,active
770,,1589,1517459.36,active
771,,2571,902449.26,defaulted
772,,2159,1214222.15,active
773,,4871,928275.79,repaid
774,,4232,1272075.39,active
775,,1062,982373.6,active
776,,2174,53977.71,active
777,,5348,2621968.34,active
778,,2723,2087917.63,active
779,,21,366330.59,defaulted
780,,2985,392709.21,active
781,,5310,2208505.07,active
782,,4027,2077838.42,active
783,,4267,2796594.92,active
784,,5105,2189067.49,active
785,,4957,2841851.49,defaulted
786,,1016,576504.86,defaulted
787,,2397,2128215.58,active
788,,3291,1754074.0,active
789,,1622,2055501.77,defaulted
790,,1139,2158857.64,active
791,,1341,2982040.8,defaulted
792,,1223,2868127.5,repaid
793,,4838,541259.48,active
794,,2144,205732.33,active
795,,3301,2373555.49,active
796,,3432,1253929.96,active
797,,363,138953.36,repaid
798,,690,418766.68,active
799,,2925,1842122.95,active
800,,3125,331301.55,active
801,,344,1892932.92,written_off
802,,1544,786609.53,repaid
803,,2240,992503.41,active
804,,5019,2870028.96,active
805,,4354,1006845.28,active
806,,4103,2054660.16,defaulted
807,,5476,2247693.73,active
808,,5521,431280.71,written_off
809,,1717,2611941.56,active
810,,894,1971697.01,defaulted
811,,23,247891.57,active
812,,259,1453586.01,active
813,,123,810936.53,active
814,,1492,1602657.14,active
815,,1416,1137042.53,active
816,,1812,1228089.1,active
817,,1654,2685354.08,active
818,,657,1466582.66,active
819,,2052,1865904.58,active
820,,5372,1989612.43,active
821,,4428,198509.07,repaid
822,,2786,2968745.96,defaulted
823,,2437,1560744.47,written_off
824,,5307,765610.19,repaid
825,,2662,233561.4,active
826,,3706,283583.16,defaulted
827,,255,2162424.34,active
828,,2987,2903357.09,active
829,,4456,2633245.14,active
830,,4003,1373469.49,active
831,,3683,1974808.74,active
832,,3963,247121.24,active
833,,2488,1507793.42,active
834,,694,1793674.39,active
835,,798,1421707.69,active
836,,2844,1418557.9,repaid
837,,3971,50651.55,active
838,,1300,112446.15,active
839,,4829,1526338.82,written_off
840,,104,559152.64,repaid
841,,311,1723580.07,active
842,,1309,505265.69,defaulted
843,,5587,241864.55,active
844,,3919,289875.24,active
845,,2073,966433.86,repaid
846,,3881,2689545.07,active
847,,3108,208632.57,active
848,,5280,600221.53,active
849,,326,61403.88,active
850,,4944,1381365.55,active
851,,1678,410159.04,repaid
852,,3039,2381558.48,repaid
853,,2647,179920.75,repaid
854,,3281,345699.37,defaulted
855,,329,542266.67,active
856,,4251,1621073.57,active
857,,3530,1024069.21,active
858,,2137,2234489.21,active
859,,1909,2503016.47,repaid
860,,333,2250668.85,active
861,,2005,505411.68,active
862,,5335,2746997.8,repaid
863,,5458,1908572.96,repaid
864,,37,571805.55,active
865,,1575,2637468.11,defaulted
866,,2599,708861.55,active
867,,990,60308.57,active
868,,1230,133915.55,repaid
869,,1820,2581554.21,active
870,,98,304983.55,repaid
871,,1322,185725.64,written_off
872,,3415,1006442.05,repaid
873,,3176,354895.84,repaid
874,,1332,1412963.16,defaulted
875,,2621,1479770.81,active
876,,3133,1087549.22,active
877,,742,2094022.36,repaid
878,,331,2753473.32,active
879,,2172,549078.39,defaulted
880,,3872,1390806.32,active
881,,3786,1791416.71,active
882,,272,676405.54,defaulted
883,,1214,2379509.82,active
884,,1014,1889770.33,active
885,,4167,2351119.07,defaulted
886,,3509,411007.43,active
887,,238,897267.31,active
888,,2729,348269.61,repaid
889,,4501,396442.25,active
890,,5556,558453.9,written_off
891,,2709,251926.32,defaulted
892,,4734,2249243.69,active
893,,5060,1821790.46,defaulted
894,,3699,2896656.83,active
895,,106,2817536.43,active
896,,2352,1847898.57,written_off
897,,3702,2640320.88,active
898,,3905,1006053.75,active
899,,1126,2543065.5,active
900,,1394,1395300.93,active
901,,514,2733573.84,repaid
902,,5416,1694691.88,active
903,,5370,2631163.82,repaid
904,,4748,1956069.39,repaid
905,,3413,1959628.17,repaid
906,,1451,2244676.21,defaulted
907,,5533,1579822.89,repaid
908,,423,2271377.98,repaid
909,,3756,1944363.38,defaulted
910,,3847,2361472.1,repaid
911,,4447,1412370.91,active
912,,1411,1359368.89,written_off
913,,5386,147175.79,active
914,,1118,940361.75,active
915,,2908,2111602.39,active
916,,5199,1474929.5,active
917,,2221,968619.74,repaid
918,,5162,471205.2,repaid
919,,1279,295052.13,repaid
920,,4578,1489472.42,repaid
921,,2103,399998.69,repaid
922,,935,1020803.17,active
923,,620,1692640.54,active
924,,2460,419294.66,active
925,,134,261545.12,active
926,,32,2197002.1,defaulted
927,,5495,2493504.03,repaid
928,,2976,450532.12,defaulted
929,,2282,2722157.82,defaulted
930,,1470,2326058.38,repaid
931,,3473,104341.09,repaid
932,,1723,2127597.26,repaid
933,,5358,1105814.92,repaid
934,,1195,840620.19,active
935,,1099,2339736.35,active
936,,535,2470565.69,active
937,,3151,2853316.41,active
938,,3960,2202530.71,repaid
939,,3402,2893883.46,repaid
940,,4982,1635719.07,active
941,,3028,1800657.6,repaid
942,,4983,1830809.01,active
943,,889,2371550.61,defaulted
944,,1609,2718513.14,active
945,,2787,2678307.78,active
946,,3224,2422718.6,defaulted
947,,1958,2279173.87,written_off
948,,3749,713765.05,repaid
949,,1342,651744.25,active
950,,2855,1700033.7,active
951,,2756,1445588.26,repaid
952,,3488,96552.43,repaid
953,,2339,1580044.12,active
954,,2912,1134679.14,active
955,,3691,250952.97,active
956,,3144,2806199.54,repaid
957,,869,2751191.89,repaid
958,,4870,1798901.34,repaid
959,,2593,1926780.24,written_off
960,,1086,2902861.18,active
961,,488,162030.56,repaid
